Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
2,0:04,1,10,WAS 38,21,14,Jake Elliott 56 yard field goal no good,3.050,1.930
3,15:00,,,WAS 35,21,14,Zane Gonzalez kicks off 59 yards returned by Kenneth Gainwell for 19 yards (tackle by Tyler Owens),0.000,0.610
3,14:56,1,10,PHI 25,21,14,Saquon Barkley left guard for 2 yards (tackle by Frankie Luvu and Clelin Ferrell),0.610,0.330
3,14:20,2,8,PHI 27,21,14,Kenny Pickett pass incomplete deep right intended for A.J. Brown. Penalty on Marshon Lattimore: Defensive Pass Interference 38 yards (accepted) (no play),0.330,3.250
3,14:13,1,10,WAS 35,21,14,Saquon Barkley left end for 1 yard (tackle by Clelin Ferrell),3.250,2.840
3,13:42,2,9,WAS 34,21,14,Kenny Pickett pass incomplete deep right intended for A.J. Brown. Penalty on Marshon Lattimore: Defensive Pass Interference 23 yards (accepted) (no play),2.840,4.840
3,13:37,1,10,WAS 11,21,14,Saquon Barkley right end for 6 yards (tackle by Bobby Wagner),4.840,5.280
3,13:10,2,4,WAS 5,21,14,Saquon Barkley right tackle for 1 yard (tackle by Bobby Wagner),5.280,4.670
3,12:26,3,3,WAS 4,21,14,Saquon Barkley sacked by Jer'Zhan Newton for -2 yards,4.670,2.990
3,11:42,4,5,WAS 6,24,14,Jake Elliott 24 yard field goal good,2.990,3.000
3,11:40,,,PHI 35,24,14,Braden Mann kicks off 50 yards returned by Jeremy McNichols for 22 yards (tackle by Isaiah Rodgers and Oren Burks),0.000,1.400
3,11:34,1,10,WAS 37,24,14,Jayden Daniels pass incomplete short middle,1.400,0.860
3,11:31,2,10,WAS 37,24,14,Jayden Daniels pass complete short right to Dyami Brown for 2 yards. Dyami Brown fumbles (forced by Zack Baun) recovered by Nolan Smith at WAS-43,0.860,-2.720
3,11:24,1,10,WAS 43,24,14,Penalty on C.J. Gardner-Johnson: Disqualification / Offense 15 yards (accepted) (no play),2.720,1.730
3,11:24,1,10,PHI 42,24,14,Kenny Pickett sacked by Clelin Ferrell for -8 yards. Kenny Pickett fumbles (forced by Clelin Ferrell) recovered by Lane Johnson at PHI-34,1.730,0.110
3,10:28,2,18,PHI 34,24,14,Kenneth Gainwell right end for 2 yards (tackle by Sheldon Day and Bobby Wagner),0.110,-0.290
3,9:49,3,16,PHI 36,24,14,Saquon Barkley right end for 1 yard (tackle by Frankie Luvu and Percy Butler). Penalty on Daron Payne: Face Mask (15 Yards) 15 yards (accepted),-0.290,2.390
3,9:21,1,10,WAS 48,24,14,Saquon Barkley right tackle for -2 yards (tackle by Frankie Luvu and Jer'Zhan Newton),2.390,1.580
3,8:41,2,12,WAS 50,24,14,Kenny Pickett pass complete short left to DeVonta Smith for 13 yards (tackle by Mike Sainristil and Quan Martin),1.580,3.120
3,8:11,1,10,WAS 37,24,14,Kenny Pickett scrambles right end for 1 yard (tackle by Bobby Wagner),3.120,2.710
3,7:27,2,9,WAS 36,24,14,Saquon Barkley right guard for no gain (tackle by Sheldon Day),2.710,2.010
3,6:49,3,9,WAS 36,24,14,Kenny Pickett pass incomplete short middle intended for A.J. Brown. Penalty on Marshon Lattimore: Defensive Pass Interference 7 yards (accepted) (no play),2.010,3.640
3,6:46,1,10,WAS 29,24,14,Saquon Barkley left tackle for -1 yards (tackle by Jer'Zhan Newton),3.640,2.970
