Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
3,5:19,2,5,DET 45,34,17,Jahmyr Gibbs right end for 6 yards (tackle by Tyrique Stevenson and T.J. Edwards),1.730,2.320
3,4:43,1,10,CHI 49,34,17,Jared Goff pass complete short right to Sam LaPorta for no gain (tackle by Tyrique Stevenson),2.320,1.780
3,4:05,2,10,CHI 49,34,17,Jared Goff sacked by Zacch Pickens for -7 yards,1.780,0.170
3,3:23,3,17,DET 44,34,17,Jared Goff pass complete short left to Amon-Ra St. Brown for 18 yards (tackle by Jonathan Owens),0.170,3.050
3,2:36,1,10,CHI 38,34,17,Jameson Williams right end for 7 yards (tackle by Tyrique Stevenson),3.050,3.450
3,1:59,2,3,CHI 31,34,17,Craig Reynolds right tackle for 11 yards (tackle by Kevin Byard and Kyler Gordon),3.450,4.240
3,1:20,1,10,CHI 20,34,17,Craig Reynolds right tackle for 4 yards (tackle by Byron Cowart and Jonathan Ford),4.240,4.280
3,0:35,2,6,CHI 16,34,17,Jahmyr Gibbs left guard for 3 yards (tackle by Tremaine Edmunds and Montez Sweat),4.280,4.100
4,15:00,3,3,CHI 13,34,17,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,4.100,2.670
4,14:54,4,3,CHI 13,34,17,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by Tremaine Edmunds),2.670,0.320
4,14:51,1,10,CHI 13,34,17,Caleb Williams pass complete short left to Keenan Allen for 15 yards (tackle by Ben Niemann),-0.320,0.810
4,14:12,1,10,CHI 28,34,17,Caleb Williams pass complete short right to Cole Kmet for 8 yards (tackle by Brian Branch and Amik Robertson),0.810,1.210
4,13:33,2,3,CHI 35,34,17,Caleb Williams aborted snap recovered by D.J. Moore at CHI-31 (tackle by Al-Quadin Muhammad),1.210,-0.030
4,12:44,3,7,CHI 31,34,17,Penalty on Larry Borom: False Start 5 yards (accepted) (no play),-0.030,-0.690
4,12:44,3,12,CHI 26,34,17,Caleb Williams pass complete short right to Keenan Allen for 5 yards (tackle by Jack Campbell),-0.690,-1.310
