Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA
4,11:43,1,10,NYJ 21,9,9,Kyren Williams left end for 8 yards (tackle by Micheal Clemons and Jamien Sherwood),4.170,4.950
4,11:05,2,2,NYJ 13,9,9,Kyren Williams right guard for 2 yards (tackle by Chuck Clark),4.950,4.840
4,10:17,1,10,NYJ 11,15,9,Matthew Stafford pass complete short right to Tyler Higbee for 11 yards touchdown,4.840,7.000
4,10:11,,,NYJ 15,16,9,Joshua Karty kicks extra point good,0.000,0.000
4,10:11,,,LAR 35,16,9,Ethan Evans kicks off 66 yards returned by Xavier Gipson for 42 yards (tackle by Josh Wallace),0.000,1.660
4,10:05,1,10,NYJ 41,16,9,Breece Hall right end for 7 yards (tackle by Quentin Lake and Darious Williams),1.660,2.070
4,9:28,2,3,NYJ 48,16,9,Aaron Rodgers pass complete short left to Davante Adams for no gain (tackle by Michael Hoecht). Penalty on Joe Tippmann: Offensive Holding 10 yards (accepted) (no play),2.070,0.720
4,9:00,2,13,NYJ 38,16,9,Aaron Rodgers pass complete short right to Allen Lazard for 9 yards (tackle by Kamren Kinchens),0.720,1.220
4,8:32,3,4,NYJ 47,16,9,Aaron Rodgers pass incomplete short left intended for Davante Adams,1.220,-0.260
4,8:27,4,4,NYJ 47,16,9,Aaron Rodgers pass incomplete deep middle intended for Tyler Conklin (defended by Darious Williams),-0.260,-2.520
4,8:23,1,10,NYJ 46,16,9,Matthew Stafford pass complete deep right to Puka Nacua for 27 yards (tackle by Leonard Taylor),2.520,4.310
4,7:34,1,10,NYJ 19,16,9,Kyren Williams right tackle for 1 yard (tackle by Ashtyn Davis and Isaiah Oliver). Penalty on Beaux Limmer: Offensive Holding 10 yards (accepted),4.310,3.710
4,7:16,1,19,NYJ 28,16,9,Matthew Stafford pass complete short left to Puka Nacua for 1 yard (tackle by Jamien Sherwood),3.710,2.680
4,6:49,2,18,NYJ 27,16,9,Kyren Williams left tackle for 8 yards (tackle by Jamien Sherwood). Penalty on Kyren Williams: Taunting / Offense 15 yards (accepted),2.680,1.090
4,6:17,3,25,NYJ 34,16,9,Matthew Stafford pass complete short left to Kyren Williams for 7 yards (tackle by Ashtyn Davis),1.090,1.670
4,5:22,4,18,NYJ 27,19,9,Joshua Karty 45 yard field goal good,1.670,3.000
4,5:17,,,LAR 35,19,9,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,5:17,1,10,NYJ 30,19,9,Aaron Rodgers pass complete short left to Tyler Conklin for 8 yards (tackle by Kamren Curl and Jaylen McCollough),0.940,1.470
4,4:52,2,2,NYJ 38,19,9,Aaron Rodgers pass complete short right to Davante Adams for 6 yards (tackle by Kamren Kinchens),1.470,1.860
4,4:27,1,10,NYJ 44,19,9,Aaron Rodgers pass complete short left to Garrett Wilson for 3 yards (tackle by Braden Fiske and Quentin Lake),1.860,1.720
4,3:59,2,7,NYJ 47,19,9,Aaron Rodgers pass incomplete deep right intended for Davante Adams,1.720,1.030
4,3:51,3,7,NYJ 47,19,9,Aaron Rodgers pass complete short left to Davante Adams for 10 yards (tackle by Ahkello Witherspoon),1.030,2.720
4,3:29,1,10,LAR 43,19,9,Aaron Rodgers pass incomplete short right intended for Allen Lazard,2.720,2.180
4,3:24,2,10,LAR 43,19,9,Aaron Rodgers pass complete short left to Garrett Wilson for 11 yards (tackle by Jaylen McCollough),2.180,3.450
4,3:00,1,10,LAR 32,19,9,Aaron Rodgers pass complete short left to Garrett Wilson for 2 yards (tackle by Jaylen McCollough),3.450,3.170
4,2:38,2,8,LAR 30,19,9,Aaron Rodgers pass incomplete short left intended for Davante Adams,3.170,2.480
4,2:34,3,8,LAR 30,19,9,Aaron Rodgers pass complete short middle to Garrett Wilson for 4 yards (tackle by Jaylen McCollough),2.480,1.810
4,2:03,4,4,LAR 26,19,9,Penalty on Max Mitchell: False Start 5 yards (accepted) (no play),1.810,1.320
4,2:02,4,9,LAR 31,19,9,Anders Carlson 49 yard field goal no good,1.320,-1.530
4,1:57,1,10,LAR 39,19,9,Kyren Williams right tackle for 3 yards (tackle by Brandin Echols and Ashtyn Davis),1.530,1.390
4,1:53,,,,,,Timeout #1 by New York Jets,,
4,1:53,,,,,,Timeout #1 by Los Angeles Rams,,
4,1:53,2,7,LAR 42,19,9,Kyren Williams right tackle for 2 yards (tackle by Chuck Clark and Brandin Echols),1.390,0.960
4,1:49,,,,,,Timeout #2 by New York Jets,,
4,1:49,3,5,LAR 44,19,9,Kyren Williams left tackle for no gain (tackle by Solomon Thomas and Javon Kinlaw),0.960,-0.460
4,1:44,,,,,,Timeout #3 by New York Jets,,
4,1:44,4,5,LAR 44,19,9,Ethan Evans punts 43 yards recovered by Jordan Whittington at NYJ-13,-0.460,4.710
4,1:34,1,10,NYJ 13,19,9,Matthew Stafford kneels for -1 yards,4.710,3.900
4,0:54,2,11,NYJ 14,19,9,Matthew Stafford kneels for -2 yards,3.900,2.970
4,0:25,3,13,NYJ 16,19,9,Matthew Stafford kneels for -1 yards,2.970,2.310
