Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
2,3:20,,,SFO 15,7,13,Jason Sanders kicks extra point good,0.000,0.000
2,3:20,,,MIA 35,7,13,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,3:20,1,10,SFO 30,7,13,Brock Purdy pass complete short middle to George Kittle for 24 yards (tackle by Anthony Walker),0.940,2.520
2,2:42,1,10,MIA 46,7,13,Brock Purdy pass complete short left to Jauan Jennings for 16 yards (tackle by Anthony Walker),2.520,3.580
2,2:00,1,10,MIA 30,7,13,Brock Purdy pass complete short right to George Kittle for 12 yards (tackle by Jevon Holland),3.580,4.370
2,1:53,1,10,MIA 18,7,13,Brock Purdy pass complete short left to Ricky Pearsall for 3 yards (tackle by Jevon Holland),4.370,4.250
2,1:49,,,,,,Timeout #2 by Miami Dolphins,,
2,1:49,2,7,MIA 15,7,13,Brock Purdy pass complete short middle to Ricky Pearsall for 8 yards (tackle by Jalen Ramsey),4.250,5.600
2,1:47,,,,,,Timeout #3 by Miami Dolphins,,
2,1:47,1,7,MIA 7,7,13,Deebo Samuel up the middle for 4 yards (tackle by Anthony Walker),5.600,5.530
2,1:01,2,3,MIA 3,7,13,Brock Purdy pass incomplete short left,5.530,4.720
2,0:53,3,3,MIA 3,7,13,Brock Purdy pass incomplete short right intended for George Kittle (defended by Chop Robinson),4.720,3.040
2,0:50,4,3,MIA 3,10,13,Jake Moody 21 yard field goal good,3.040,3.000
2,0:47,,,SFO 35,10,13,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,0:47,1,10,MIA 30,10,13,Tua Tagovailoa pass complete short middle to Jonnu Smith for 11 yards (tackle by Fred Warner),0.940,1.660
2,0:32,1,10,MIA 41,10,13,Tua Tagovailoa pass incomplete short right,1.660,1.120
2,0:28,2,10,MIA 41,10,13,Tua Tagovailoa pass incomplete short left intended for River Cracraft,1.120,0.430
2,0:24,3,10,MIA 41,10,13,Tua Tagovailoa pass complete short middle to River Cracraft for 6 yards (tackle by Fred Warner),0.430,-0.260
3,15:00,,,SFO 35,10,13,Jake Moody kicks off 65 yards touchback.,0.000,0.940
