Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA
2,5:54,3,3,SEA 14,13,7,Sam Darnold pass complete short right to Justin Jefferson for 14 yards touchdown,4.020,7.000
2,5:50,,,SEA 15,13,7,Penalty on Justin Jefferson: Taunting / Offense 15 yards (accepted) (no play),0.000,0.000
2,5:50,,,SEA 30,14,7,Will Reichard kicks extra point good,0.000,0.000
2,5:50,,,MIN 35,14,7,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,5:50,1,10,SEA 30,14,7,Geno Smith pass short right intended for Noah Fant is intercepted by Dallas Turner at SEA-35 and returned for 4 yards (tackle by Noah Fant),0.940,-3.510
2,5:42,1,10,SEA 31,14,7,Aaron Jones right guard for 2 yards (tackle by Leonard Williams and Tyrice Knight),3.510,3.240
2,5:04,2,8,SEA 29,14,7,Sam Darnold sacked by Boye Mafe for -12 yards,3.240,0.960
2,4:17,3,20,SEA 41,14,7,Sam Darnold pass complete short middle to Justin Jefferson for 7 yards (tackle by Ernest Jones and Riq Woolen),0.960,1.060
2,3:38,4,13,SEA 34,17,7,Will Reichard 52 yard field goal good,1.060,3.000
2,3:33,,,MIN 35,17,7,Will Reichard kicks off 65 yards returned by Kenny McIntosh for 24 yards (tackle by Jamin Davis),0.000,0.150
2,3:28,1,10,SEA 19,17,7,Geno Smith pass complete short right to Kenneth Walker for 1 yard (tackle by Byron Murphy),0.150,-0.200
2,2:48,2,9,SEA 20,17,7,Kenneth Walker up the middle for 1 yard (tackle by Theo Jackson and Patrick Jones),-0.200,-0.810
2,2:10,3,8,SEA 21,17,7,Geno Smith pass incomplete deep right intended for Jaxon Smith-Njigba (defended by Byron Murphy),-0.810,-1.960
2,2:04,4,8,SEA 21,17,7,Michael Dickson punts 50 yards fair catch by Brandon Powell at MIN-29,-1.960,-0.870
2,1:57,1,10,MIN 29,17,7,Sam Darnold pass incomplete short right intended for Aaron Jones (defended by Devon Witherspoon),0.870,0.330
2,1:49,2,10,MIN 29,17,7,Sam Darnold pass incomplete short left intended for Jalen Nailor (defended by Riq Woolen),0.330,-0.360
2,1:42,3,10,MIN 29,17,7,Sam Darnold pass complete short right to Jordan Addison for 7 yards (tackle by Josh Jobe),-0.360,-0.980
2,1:37,4,3,MIN 36,17,7,Ryan Wright punts 63 yards returned by Jaelon Darden for 11 yards (tackle by Theo Jackson),-0.980,0.350
2,1:25,1,10,SEA 12,17,7,Geno Smith pass complete deep middle to D.K. Metcalf for 20 yards (tackle by Josh Metellus),-0.350,1.070
2,1:07,1,10,SEA 32,17,7,Penalty on Charles Cross: False Start 5 yards (accepted) (no play),1.070,0.740
2,1:07,,,,,,Timeout #1 by Seattle Seahawks,,
2,1:07,1,14,SEA 27,17,7,Geno Smith pass complete short middle to D.K. Metcalf for 12 yards (tackle by Bobby McCain),0.740,1.470
2,0:43,2,3,SEA 39,17,7,Geno Smith pass complete short left to Jaxon Smith-Njigba for 13 yards (tackle by Byron Murphy),1.470,2.390
2,0:37,1,10,MIN 48,17,7,Geno Smith pass complete deep middle to Jaxon Smith-Njigba for 25 yards (tackle by Byron Murphy),2.390,4.040
2,0:30,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:30,1,10,MIN 23,17,7,Geno Smith pass incomplete deep middle intended for Noah Fant. Penalty on Stephon Gilmore: Defensive Holding 5 yards (accepted) (no play),4.040,4.370
2,0:24,1,10,MIN 18,17,13,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 18 yards touchdown,4.370,7.000
2,0:20,,,MIN 15,17,14,Jason Myers kicks extra point good,0.000,0.000
2,0:20,,,SEA 35,17,14,Jason Myers kicks off 64 yards returned by Ty Chandler for 20 yards (tackle by Dareke Young),0.000,0.340
2,0:16,1,10,MIN 21,17,14,Sam Darnold kneels for -1 yards,0.340,-0.340
3,15:00,,,MIN 35,17,14,Will Reichard kicks off 66 yards returned by Kenny McIntosh for 36 yards (tackle by Jay Ward and Jamin Davis),0.000,1.270
3,14:54,1,10,SEA 35,17,14,Geno Smith pass complete short middle to Kenneth Walker for 3 yards (tackle by Jonathan Greenard),1.270,1.130
3,14:15,2,7,SEA 38,17,14,Geno Smith pass complete short right to Kenneth Walker for 8 yards (tackle by Camryn Bynum),1.130,1.990
3,13:37,1,10,SEA 46,17,14,Kenny McIntosh up the middle for 2 yards (tackle by Jonathan Bullard and Josh Metellus),1.990,1.720
3,12:56,2,8,SEA 48,17,14,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Byron Murphy),1.720,1.690
