Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
3,11:46,2,10,IND 22,7,31,Jonathan Taylor left tackle for 8 yards (tackle by Cedric Gray and James Williams),-0.130,0.230
3,11:01,3,2,IND 30,7,31,Jonathan Taylor up the middle for no gain (tackle by Cedric Gray and Daryl Worley),0.230,-1.370
3,10:27,4,2,IND 30,7,31,Rigoberto Sanchez punts 49 yards returned by Mason Kinsey for 6 yards (tackle by Ashton Dulin),-1.370,-0.740
3,10:19,1,10,TEN 27,7,31,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 7 yards (tackle by Zaire Franklin),0.740,1.140
3,9:41,2,3,TEN 34,7,31,Penalty on John Ojukwu: False Start 5 yards (accepted) (no play),1.140,0.470
3,9:12,2,8,TEN 29,7,31,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 11 yards (tackle by Jaylon Carlies),0.470,1.600
3,8:43,1,10,TEN 40,7,31,Mason Rudolph pass incomplete short right intended for Nick Westbrook-Ikhine,1.600,1.050
3,8:38,2,10,TEN 40,7,31,Mason Rudolph pass short right intended for Tony Pollard is intercepted by Samuel Womack at TEN-44 and returned for 4 yards (tackle by Tony Pollard),1.050,-2.920
3,8:33,1,10,TEN 40,7,31,Anthony Richardson pass complete short right to Josh Downs for 31 yards (tackle by Amani Hooker),2.920,5.140
3,7:46,1,9,TEN 9,7,31,Jonathan Taylor right tackle for 5 yards (tackle by Jeffery Simmons and Cedric Gray),5.140,5.340
3,7:01,2,4,TEN 4,7,31,Anthony Richardson right tackle for 4 yards touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Anthony Richardson right tackle for 3 yards (tackle by Cedric Gray),5.340,5.170
3,6:53,3,1,TEN 1,7,37,Jonathan Taylor right tackle for 1 yard touchdown,5.170,7.000
3,6:50,,,TEN 15,7,38,Matt Gay kicks extra point good,0.000,0.000
3,6:50,,,IND 35,7,38,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,6:50,1,10,TEN 30,7,38,Tyjae Spears left guard for -1 yards (tackle by DeForest Buckner),0.940,0.260
3,6:17,2,11,TEN 29,7,38,Mason Rudolph pass complete short right to Chigoziem Okonkwo for 22 yards (tackle by Samuel Womack),0.260,2.320
3,5:37,1,10,IND 49,7,38,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 9 yards (tackle by Kenny Moore),2.320,3.000
3,5:06,2,1,IND 40,7,38,Mason Rudolph pass incomplete short right intended for Tyjae Spears,3.000,2.280
3,5:03,3,1,IND 40,7,38,Mason Rudolph up the middle for 1 yard (tackle by Jaylon Carlies),2.280,2.980
