Quarter,Time,Down,ToGo,Location,NWE,BUF,Detail,EPB,EPA
2,8:59,2,10,NWE 38,14,7,Josh Allen pass complete short left to Dalton Kincaid for -1 yards (tackle by Kyle Dugger). Penalty on Khalil Shakir: Offensive Pass Interference 10 yards (declined),2.510,1.680
2,8:37,3,11,NWE 39,14,7,Penalty on Amari Cooper: False Start 5 yards (accepted) (no play),1.680,1.030
2,8:19,3,16,NWE 44,14,7,Josh Allen pass deep middle intended for Keon Coleman is intercepted by Marte Mapu in end zone and returned for 6 yards (tackle by Ty Johnson),1.030,0.380
2,8:01,1,10,NWE 1,14,7,Drake Maye up the middle for 1 yard (tackle by Terrel Bernard),-0.380,-0.710
2,7:26,2,9,NWE 2,14,7,Drake Maye pass complete short left to Kayshon Boutte for 5 yards (tackle by Kaiir Elam),-0.710,-0.720
2,6:51,3,4,NWE 7,14,7,Drake Maye pass complete short left to Austin Hooper for 7 yards (tackle by Dorian Williams),-0.720,-0.280
2,6:11,1,10,NWE 14,14,7,Rhamondre Stevenson up the middle for 3 yards (tackle by Austin Johnson and Dorian Williams),-0.280,-0.370
2,5:34,2,7,NWE 17,14,7,Demario Douglas left end for 6 yards (tackle by Cole Bishop),-0.370,-0.320
2,4:58,3,1,NWE 23,14,7,Antonio Gibson up the middle for no gain. Antonio Gibson fumbles (forced by Dawuane Smoot) recovered by Antonio Gibson at NE-23 (tackle by Dawuane Smoot),-0.320,-1.830
2,3:59,4,1,NWE 23,14,7,Dell Pettus up the middle for 2 yards (tackle by Dorian Williams and Reggie Gilliam),-1.830,0.610
2,3:14,,,,,,Timeout #2 by New England Patriots,,
2,3:14,1,10,NWE 25,14,7,Antonio Gibson left end for 6 yards (tackle by Christian Benford),0.610,0.870
2,2:35,2,4,NWE 31,14,7,Drake Maye pass incomplete deep left intended for Javon Baker,0.870,0.170
2,2:29,3,4,NWE 31,14,7,Drake Maye pass complete short left to Antonio Gibson for 3 yards (tackle by Kaiir Elam and Cole Bishop),0.170,-1.110
2,2:00,4,1,NWE 34,14,7,Bryce Baringer punts 46 yards downed by Titus Leo,-1.110,-0.280
2,1:48,1,10,BUF 20,14,7,Josh Allen pass incomplete deep right intended for Dalton Kincaid (defended by Marte Mapu),0.280,-0.270
2,1:43,2,10,BUF 20,14,7,Josh Allen pass complete short left to Mack Hollins for 12 yards (tackle by Marte Mapu),-0.270,1.070
2,1:22,1,10,BUF 32,14,7,Josh Allen pass complete short left to Keon Coleman for no gain (tackle by Alex Austin). Penalty on Spencer Brown: Illegal Formation 5 yards (accepted) (no play),1.070,0.740
2,1:16,1,15,BUF 27,14,7,Josh Allen scrambles up the middle for 4 yards (tackle by Jonathan Jones and Jaylinn Hawkins),0.740,0.390
2,0:55,2,11,BUF 31,14,7,Josh Allen pass complete short right to Mack Hollins for 13 yards (tackle by Alex Austin),0.390,1.860
2,0:47,,,,,,Timeout #1 by Buffalo Bills,,
2,0:47,1,10,BUF 44,14,7,Josh Allen pass incomplete short right intended for Dalton Kincaid,1.860,1.320
2,0:39,2,10,BUF 44,14,7,Josh Allen pass incomplete deep right intended for Ty Johnson (defended by Christian Elliss),1.320,0.630
2,0:30,3,10,BUF 44,14,7,Josh Allen pass incomplete deep right intended for Khalil Shakir,0.630,-0.460
2,0:22,4,10,BUF 44,14,7,Sam Martin punts 56 yards touchback.,-0.460,-0.280
2,0:13,1,10,NWE 20,14,7,Drake Maye pass complete short right to Demario Douglas for 13 yards (tackle by Terrel Bernard),0.280,1.140
2,0:07,1,10,NWE 33,14,7,Drake Maye pass complete short middle to Austin Hooper for 11 yards (tackle by Terrel Bernard),1.140,1.860
2,0:02,,,,,,Timeout #3 by New England Patriots,,
2,0:02,,,,,,Timeout #2 by Buffalo Bills,,
2,0:02,1,10,NWE 44,14,7,Drake Maye pass complete short left to Kayshon Boutte for 31 yards lateral to Antonio Gibson for 1 yard (tackle by Gregory Rousseau),1.860,3.970
3,15:00,,,NWE 35,14,7,Joey Slye kicks off 57 yards returned by Ray Davis for 24 yards (tackle by Marte Mapu and Jaylinn Hawkins),0.000,1.070
3,14:53,1,10,BUF 32,14,7,James Cook right end for 25 yards (tackle by Kyle Dugger),1.070,2.720
3,14:15,1,10,NWE 43,14,7,James Cook right guard for 5 yards (tackle by Davon Godchaux and Christian Elliss),2.720,2.850
3,13:34,2,5,NWE 38,14,7,Josh Allen pass complete short left to Keon Coleman for 17 yards (tackle by Alex Austin),2.850,4.170
3,12:49,1,10,NWE 21,14,7,James Cook right guard for 5 yards (tackle by Deatrich Wise and Kyle Dugger),4.170,4.370
3,12:08,2,5,NWE 16,14,7,James Cook right tackle for 2 yards (tackle by Deatrich Wise),4.370,4.020
