Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
2,1:08,1,10,DAL 21,7,20,Baker Mayfield pass complete short right to Payne Durham for 6 yards,4.170,4.550
2,1:05,2,4,DAL 15,7,20,Baker Mayfield pass incomplete short middle intended for Mike Evans,4.550,3.810
2,1:00,3,4,DAL 15,7,20,Rachaad White up the middle for 4 yards (tackle by Micah Parsons),3.810,4.840
2,0:54,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
2,0:54,1,10,DAL 11,13,20,Baker Mayfield pass complete short right to Jalen McMillan for 11 yards touchdown,4.840,7.000
2,0:48,,,DAL 15,14,20,Chase McLaughlin kicks extra point good,0.000,0.000
2,0:48,,,TAM 35,14,20,Chase McLaughlin kicks off 65 yards touchback.,0.000,0.940
2,0:48,1,10,DAL 30,14,20,Cooper Rush pass complete short middle to Jake Ferguson for 21 yards (tackle by Mike Edwards and Christian Izien),0.940,2.320
2,0:41,,,,,,Timeout #1 by Dallas Cowboys,,
2,0:41,1,10,TAM 49,14,20,Cooper Rush pass complete short right to Brandin Cooks for 14 yards (tackle by Zyon McCollum),2.320,3.250
2,0:37,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:37,1,10,TAM 35,14,20,Cooper Rush pass complete short left to Jake Ferguson for 1 yard (tackle by Christian Izien),3.250,2.840
2,0:19,2,9,TAM 34,14,20,Cooper Rush sacked by and YaYa Diaby for -6 yards and Calijah Kancey for -6 yards,2.840,1.350
2,0:12,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:12,3,15,TAM 40,14,20,Cooper Rush pass incomplete deep right intended for Jalen Tolbert (defended by Zyon McCollum),1.350,0.590
2,0:05,4,15,TAM 40,14,23,Brandon Aubrey 58 yard field goal good,0.590,3.000
3,15:00,,,DAL 35,14,23,Brandon Aubrey kicks off 65 yards returned by Rakim Jarrett for 38 yards (tackle by Buddy Johnson),0.000,1.470
3,14:53,1,10,TAM 38,14,23,Bucky Irving up the middle for 7 yards (tackle by Osa Odighizuwa),1.470,1.870
3,14:18,2,3,TAM 45,14,23,Bucky Irving left guard for 4 yards (tackle by Chauncey Golston),1.870,2.190
3,13:40,1,10,TAM 49,14,23,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Chauncey Golston and Donovan Wilson),2.190,2.320
