Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
2,8:50,,,LAC 35,14,10,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,8:50,1,10,DEN 30,14,10,Bo Nix pass complete short right to Javonte Williams for 4 yards (tackle by Teair Tart),0.940,0.930
2,8:14,2,6,DEN 34,14,10,Penalty on Ben Powers: False Start 5 yards (accepted) (no play),0.930,0.260
2,7:58,2,11,DEN 29,14,10,Bo Nix pass incomplete short right intended for Courtland Sutton (defended by Poona Ford),0.260,-0.430
2,7:55,3,11,DEN 29,14,10,Bo Nix pass complete short right to Javonte Williams for 12 yards (tackle by Tarheeb Still),-0.430,1.660
2,7:12,1,10,DEN 41,14,10,Bo Nix pass complete short left to Marvin Mims for 53 yards (tackle by Derwin James),1.660,5.830
2,6:30,1,6,LAC 6,14,10,Bo Nix pass incomplete short right intended for Javonte Williams,5.830,4.950
2,6:26,2,6,LAC 6,20,10,Bo Nix pass complete short left to Devaughn Vele for 6 yards touchdown,4.950,7.000
2,6:22,,,LAC 15,21,10,Wil Lutz kicks extra point good,0.000,0.000
2,6:22,,,DEN 35,21,10,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,6:22,1,10,LAC 30,21,10,Gus Edwards right guard for 2 yards (tackle by D.J. Jones),0.940,0.660
2,5:41,2,8,LAC 32,21,10,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Patrick Surtain),0.660,0.630
2,5:12,3,3,LAC 37,21,10,Justin Herbert pass incomplete deep right intended for Josh Palmer (defended by Brandon Jones),0.630,-0.910
2,5:07,4,3,LAC 37,21,10,JK Scott punts 41 yards fair catch by Marvin Mims at DEN-22,-0.910,-0.410
2,5:00,1,10,DEN 22,21,10,Bo Nix scrambles right end for 15 yards (tackle by Junior Colson),0.410,1.400
2,4:22,1,10,DEN 37,21,10,Bo Nix sacked by Joey Bosa for -8 yards,1.400,-0.220
2,3:36,,,,,,Timeout #1 by Denver Broncos,,
2,3:36,2,18,DEN 29,21,10,Bo Nix pass complete short middle to Courtland Sutton for 12 yards (tackle by Tarheeb Still),-0.220,0.700
2,2:48,3,6,DEN 41,21,10,Bo Nix pass incomplete short left intended for Devaughn Vele (defended by Deane Leonard),0.700,-0.650
2,2:45,4,6,DEN 41,21,10,Riley Dixon punts 51 yards returned by Derius Davis for 17 yards (tackle by Drew Sanders and JL Skinner),-0.650,-0.610
2,2:34,1,10,LAC 25,21,10,Justin Herbert pass complete short right to Derius Davis for 12 yards (tackle by Brandon Jones),0.610,1.400
2,2:09,1,10,LAC 37,21,10,Justin Herbert pass complete short middle to Hassan Haskins for 5 yards (tackle by Cody Barton),1.400,1.530
2,2:00,2,5,LAC 42,21,10,Justin Herbert pass complete deep left to Ladd McConkey for 21 yards (tackle by Brandon Jones),1.530,3.120
2,1:35,1,10,DEN 37,21,10,Justin Herbert pass incomplete deep right intended for Josh Palmer,3.120,2.570
2,1:30,2,10,DEN 37,21,10,Justin Herbert pass complete short left to Ladd McConkey for 10 yards (tackle by P.J. Locke and Brandon Jones) Replay Assistant challenged the first down ruling and the original play was overturned. Justin Herbert pass complete short left to Ladd McConkey for 9 yards and Brandon Jones and P.J. Locke),2.570,3.070
2,1:11,3,1,DEN 28,21,10,Justin Herbert up the middle for 2 yards (tackle by Zach Allen),3.070,3.840
2,0:50,1,10,DEN 26,21,10,Justin Herbert pass deep middle intended for Josh Palmer is intercepted by Kris Abrams-Draine at DEN-1 and returned for 17 yards (tackle by Ladd McConkey),3.840,-0.040
2,0:41,1,10,DEN 18,21,10,Bo Nix pass complete short right to Javonte Williams for -3 yards (tackle by Poona Ford),0.040,-0.930
2,0:17,2,13,DEN 15,21,10,Bo Nix pass incomplete short middle intended for Javonte Williams,-0.930,-1.660
2,0:13,3,13,DEN 15,21,10,Javonte Williams right tackle for 1 yard (tackle by Morgan Fox),-1.660,-2.390
2,0:08,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:08,4,12,DEN 16,21,10,Riley Dixon punts 46 yards fair catch by Derius Davis at LAC-38. Penalty on Tremon Smith: Kick Catch Interference 15 yards (accepted),-2.390,-2.460
2,0:00,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:00,,,,,,Timeout #2 by Denver Broncos,,
2,0:00,1,10,DEN 47,21,13,Cameron Dicker 57 yard field goal good,2.460,3.000
3,15:00,,,LAC 35,21,13,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,DEN 30,21,13,Audric Estime left guard for 7 yards (tackle by Morgan Fox),0.940,1.340
3,14:20,2,3,DEN 37,21,13,Blake Watson right tackle for 2 yards (tackle by Khalil Mack and Teair Tart),1.340,0.890
3,13:40,3,1,DEN 39,21,13,Bo Nix pass complete short right to Troy Franklin for 18 yards (tackle by Tony Jefferson),0.890,2.720
3,12:59,1,10,LAC 43,21,13,Bo Nix aborted snap recovered by Marvin Mims at LAC-47 Marvin Mims for no gain (tackle by Daiyan Henley),2.720,1.910
3,12:18,2,12,LAC 45,21,13,Bo Nix pass complete short right to Adam Trautman for 5 yards (tackle by Ja'Sir Taylor),1.910,1.880
3,11:33,3,7,LAC 40,21,13,Bo Nix pass complete short left to Nate Adkins for 5 yards (tackle by Tuli Tuipulotu),1.880,0.990
3,10:47,4,2,LAC 35,21,13,Bo Nix pass complete short right to Courtland Sutton for 5 yards (tackle by Tony Jefferson and Junior Colson),0.990,3.580
3,10:08,1,10,LAC 30,21,13,Audric Estime left tackle for -1 yards (tackle by Teair Tart),3.580,2.900
3,9:22,2,11,LAC 31,21,13,Bo Nix pass incomplete deep right intended for Marvin Mims,2.900,2.210
3,9:16,3,11,LAC 31,21,13,Bo Nix pass complete short right to Marvin Mims for 8 yards (tackle by Tony Jefferson and Joey Bosa),2.210,2.030
3,8:34,4,3,LAC 23,24,13,Wil Lutz 41 yard field goal good,2.030,3.000
3,8:31,,,DEN 35,24,13,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
3,8:31,1,10,LAC 30,24,13,Justin Herbert pass complete short right to Ladd McConkey for 6 yards (tackle by Kris Abrams-Draine),0.940,1.200
3,7:54,2,4,LAC 36,24,13,Justin Herbert scrambles up the middle for 18 yards (tackle by Cody Barton),1.200,2.520
3,7:12,1,10,DEN 46,24,13,Kimani Vidal up the middle for 2 yards (tackle by Justin Strnad),2.520,2.250
3,6:33,2,8,DEN 44,24,13,Justin Herbert pass complete short middle to Tucker Fisk for 10 yards (tackle by Nik Bonitto and Cody Barton),2.250,3.310
3,5:49,1,10,DEN 34,24,13,Kimani Vidal up the middle for no gain (tackle by Zach Allen and Jonah Elliss),3.310,2.770
3,5:09,2,10,DEN 34,24,13,Justin Herbert pass complete short left to Stone Smartt for 19 yards (tackle by Kris Abrams-Draine),2.770,4.580
3,4:28,1,10,DEN 15,24,13,Justin Herbert sacked by Dondrea Tillman for -10 yards,4.580,2.670
3,3:52,2,20,DEN 25,24,13,Justin Herbert pass complete short right to Ladd McConkey for 7 yards (tackle by Ja'Quan McMillian),2.670,2.890
3,3:23,3,13,DEN 18,24,13,Justin Herbert scrambles up the middle for 7 yards (tackle by Justin Strnad). Penalty on Justin Strnad: Unnecessary Roughness / Defense 6 yards (accepted),2.890,6.060
3,3:02,1,5,DEN 5,24,19,Gus Edwards left end for 5 yards touchdown,6.060,7.000
3,2:58,,,DEN 2,24,19,Two Point Attempt: Justin Herbert rushes conversion fails.,1.000,-1.000
3,2:58,,,LAC 35,24,19,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,2:58,1,10,DEN 30,24,19,Blake Watson right guard for -1 yards (tackle by Poona Ford),0.940,0.260
3,2:18,2,11,DEN 29,24,19,Bo Nix pass complete short right to Javonte Williams for 3 yards (tackle by Daiyan Henley),0.260,-0.030
3,1:32,3,8,DEN 32,24,19,Bo Nix pass complete short right to Javonte Williams for 1 yard (tackle by Derwin James),-0.030,-1.180
3,0:52,4,7,DEN 33,24,19,Riley Dixon punts 45 yards out of bounds,-1.180,-0.410
3,0:45,1,10,LAC 22,24,19,Justin Herbert pass complete short left to Josh Palmer for 12 yards (tackle by Patrick Surtain),0.410,1.200
3,0:09,1,10,LAC 34,24,19,Gus Edwards up the middle for 4 yards (tackle by Malcolm Roach and Eyioma Uwazurike),1.200,1.200
4,15:00,2,6,LAC 38,24,19,Justin Herbert pass incomplete short right intended for Scott Matlock. Penalty on Jonathon Cooper: Horse Collar Tackle 15 yards (accepted) (no play),1.200,2.460
4,14:55,1,10,DEN 47,24,19,Justin Herbert pass incomplete short middle intended for Gus Edwards (defended by D.J. Jones),2.460,1.910
4,14:50,2,10,DEN 47,24,19,Justin Herbert pass complete short left to Kimani Vidal for no gain (tackle by Cody Barton). Penalty on Zach Allen: Defensive Offside 5 yards (accepted) (no play),1.910,2.590
4,14:22,2,5,DEN 42,24,19,Kimani Vidal right guard for no gain. Kimani Vidal fumbles (tackle by Dondrea Tillman recovered by Kimani Vidal at DEN-42,2.590,1.880
4,13:36,3,5,DEN 42,24,19,Justin Herbert pass complete short right to Quentin Johnston for 6 yards (tackle by Patrick Surtain). Penalty on Dondrea Tillman: Defensive Offside 5 yards (declined),1.880,3.180
4,13:14,1,10,DEN 36,24,19,Justin Herbert pass complete short middle to Ladd McConkey for 17 yards (tackle by Patrick Surtain and P.J. Locke),3.180,4.310
4,12:29,1,10,DEN 19,24,25,Justin Herbert pass complete deep left to Derius Davis for 19 yards touchdown,4.310,7.000
4,12:23,,,DEN 2,24,27,Two Point Attempt: Justin Herbert pass complete to to Josh Palmer for no gain,1.000,1.000
4,12:23,,,LAC 35,24,27,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,12:23,1,10,DEN 30,24,27,Audric Estime right guard for 5 yards (tackle by Tarheeb Still),0.940,1.070
4,11:39,2,5,DEN 35,24,27,Bo Nix pass incomplete short left,1.070,0.370
4,11:35,3,5,DEN 35,24,27,Bo Nix pass complete short left to Michael Burton for 13 yards (tackle by Kendall Williamson),0.370,2.130
4,10:51,1,10,DEN 48,24,27,Bo Nix pass incomplete deep right intended for Marvin Mims (defended by Tarheeb Still),2.130,1.580
4,10:43,2,10,DEN 48,24,27,Javonte Williams left guard for 2 yards (tackle by Tuli Tuipulotu),1.580,1.160
4,10:02,3,8,DEN 50,24,27,Bo Nix pass incomplete short right intended for Blake Watson,1.160,-0.060
4,9:55,4,8,DEN 50,24,27,Riley Dixon punts 45 yards downed by Tremon Smith,-0.060,0.380
4,9:48,1,10,LAC 5,24,27,Justin Herbert pass incomplete deep left intended for Quentin Johnston,-0.380,-0.780
4,9:42,2,10,LAC 5,24,27,Justin Herbert pass complete short left to Quentin Johnston for 6 yards (tackle by Kris Abrams-Draine),-0.780,-0.720
4,8:58,3,4,LAC 11,24,27,Justin Herbert pass complete short left to Hayden Hurst for 8 yards (tackle by P.J. Locke and Justin Strnad),-0.720,0.150
4,8:12,1,10,LAC 19,24,27,Gus Edwards up the middle for 1 yard (tackle by Brandon Jones),0.150,-0.200
4,7:29,2,9,LAC 20,24,27,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by Jonathon Cooper),-0.200,-0.940
4,7:26,3,9,LAC 20,24,27,Justin Herbert sacked by Drew Sanders for -11 yards,-0.940,-2.490
4,6:48,4,20,LAC 9,24,27,JK Scott punts 46 yards fair catch by Marvin Mims at DEN-45,-2.490,-1.930
4,6:41,1,10,DEN 45,24,27,Bo Nix sacked by Bud Dupree for -10 yards,1.930,0.030
4,5:56,2,20,DEN 35,24,27,Audric Estime up the middle for 7 yards (tackle by Joey Bosa),0.030,0.300
4,5:16,3,13,DEN 42,24,27,Bo Nix pass complete short middle to Lucas Krull for 7 yards (tackle by Derwin James),0.300,-0.130
4,4:34,4,6,DEN 49,24,27,Riley Dixon punts 41 yards fair catch by Derius Davis at LAC-10,-0.130,0.380
4,4:28,1,10,LAC 10,24,27,Gus Edwards right end for no gain (tackle by Cody Barton and John Franklin-Myers),-0.380,-0.780
4,3:46,2,10,LAC 10,24,27,Justin Herbert pass incomplete short left intended for Quentin Johnston,-0.780,-1.420
4,3:43,3,10,LAC 10,24,27,Justin Herbert scrambles right end for 16 yards (tackle by Ja'Quan McMillian),-1.420,0.670
4,3:35,1,10,LAC 26,24,27,Gus Edwards up the middle for 43 yards (tackle by Justin Strnad),0.670,3.510
4,2:42,1,10,DEN 31,24,27,Gus Edwards right end for -3 yards (tackle by Jonah Elliss and Brandon Jones),3.510,2.560
4,2:36,,,,,,Timeout #1 by Denver Broncos,,
4,2:36,2,13,DEN 34,24,33,Justin Herbert pass complete short middle to Hassan Haskins for 34 yards touchdown,2.560,7.000
4,2:27,,,DEN 15,24,34,Cameron Dicker kicks extra point good,0.000,0.000
4,2:27,,,LAC 35,24,34,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,2:27,1,10,DEN 30,24,34,Bo Nix pass complete short right to Courtland Sutton for 11 yards (tackle by Kristian Fulton),0.940,1.660
4,2:23,1,10,DEN 41,24,34,Bo Nix pass complete short right to Troy Franklin for 7 yards (tackle by Daiyan Henley),1.660,2.070
4,2:03,2,3,DEN 48,24,34,Bo Nix scrambles up the middle for no gain lateral to Javonte Williams for no gain (tackle by Deane Leonard). Penalty on Bo Nix: Illegal Forward Pass 5 yards (declined) . Penalty on Garett Bolles: Offensive Holding 10 yards (accepted) (no play),2.070,0.720
4,1:54,2,13,DEN 38,24,34,Bo Nix pass incomplete short right intended for Javonte Williams,0.720,0.040
4,1:49,3,13,DEN 38,24,34,Bo Nix pass complete short right to Lucas Krull for 10 yards (tackle by Kristian Fulton and Daiyan Henley),0.040,-0.190
4,1:26,,,,,,Timeout #1 by Los Angeles Chargers,,
4,1:26,4,3,DEN 48,24,34,Bo Nix pass complete short middle to Lucas Krull for 4 yards (tackle by Tony Jefferson),-0.190,2.390
4,1:08,1,10,LAC 48,24,34,Bo Nix pass complete short left to Javonte Williams for 11 yards (tackle by Daiyan Henley),2.390,3.120
4,1:02,1,10,LAC 37,27,34,Wil Lutz 55 yard field goal good,3.120,3.000
4,0:57,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:57,,,DEN 35,27,34,Wil Lutz kicks onside 11 yards returned by Nick Niemann for no gain,0.000,2.520
4,0:56,1,10,DEN 46,27,34,Justin Herbert kneels for -5 yards,2.520,1.300
4,0:53,,,,,,Timeout #2 by Denver Broncos,,
4,0:53,2,15,LAC 49,27,34,Justin Herbert kneels for -5 yards,1.300,-0.030
4,0:53,,,,,,Timeout #3 by Denver Broncos,,
4,0:48,3,20,LAC 44,27,34,Justin Herbert kneels for -7 yards,-0.030,-0.910
4,0:04,4,27,LAC 37,27,34,Penalty on Justin Herbert: Delay of Game 5 yards (accepted) (no play),-0.910,-1.240
4,0:04,4,32,LAC 32,27,34,Justin Herbert pass incomplete deep right,-1.240,1.070
