Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
3,11:44,1,10,BAL 30,10,17,Lamar Jackson pass complete short left to Mark Andrews for 5 yards (tackle by Joey Porter),0.940,1.070
3,11:02,2,5,BAL 35,10,17,Derrick Henry left tackle for 4 yards (tackle by Isaiahh Loudermilk),1.070,0.890
3,10:42,3,1,BAL 39,10,17,Derrick Henry left tackle for -1 yards (tackle by Elandon Roberts),0.890,-0.850
3,9:59,4,2,BAL 38,10,17,Jordan Stout punts 50 yards fair catch by Calvin Austin at PIT-12,-0.850,0.350
3,9:52,1,10,PIT 12,10,17,Russell Wilson pass complete deep right to Calvin Austin for 44 yards (tackle by Nate Wiggins),-0.350,2.650
3,9:33,1,10,BAL 44,10,17,Najee Harris right tackle for 4 yards (tackle by Ar'Darius Washington and Tavius Robinson),2.650,2.650
3,8:59,2,6,BAL 40,10,17,Najee Harris right tackle for no gain (tackle by Marlon Humphrey and Roquan Smith),2.650,1.950
3,8:00,3,6,BAL 40,10,17,Russell Wilson pass complete short middle to Calvin Austin for 16 yards (tackle by Brandon Stephens),1.950,3.970
3,7:10,1,10,BAL 24,10,17,Najee Harris left tackle for 9 yards (tackle by Tavius Robinson and Kyle Van Noy),3.970,4.850
3,6:27,2,1,BAL 15,10,17,Jaylen Warren left tackle for 4 yards (tackle by Roquan Smith and Malik Harrison),4.850,4.840
3,6:01,1,10,BAL 11,10,17,Jaylen Warren left tackle for -1 yards (tackle by Nnamdi Madubuike),4.840,3.980
3,5:19,2,11,BAL 12,16,17,Russell Wilson pass complete short left to Cordarrelle Patterson for 12 yards touchdown,3.980,7.000
3,5:14,,,BAL 15,17,17,Chris Boswell kicks extra point good,0.000,0.000
3,5:14,,,PIT 35,17,17,Chris Boswell kicks off 25 yards out of bounds. Penalty on Chris Boswell: Kickoff Out of Bounds (accepted),0.000,1.600
3,5:14,1,10,BAL 40,17,17,Lamar Jackson pass complete short left to Mark Andrews for 16 yards (tackle by Patrick Queen),1.600,2.650
3,4:41,1,10,PIT 44,17,17,Lamar Jackson left end for 3 yards (tackle by Minkah Fitzpatrick),2.650,2.520
3,3:57,2,7,PIT 41,17,17,Lamar Jackson pass complete short middle to Zay Flowers for 14 yards (tackle by Damontae Kazee),2.520,3.780
3,3:16,1,10,PIT 27,17,17,Lamar Jackson pass complete short left to Derrick Henry for 16 yards (tackle by James Pierre and Isaiahh Loudermilk),3.780,4.840
3,2:35,1,10,PIT 11,17,17,Lamar Jackson left tackle for 4 yards (tackle by Patrick Queen and Minkah Fitzpatrick),4.840,4.890
3,1:53,2,6,PIT 7,17,23,Lamar Jackson pass complete short middle to Mark Andrews for 7 yards touchdown,4.890,7.000
3,1:50,,,PIT 15,17,24,Justin Tucker kicks extra point good,0.000,0.000
3,1:50,,,BAL 35,17,24,Jordan Stout kicks off 61 yards returned by Jaylen Warren for 34 yards (tackle by Desmond King),0.000,1.470
3,1:44,1,10,PIT 38,17,24,Russell Wilson pass incomplete short left intended for Najee Harris,1.470,0.920
3,1:39,2,10,PIT 38,17,24,Russell Wilson pass complete short left to Mike Williams for 13 yards (tackle by Tre'Davious White),0.920,2.320
3,1:09,1,10,BAL 49,17,24,Najee Harris left guard for 3 yards (tackle by Travis Jones),2.320,2.190
3,0:31,2,7,BAL 46,17,24,Russell Wilson pass incomplete deep left,2.190,1.490
3,0:25,3,7,BAL 46,17,24,Russell Wilson pass complete short left to Jaylen Warren for 1 yard. Jaylen Warren fumbles (forced by Kyle Hamilton) recovered by Jaylen Warren at BAL-45,1.490,0.270
4,15:00,4,6,BAL 45,17,24,Russell Wilson pass incomplete deep middle intended for Calvin Austin (defended by Kyle Hamilton),0.270,-1.930
4,14:53,1,10,BAL 45,17,24,Derrick Henry left end for 44 yards (tackle by Damontae Kazee),1.930,4.840
4,14:14,1,10,PIT 11,17,24,Lamar Jackson pass short middle intended for Rashod Bateman is intercepted by Minkah Fitzpatrick at PIT-8 and returned for 25 yards (tackle by Patrick Mekari),4.840,-1.140
4,13:57,1,10,PIT 33,17,24,Najee Harris left guard for 3 yards (tackle by Brent Urban and Chris Board),1.140,1.000
4,13:15,2,7,PIT 36,17,30,Russell Wilson pass short right intended for MyCole Pruitt is intercepted by Marlon Humphrey at PIT-37 and returned for 37 yards touchdown,1.000,-7.000
4,13:06,,,PIT 15,17,31,Justin Tucker kicks extra point good,0.000,0.000
4,13:06,,,BAL 35,17,31,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,13:06,1,10,PIT 30,17,31,Jaylen Warren left guard for 11 yards (tackle by Tavius Robinson and Kyle Hamilton),0.940,1.660
4,12:43,1,10,PIT 41,17,31,Russell Wilson pass complete short middle to Pat Freiermuth for 4 yards (tackle by Roquan Smith),1.660,1.660
4,12:20,2,6,PIT 45,17,31,Jaylen Warren right guard for 2 yards (tackle by David Ojabo),1.660,1.220
4,11:54,3,4,PIT 47,17,31,Russell Wilson pass complete short middle to Jaylen Warren for 5 yards (tackle by Chris Board and Roquan Smith),1.220,2.390
4,11:23,1,10,BAL 48,17,31,Russell Wilson sacked by Kyle Van Noy for -4 yards,2.390,1.310
4,10:40,2,14,PIT 48,17,31,Penalty on Broderick Jones: False Start 4 yards (accepted) (no play),1.310,0.770
4,10:40,2,18,PIT 44,17,31,Russell Wilson pass complete short middle to Pat Freiermuth for 7 yards (tackle by Ar'Darius Washington),0.770,1.030
4,10:02,3,11,BAL 49,17,31,Russell Wilson pass complete short right to Calvin Austin for -1 yards (tackle by Brandon Stephens),1.030,-0.060
4,9:27,4,12,BAL 50,17,31,Corliss Waitman punts 42 yards fair catch by Desmond King at BAL-8,-0.060,0.380
4,9:19,1,10,BAL 8,17,31,Derrick Henry left guard for no gain (tackle by Patrick Queen and Alex Highsmith),-0.380,-0.780
4,8:49,2,10,BAL 8,17,31,Derrick Henry left guard for 5 yards (tackle by James Pierre),-0.780,-0.840
4,8:10,3,5,BAL 13,17,31,Lamar Jackson pass complete deep right to Zay Flowers for 49 yards (tackle by Damontae Kazee),-0.840,3.050
4,7:21,1,10,PIT 38,17,31,Derrick Henry left guard for 5 yards (tackle by Cameron Heyward and T.J. Watt),3.050,3.180
4,6:39,2,5,PIT 33,17,31,Derrick Henry up the middle for 4 yards (tackle by T.J. Watt and Cameron Heyward),3.180,3.010
4,6:03,3,1,PIT 29,17,31,Mark Andrews up the middle for 1 yard (tackle by Patrick Queen and Dean Lowry),3.010,3.710
4,5:21,1,10,PIT 28,17,31,Derrick Henry up the middle for 13 yards (tackle by Cory Trice and Minkah Fitzpatrick),3.710,4.580
4,4:39,1,10,PIT 15,17,31,Derrick Henry left guard for 1 yard (tackle by Isaiahh Loudermilk and Nick Herbig),4.580,4.110
4,4:00,2,9,PIT 14,17,31,Rasheen Ali left tackle for 2 yards (tackle by Cory Trice),4.110,3.580
4,3:17,3,7,PIT 12,17,31,Penalty on Alex Highsmith: Neutral Zone Infraction 5 yards (accepted) (no play),3.580,4.680
4,3:17,3,2,PIT 7,17,31,Derrick Henry left guard for 1 yard (tackle by Isaiahh Loudermilk and Cameron Heyward),4.680,3.020
4,3:14,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,3:14,4,1,PIT 6,17,34,Justin Tucker 23 yard field goal good,3.020,3.000
4,3:10,,,BAL 35,17,34,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,3:10,1,10,PIT 30,17,34,Jaylen Warren right guard for 5 yards (tackle by Nnamdi Madubuike),0.940,1.070
4,2:49,2,5,PIT 35,17,34,Jaylen Warren right guard for 5 yards (tackle by Chris Board and Roquan Smith),1.070,1.600
4,2:31,1,10,PIT 40,17,34,Russell Wilson pass incomplete short right,1.600,1.050
4,2:25,2,10,PIT 40,17,34,Jaylen Warren up the middle for -3 yards (tackle by Nnamdi Madubuike and Chris Board),1.050,-0.030
4,2:00,3,13,PIT 37,17,34,Russell Wilson pass incomplete short left,-0.030,-0.910
4,1:52,4,13,PIT 37,17,34,Corliss Waitman punts 49 yards recovered by Kristian Welch at BAL-15,-0.910,0.220
4,1:39,1,10,BAL 15,17,34,Lamar Jackson kneels for -1 yards,-0.220,-0.820
4,0:58,2,11,BAL 14,17,34,Lamar Jackson kneels for -1 yards,-0.820,-1.640
4,0:24,3,12,BAL 13,17,34,Lamar Jackson kneels for -1 yards,-1.640,-2.490
