Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA
2,8:23,2,1,LVR 46,7,10,Aidan O'Connell up the middle for 3 yards (tackle by DaVon Hamilton),2.070,2.190
2,7:51,1,10,LVR 49,7,10,Ameer Abdullah left guard for 5 yards (tackle by Devin Lloyd),2.190,2.320
2,7:14,2,5,JAX 46,7,10,Ameer Abdullah left guard for 10 yards (tackle by Devin Lloyd),2.320,3.180
2,6:38,1,10,JAX 36,7,10,Aidan O'Connell pass complete short left to Brock Bowers for 9 yards (tackle by Devin Lloyd),3.180,3.850
2,6:03,2,1,JAX 27,7,10,Aidan O'Connell right guard for 3 yards (tackle by Foyesade Oluokun),3.850,3.970
2,5:27,1,10,JAX 24,7,10,Alexander Mattison left tackle for -2 yards (tackle by Tyler Lacy and Devin Lloyd),3.970,3.160
2,4:46,2,12,JAX 26,7,10,Aidan O'Connell pass incomplete short left intended for Ameer Abdullah (defended by Foyesade Oluokun),3.160,2.480
2,4:40,3,12,JAX 26,7,10,Aidan O'Connell pass complete short left to Alexander Mattison for 7 yards (tackle by Antonio Johnson),2.480,2.240
2,4:00,4,5,JAX 19,7,13,Daniel Carlson 37 yard field goal good,2.240,3.000
2,3:56,,,LVR 35,7,13,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
2,3:56,1,10,JAX 30,7,13,Tank Bigsby right guard for 10 yards. Tank Bigsby fumbles (forced by Isaiah Pola-Mao) recovered by Tre'von Moehrig at JAC-45 (tackle by Isaiah Pola-Mao),0.940,-2.590
2,3:50,1,10,JAX 45,7,13,Alexander Mattison up the middle for 4 yards (tackle by Travon Walker),2.590,2.580
2,3:27,2,6,JAX 41,7,13,Aidan O'Connell pass incomplete short left intended for Alexander Mattison,2.580,1.880
2,3:22,3,6,JAX 41,7,13,Penalty on Kolton Miller: False Start 5 yards (accepted) (no play),1.880,1.220
2,3:22,3,11,JAX 46,7,13,Penalty on Cody Whitehair: False Start 5 yards (accepted) (no play),1.220,0.560
2,3:22,3,16,LVR 49,7,13,Alexander Mattison up the middle for no gain (tackle by Jarrian Jones). Penalty on Josh Hines-Allen: Defensive Offside 5 yards (accepted) (no play),0.560,1.220
2,3:03,3,11,JAX 46,7,13,Aidan O'Connell pass incomplete deep left intended for Brock Bowers. Penalty on Travon Walker: Defensive Offside 5 yards (accepted) (no play),1.220,1.880
2,2:58,3,6,JAX 41,7,13,Aidan O'Connell pass incomplete short middle intended for Alexander Mattison (defended by Andrew Wingard),1.880,0.530
2,2:52,4,6,JAX 41,7,13,AJ Cole punts 31 yards fair catch by Devin Duvernay at JAC-10,0.530,0.380
2,2:46,1,10,JAX 10,7,13,Travis Etienne up the middle for 3 yards (tackle by Jonah Laulu),-0.380,-0.560
2,2:02,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,2:02,2,7,JAX 13,7,13,Mac Jones pass complete short left to Brian Thomas for 4 yards (tackle by Darnay Holmes),-0.560,-0.600
2,1:56,3,3,JAX 17,7,13,Mac Jones pass complete short middle to Parker Washington for 8 yards (tackle by Jack Jones),-0.600,0.610
2,1:30,1,10,JAX 25,7,13,Mac Jones pass incomplete short right intended for Brian Thomas,0.610,0.060
