Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
3,8:26,1,10,KAN 20,16,17,Patrick Mahomes pass complete short left to Xavier Worthy for 19 yards (tackle by Christian Harris),0.280,1.530
3,7:52,1,10,KAN 39,16,17,Patrick Mahomes pass complete short middle to Travis Kelce for 4 yards (tackle by Eric Murray),1.530,1.530
3,7:17,2,6,KAN 43,16,17,Kareem Hunt right end for 7 yards (tackle by Christian Harris). Penalty on Danielle Hunter: Defensive Offside 5 yards (declined),1.530,2.260
3,6:51,1,10,KAN 50,16,17,Patrick Mahomes scrambles right end for 8 yards (tackle by Eric Murray),2.260,2.790
3,6:15,2,2,HOU 42,16,17,Patrick Mahomes pass complete short middle to Travis Kelce for 4 yards (tackle by Eric Murray),2.790,3.050
3,5:33,1,10,HOU 38,16,17,Patrick Mahomes pass complete short left to Kareem Hunt for 7 yards (tackle by Jeff Okudah),3.050,3.450
3,4:51,2,3,HOU 31,16,17,Patrick Mahomes pass complete short left to Xavier Worthy for 12 yards (tackle by Jeff Okudah),3.450,4.310
3,4:10,1,10,HOU 19,16,17,Xavier Worthy right end for 7 yards (tackle by Derek Stingley),4.310,4.920
3,3:32,2,3,HOU 12,16,17,Kareem Hunt right end for 4 yards (tackle by Will Anderson),4.920,5.370
3,2:46,1,8,HOU 8,16,23,Patrick Mahomes pass complete short left to Xavier Worthy for 8 yards touchdown,5.370,7.000
3,2:42,,,HOU 15,16,24,Harrison Butker kicks extra point good,0.000,0.000
3,2:42,,,KAN 35,16,24,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
3,2:42,1,10,HOU 30,16,24,C.J. Stroud pass complete short middle to Dalton Schultz for 2 yards (tackle by Drue Tranquill and Mike Pennel),0.940,0.660
3,2:13,2,8,HOU 32,16,24,Joe Mixon left end for 13 yards (tackle by Justin Reid),0.660,1.930
3,1:38,1,10,HOU 45,16,24,C.J. Stroud pass incomplete short left intended for Joe Mixon,1.930,1.380
3,1:32,2,10,HOU 45,16,24,C.J. Stroud pass incomplete short right intended for Robert Woods,1.380,0.700
