Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
3,12:13,1,10,NYG 21,20,3,Sam Darnold pass complete deep right to Jalen Nailor for 21 yards touchdown,4.170,7.000
3,12:08,,,NYG 15,21,3,Will Reichard kicks extra point good,0.000,0.000
3,12:08,,,MIN 35,21,3,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,12:08,1,10,NYG 30,21,3,Daniel Jones pass complete short middle to Malik Nabers for 5 yards (tackle by Byron Murphy),0.940,1.070
3,11:27,2,5,NYG 35,21,3,Daniel Jones pass incomplete short middle intended for Devin Singletary,1.070,0.370
3,11:20,3,5,NYG 35,21,3,Daniel Jones pass complete deep left to Malik Nabers for 25 yards (tackle by Byron Murphy and Camryn Bynum),0.370,2.920
3,10:36,1,10,MIN 40,21,3,Tyrone Tracy right tackle for no gain (tackle by Josh Metellus and Jerry Tillery),2.920,2.370
3,9:59,2,10,MIN 40,21,3,Daniel Jones sacked by Harrison Phillips for -2 yards,2.370,1.420
3,9:16,3,12,MIN 42,21,3,Daniel Jones pass complete short left to Wan'Dale Robinson for 11 yards (tackle by Blake Cashman),1.420,1.410
3,8:37,4,1,MIN 31,21,3,Daniel Jones up the middle for 1 yard (tackle by Jerry Tillery),1.410,3.580
3,7:55,1,10,MIN 30,21,3,Daniel Jones pass incomplete short left intended for Devin Singletary. Penalty on Greg Van Roten: Offensive Holding 9 yards (accepted) (no play),3.580,2.980
3,7:46,1,20,MIN 39,21,3,Daniel Jones pass incomplete short left intended for Tyrone Tracy,2.980,1.750
3,7:43,2,20,MIN 39,21,3,Daniel Jones sacked by Patrick Jones for -7 yards,1.750,0.230
3,7:03,3,26,MIN 46,21,3,Daniel Jones pass complete short middle to Wan'Dale Robinson for 15 yards (tackle by Harrison Smith),0.230,1.320
3,6:14,4,11,MIN 31,21,6,Graham Gano 50 yard field goal good,1.320,3.000
3,6:08,,,NYG 35,21,6,Graham Gano kicks off 65 yards touchback.,0.000,0.940
3,6:08,,,,,,Timeout #1 by Minnesota Vikings,,
3,6:08,1,10,MIN 30,21,6,Ty Chandler left guard for 1 yard (tackle by Tyler Nubin),0.940,0.530
3,5:30,2,9,MIN 31,21,6,Sam Darnold pass complete short right to Josh Oliver for 5 yards (tackle by Brian Burns),0.530,0.500
3,4:41,,,,,,Timeout #2 by Minnesota Vikings,,
