Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
3,14:52,1,10,CAR 26,3,30,Chuba Hubbard right guard for -2 yards (tackle by Nathan Shepherd),0.670,-0.140
3,14:12,2,12,CAR 24,3,30,Bryce Young pass incomplete deep left,-0.140,-0.820
3,14:03,3,12,CAR 24,3,30,Penalty on Bryce Young: Delay of Game 5 yards (accepted) (no play),-0.820,-1.580
3,14:03,3,17,CAR 19,3,30,Bryce Young pass deep left intended for Adam Thielen is intercepted by Jordan Howden at NO-48 and returned for -5 yards (tackle by Adam Thielen),-1.580,-1.800
3,13:53,1,10,NOR 43,3,30,Derek Carr scrambles left end for 8 yards (tackle by Xavier Woods),1.800,2.330
3,13:35,2,2,CAR 49,3,30,Penalty on Erik McCoy: Personal Foul / Offense 15 yards (accepted) (no play),2.330,0.310
3,13:20,2,17,NOR 36,3,30,Derek Carr pass complete short left to Alvin Kamara for -2 yards (tackle by Eku Leota and Derrick Brown),0.310,-0.620
3,12:47,3,19,NOR 34,3,30,Derek Carr pass incomplete deep right intended for Rashid Shaheed. Penalty on Michael Jackson: Defensive Pass Interference 31 yards (accepted) (no play),-0.620,3.250
3,12:34,1,10,CAR 35,3,30,Alvin Kamara right tackle for 4 yards (tackle by A'Shawn Robinson),3.250,3.240
3,12:03,2,6,CAR 31,3,30,Taysom Hill left end for 7 yards (tackle by Michael Jackson),3.240,3.970
3,11:23,1,10,CAR 24,3,30,Derek Carr pass complete short right to Rashid Shaheed for 13 yards (tackle by Michael Jackson),3.970,4.840
3,10:42,1,10,CAR 11,3,30,Alvin Kamara left tackle for no gain touchdown. Penalty on Taliese Fuaga: Offensive Holding 10 yards (accepted) (no play),4.840,4.170
3,10:36,1,20,CAR 21,3,30,Derek Carr pass complete short right to Alvin Kamara for 18 yards (tackle by Xavier Woods),4.170,5.660
3,9:48,2,2,CAR 3,3,30,Penalty on Derek Carr: Delay of Game 5 yards (accepted) (no play),5.660,4.700
3,9:29,2,7,CAR 8,3,30,Alvin Kamara up the middle for 5 yards (tackle by Josey Jewell and Shaq Thompson),4.700,4.890
3,9:06,3,2,CAR 3,3,30,Alvin Kamara left guard for 2 yards (tackle by Troy Hill and Jordan Fuller),4.890,6.970
3,8:30,1,1,CAR 1,3,36,Alvin Kamara left guard for 1 yard touchdown,6.970,7.000
3,8:27,,,CAR 15,3,37,Blake Grupe kicks extra point good,0.000,0.000
3,8:27,,,NOR 35,3,37,Blake Grupe kicks off 62 yards returned by Raheem Blackshear for 22 yards (tackle by J.T. Gray and Isaiah Foskey),0.000,0.610
3,8:21,1,10,CAR 25,3,37,Chuba Hubbard left guard for 1 yard (tackle by Nathan Shepherd and Demario Davis),0.610,0.200
3,7:41,2,9,CAR 26,3,37,Bryce Young pass complete short left to Adam Thielen for 3 yards (tackle by Marshon Lattimore),0.200,-0.100
3,7:34,3,6,CAR 29,3,37,Penalty on Payton Turner: Personal Foul / Defense 15 yards (accepted) (no play),-0.100,1.860
3,7:10,1,10,CAR 44,3,37,Bryce Young pass complete deep right to Xavier Legette for 18 yards,1.860,3.050
3,6:33,1,10,NOR 38,3,37,Bryce Young pass complete deep left to Jonathan Mingo for 35 yards (tackle by Jordan Howden) NOR challenged the runner was down by contact ruling and the play was upheld.,3.050,6.510
3,5:52,1,3,NOR 3,3,37,Bryce Young pass incomplete short right intended for Diontae Johnson,6.510,5.530
3,5:49,2,3,NOR 3,3,37,Bryce Young sacked by Demario Davis for no gain,5.530,4.720
3,5:04,,,,,,Timeout #1 by Carolina Panthers,,
3,5:04,3,3,NOR 3,3,37,Bryce Young pass incomplete short right intended for Diontae Johnson (defended by Paulson Adebo),4.720,3.040
3,5:00,4,3,NOR 3,9,37,Bryce Young scrambles up the middle for no gain. Bryce Young fumbles (forced by Paulson Adebo) recovered by Jonathan Mingo at NO-1 Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Bryce Young scrambles up the middle for 3 yards touchdown,3.040,7.000
3,4:55,,,NOR 15,10,37,Eddy Pineiro kicks extra point good,0.000,0.000
3,4:55,,,CAR 35,10,37,Eddy Pineiro kicks off 61 yards returned by Jamaal Williams for 32 yards (tackle by Jon Rhattigan and Chau Smith-Wade),0.000,1.330
3,4:49,1,10,NOR 36,10,37,Jamaal Williams left guard for 2 yards (tackle by Derrick Brown and Jordan Fuller),1.330,1.060
3,4:15,2,8,NOR 38,10,37,Derek Carr pass complete short middle to Jamaal Williams for 13 yards (tackle by Josey Jewell and Xavier Woods),1.060,2.320
3,3:35,1,10,CAR 49,10,37,Jamaal Williams right tackle for 6 yards (tackle by Josey Jewell),2.320,2.590
3,2:58,2,4,CAR 43,10,37,Alvin Kamara left tackle for 1 yard (tackle by Shaq Thompson),2.590,2.020
3,2:20,,,,,,Timeout #2 by New Orleans Saints,,
3,2:20,3,3,CAR 42,10,37,Jamaal Williams left guard for 4 yards (tackle by Troy Hill),2.020,3.050
3,1:42,1,10,CAR 38,10,37,Jamaal Williams left guard for -3 yards (tackle by Eku Leota),3.050,2.100
3,1:02,2,13,CAR 41,10,37,Derek Carr pass complete short middle to Juwan Johnson for 10 yards (tackle by Jordan Fuller),2.100,2.740
3,0:24,3,3,CAR 31,10,37,Derek Carr up the middle for 5 yards (tackle by Jayden Peevy and Derrick Brown),2.740,3.840
4,15:00,1,10,CAR 26,10,37,Derek Carr pass complete short right to Alvin Kamara for 5 yards (tackle by Jordan Fuller),3.840,3.970
4,14:26,2,5,CAR 21,10,37,Jamaal Williams left tackle for 1 yard (tackle by DJ Johnson),3.970,3.400
4,13:50,3,4,CAR 20,10,37,Jamaal Williams right end for -1 yards (tackle by Shaq Thompson),3.400,2.110
4,13:12,4,5,CAR 21,10,40,Blake Grupe 39 yard field goal good,2.110,3.000
4,13:08,,,NOR 35,10,40,Blake Grupe kicks off 64 yards returned by Raheem Blackshear for 31 yards (tackle by Isaiah Foskey and Will Harris),0.000,1.070
4,13:01,1,10,CAR 32,10,40,Bryce Young pass incomplete deep middle intended for Jordan Matthews,1.070,0.530
4,12:57,2,10,CAR 32,10,40,Miles Sanders left guard for 2 yards (tackle by Paulson Adebo),0.530,0.100
4,12:15,3,8,CAR 34,10,40,Bryce Young sacked by Alontae Taylor for -9 yards,0.100,-1.700
4,11:32,4,17,CAR 25,10,40,Johnny Hekker punts 11 yards downed by J.J. Jansen,-1.700,-3.180
4,11:21,1,10,CAR 36,10,40,Derek Carr pass complete deep right to Foster Moreau for 22 yards (tackle by Xavier Woods),3.180,4.650
4,10:43,1,10,CAR 14,10,46,Jamaal Williams left end for 14 yards touchdown,4.650,7.000
4,10:38,,,CAR 15,10,47,Blake Grupe kicks extra point good,0.000,0.000
4,10:38,,,NOR 35,10,47,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
4,10:38,1,10,CAR 30,10,47,Bryce Young pass incomplete deep left intended for Miles Sanders. Penalty on Ikem Ekwonu: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
4,10:31,1,20,CAR 20,10,47,Bryce Young pass complete short middle to David Moore for 14 yards (tackle by Pete Werner),0.280,0.930
4,9:50,2,6,CAR 34,10,47,Chuba Hubbard right guard for 1 yard (tackle by Carl Granderson),0.930,0.370
4,9:10,3,5,CAR 35,10,47,Bryce Young pass incomplete short right intended for Jonathan Mingo. Penalty on Paulson Adebo: Defensive Pass Interference 5 yards (accepted) (no play),0.370,1.600
4,9:06,1,10,CAR 40,10,47,Bryce Young pass complete short left to Jonathan Mingo for 5 yards (tackle by Kool-Aid McKinstry),1.600,1.730
4,8:31,2,5,CAR 45,10,47,Bryce Young pass complete deep right to Adam Thielen for 32 yards (tackle by Alontae Taylor),1.730,4.040
4,7:49,1,10,NOR 23,10,47,Bryce Young pass incomplete deep middle intended for Xavier Legette (defended by Alontae Taylor),4.040,3.500
4,7:44,2,10,NOR 23,10,47,Bryce Young pass complete short right to Xavier Legette for 4 yards (tackle by Paulson Adebo),3.500,3.340
4,6:59,3,6,NOR 19,10,47,Bryce Young pass incomplete deep left intended for Xavier Legette,3.340,2.210
4,6:55,4,6,NOR 19,10,47,Bryce Young pass incomplete deep right intended for David Moore,2.210,-0.150
4,6:51,1,10,NOR 19,10,47,Jamaal Williams right guard for 4 yards (tackle by Shaq Thompson and Jadeveon Clowney),0.150,0.210
4,6:07,2,6,NOR 23,10,47,Jordan Mims right guard for 4 yards (tackle by A'Shawn Robinson),0.210,-0.030
4,5:22,3,2,NOR 27,10,47,Jordan Mims right guard for no gain (tackle by Shaq Thompson and A'Shawn Robinson),-0.030,-1.570
4,4:37,4,2,NOR 27,10,47,Matthew Hayball punts 38 yards out of bounds. Penalty on J.T. Gray: Kick Catch Interference 15 yards (accepted),-1.570,-2.260
4,4:29,1,10,CAR 50,10,47,Miles Sanders right end for 5 yards (tackle by Jordan Howden and Kool-Aid McKinstry),2.260,2.390
4,4:23,2,5,NOR 45,10,47,Bryce Young pass incomplete deep left intended for Xavier Legette,2.390,1.690
4,4:17,3,5,NOR 45,10,47,Bryce Young pass incomplete short right intended for Jonathan Mingo,1.690,0.270
4,4:11,4,5,NOR 45,10,47,Bryce Young pass incomplete short right intended for David Moore (defended by Payton Turner),0.270,-1.930
4,4:07,1,10,NOR 45,10,47,Jordan Mims right guard for 2 yards (tackle by Xavier Woods and Nick Thurman),1.930,1.650
4,3:26,2,8,NOR 47,10,47,Jake Haener pass incomplete short right intended for Bub Means (defended by Josey Jewell),1.650,0.960
4,3:20,3,8,NOR 47,10,47,Jordan Mims right tackle for 5 yards (tackle by Nick Thurman and Shy Tuttle),0.960,0.070
4,2:22,4,3,CAR 48,10,47,Matthew Hayball punts 35 yards out of bounds,0.070,0.320
4,2:16,1,10,CAR 13,10,47,Mike Boone left guard for 5 yards (tackle by Kendal Vickers and Khristian Boyd),-0.320,-0.140
4,2:00,2,5,CAR 18,10,47,Mike Boone left tackle for 1 yard (tackle by Kendal Vickers),-0.140,-0.710
4,1:21,3,4,CAR 19,10,47,Andy Dalton pass incomplete short left intended for Jonathan Mingo (defended by Rico Payton),-0.710,-2.140
4,1:17,4,4,CAR 19,10,47,Johnny Hekker punts 36 yards recovered by Feleipe Franks at NO-45,-2.140,2.590
4,1:06,1,10,NOR 45,10,47,Mike Boone right tackle for 1 yard (tackle by Will Harris and Pete Werner),2.590,2.180
4,0:28,2,9,NOR 44,10,47,Mike Boone left tackle for no gain (tackle by Anfernee Orji and Isaiah Foskey),2.180,1.490
