Quarter,Time,Down,ToGo,Location,WAS,TAM,Detail,EPB,EPA
4,13:30,1,10,WAS 45,14,30,Jayden Daniels right end for 3 yards. Jayden Daniels fumbles ball out of bounds at WAS-48 (forced by Christian Izien). Jayden Daniels fumbles out of bounds,1.930,1.790
4,12:41,2,7,WAS 48,14,30,Jayden Daniels sacked by SirVocea Dennis for -13 yards,1.790,-0.630
4,11:56,3,20,WAS 35,14,30,Jayden Daniels pass complete short left to Austin Ekeler for 12 yards (tackle by SirVocea Dennis),-0.630,-0.260
4,11:15,4,8,WAS 47,14,30,Tress Way punts 44 yards out of bounds,-0.260,0.380
4,11:07,1,10,TAM 9,14,30,Bucky Irving right guard for 8 yards (tackle by Quan Martin and Noah Igbinoghene),-0.380,-0.020
4,10:27,2,2,TAM 17,14,30,Bucky Irving right tackle for 31 yards (tackle by Quan Martin),-0.020,2.130
4,9:45,1,10,TAM 48,14,30,Rachaad White left end for -3 yards (tackle by Bobby Wagner),2.130,1.180
4,9:01,2,13,TAM 45,14,30,Rachaad White left tackle for -5 yards (tackle by Bobby Wagner),1.180,-0.160
4,8:26,3,18,TAM 40,14,30,Baker Mayfield pass complete short right to Chris Godwin for 24 yards (tackle by Jeremy Chinn),-0.160,3.180
4,7:39,1,10,WAS 36,14,30,Bucky Irving up the middle for 11 yards (tackle by Quan Martin),3.180,3.910
4,6:57,1,10,WAS 25,14,30,Bucky Irving right tackle for -4 yards (tackle by Percy Butler),3.910,2.820
4,6:15,2,14,WAS 29,14,30,Baker Mayfield pass complete short left to Rachaad White for 8 yards (tackle by Quan Martin and Frankie Luvu),2.820,3.200
4,5:48,3,6,WAS 21,14,30,Baker Mayfield scrambles up the middle for 11 yards (tackle by Mike Sainristil),3.200,4.910
4,5:01,1,10,WAS 10,14,30,Rachaad White right tackle for 5 yards (tackle by Percy Butler),4.910,5.150
4,4:18,2,5,WAS 5,14,30,Rachaad White left tackle for 4 yards (tackle by Clelin Ferrell),5.150,5.170
4,3:34,3,1,WAS 1,14,36,Baker Mayfield pass complete short right to Mike Evans for 1 yard touchdown,5.170,7.000
4,3:29,,,WAS 15,14,37,Chase McLaughlin kicks extra point good,0.000,0.000
4,3:29,,,TAM 35,14,37,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
4,3:29,1,10,WAS 30,14,37,Jayden Daniels pass complete short left to Terry McLaurin for 11 yards (tackle by Jamel Dean),0.940,1.660
4,3:09,1,10,WAS 41,14,37,Jayden Daniels pass complete short right to Olamide Zaccheaus for 15 yards (tackle by Christian Izien),1.660,2.650
4,3:04,1,10,TAM 44,14,37,Jayden Daniels pass complete short right to Austin Ekeler for 7 yards (tackle by C.J. Brewer),2.650,3.060
4,2:32,2,3,TAM 37,14,37,Austin Ekeler right guard for 6 yards (tackle by Antoine Winfield and SirVocea Dennis),3.060,3.510
4,2:09,1,10,TAM 31,14,37,Jayden Daniels scrambles left end for 8 yards (tackle by SirVocea Dennis),3.510,4.050
4,2:01,2,2,TAM 23,14,37,Jayden Daniels pass complete short left to Zach Ertz for 12 yards (tackle by Jamel Dean),4.050,4.840
4,1:56,1,10,TAM 11,14,37,Jayden Daniels pass complete short middle to Luke McCaffrey for 10 yards (tackle by Tykee Smith and Jordan Whitehead),4.840,6.970
4,1:38,1,1,TAM 1,14,37,Jayden Daniels left guard for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Jayden Daniels left guard for no gain (tackle by Jordan Whitehead and Anthony Nelson),6.970,5.910
4,1:25,2,1,TAM 1,14,37,Brian Robinson left guard for no gain (tackle by Mike Greene and Ben Stille),5.910,5.170
4,1:16,,,,,,Timeout #2 by Washington Commanders,,
4,1:16,3,1,TAM 1,20,37,Jayden Daniels right tackle for 1 yard touchdown,5.170,7.000
4,1:12,,,TAM 2,20,37,Two Point Attempt: Jayden Daniels pass incomplete intended for intended for Luke McCaffrey,1.000,-1.000
4,1:12,,,WAS 35,20,37,Cade York kicks onside 12 yards returned by Trey Palmer for no gain,0.000,2.460
4,1:11,1,10,WAS 47,20,37,Kyle Trask kneels for -1 yards,2.460,1.780
4,0:33,2,11,WAS 48,20,37,Kyle Trask kneels for -1 yards,1.780,0.960
