Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
3,7:49,2,5,KAN 15,10,20,Isiah Pacheco right tackle for 2 yards (tackle by Roquan Smith),-0.350,-0.600
3,7:08,3,3,KAN 17,10,20,Patrick Mahomes pass complete short right to Travis Kelce for 10 yards (tackle by Kyle Hamilton),-0.600,0.740
3,6:29,,,,,,Timeout #2 by Baltimore Ravens,,
3,6:29,1,10,KAN 27,10,20,Patrick Mahomes pass complete short middle to Rashee Rice for 15 yards (tackle by Marcus Williams),0.740,1.730
3,5:53,1,10,KAN 42,10,20,Isiah Pacheco left guard for 3 yards (tackle by Malik Harrison),1.730,1.590
3,5:18,2,7,KAN 45,10,20,Patrick Mahomes pass complete short right to Samaje Perine for 10 yards (tackle by Travis Jones),1.590,2.590
3,4:40,1,10,BAL 45,10,20,Carson Steele left guard for 5 yards (tackle by Michael Pierce and Malik Harrison),2.590,2.720
3,3:57,2,5,BAL 40,10,20,Patrick Mahomes pass incomplete short right,2.720,2.010
3,3:50,3,5,BAL 40,10,20,Patrick Mahomes pass incomplete short left intended for Samaje Perine,2.010,0.590
3,3:46,4,5,BAL 40,10,20,Matt Araiza punts 40 yards touchback.,0.590,-0.280
3,3:37,1,10,BAL 20,10,20,Lamar Jackson pass incomplete short left intended for Derrick Henry,0.280,-0.270
3,3:33,2,10,BAL 20,10,20,Lamar Jackson pass complete short right to Rashod Bateman for 15 yards (tackle by Justin Reid and Jaylen Watson),-0.270,1.270
3,2:52,1,10,BAL 35,10,20,Derrick Henry right guard for 6 yards (tackle by Michael Danna),1.270,1.530
3,2:16,2,4,BAL 41,10,20,Derrick Henry right end for 1 yard (tackle by Tershawn Wharton),1.530,0.960
3,1:30,3,3,BAL 42,10,20,Lamar Jackson scrambles right guard for 16 yards (tackle by Bryan Cook),0.960,2.790
3,0:46,1,10,KAN 42,10,20,Lamar Jackson scrambles right end for no gain (tackle by Trent McDuffie). Penalty on Tyler Linderbaum: Offensive Holding 10 yards (accepted) (no play),2.790,2.130
3,0:10,1,20,BAL 48,10,20,Lamar Jackson right end for 3 yards (tackle by Jaylen Watson),2.130,1.300
4,15:00,2,17,KAN 49,16,20,Lamar Jackson pass complete deep right to Isaiah Likely for 49 yards touchdown,1.300,7.000
4,14:47,,,KAN 15,17,20,Justin Tucker kicks extra point good,0.000,0.000
4,14:47,,,BAL 35,17,20,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,14:47,1,10,KAN 30,17,20,Patrick Mahomes pass complete short right to Rashee Rice for 8 yards (tackle by Brandon Stephens),0.940,1.470
4,14:15,2,2,KAN 38,17,20,Isiah Pacheco right guard for 3 yards (tackle by Michael Pierce and Trenton Simpson),1.470,1.660
4,13:36,1,10,KAN 41,17,20,Patrick Mahomes pass complete short right to Noah Gray for 13 yards (tackle by Marcus Williams),1.660,2.520
4,12:57,1,10,BAL 46,17,20,Isiah Pacheco right tackle for 5 yards (tackle by Michael Pierce),2.520,2.650
4,12:21,2,5,BAL 41,17,20,Isiah Pacheco left guard for 2 yards (tackle by Odafe Oweh),2.650,2.210
4,11:40,3,3,BAL 39,17,20,Patrick Mahomes left end for 4 yards (tackle by Marcus Williams),2.210,3.250
4,11:09,1,10,BAL 35,17,20,Isiah Pacheco left end for no gain (tackle by Odafe Oweh),3.250,2.700
4,10:32,2,10,BAL 35,17,26,Patrick Mahomes pass complete deep right to Xavier Worthy for 35 yards touchdown,2.700,7.000
4,10:25,,,BAL 15,17,27,Harrison Butker kicks extra point good,0.000,0.000
4,10:25,,,KAN 35,17,27,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
4,10:25,1,10,BAL 30,17,27,Zay Flowers right end for 8 yards (tackle by Drue Tranquill),0.940,1.470
4,9:46,2,2,BAL 38,17,27,Lamar Jackson pass complete short left to Isaiah Likely for 4 yards (tackle by Bryan Cook and Michael Danna),1.470,1.730
4,9:20,1,10,BAL 42,17,27,Lamar Jackson left end for 9 yards (tackle by Tershawn Wharton),1.730,2.400
4,8:41,2,1,KAN 49,17,27,Derrick Henry right guard for 5 yards (tackle by Michael Danna),2.400,2.650
4,8:17,1,10,KAN 44,17,27,Lamar Jackson right end for 13 yards (tackle by Jaylen Watson and Chris Jones),2.650,3.510
4,7:46,1,10,KAN 31,17,27,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,3.510,2.970
4,7:38,2,10,KAN 31,17,27,Lamar Jackson pass complete short left to Nelson Agholor for 6 yards (tackle by Bryan Cook),2.970,3.070
4,7:13,3,4,KAN 25,17,27,Lamar Jackson pass complete short right to Mark Andrews for 3 yards (tackle by Chamarri Conner),3.070,2.140
4,6:35,4,1,KAN 22,17,27,Derrick Henry left guard for 2 yards (tackle by Justin Reid and Mike Pennel),2.140,4.240
4,5:52,1,10,KAN 20,17,27,Lamar Jackson scrambles right end for 4 yards (tackle by Jaylen Watson and Leo Chenal),4.240,4.280
4,5:14,2,6,KAN 16,17,27,Lamar Jackson pass incomplete short right,4.280,3.520
4,4:58,3,6,KAN 16,17,27,Lamar Jackson scrambles left guard for 2 yards (tackle by Leo Chenal). Penalty on Rashod Bateman: Illegal Formation 5 yards (declined),3.520,2.580
4,4:58,4,4,KAN 14,20,27,Justin Tucker 32 yard field goal good,2.580,3.000
4,4:54,,,BAL 35,20,27,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
