Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
2,0:26,1,10,LVR 30,7,6,Alexander Mattison up the middle for 4 yards (tackle by Morgan Fox),0.940,0.930
3,15:00,,,LAC 35,7,6,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LVR 30,7,6,Gardner Minshew pass complete short left to Brock Bowers for 4 yards (tackle by Denzel Perryman),0.940,0.930
3,14:24,2,6,LVR 34,7,6,Zamir White left end for 3 yards (tackle by Daiyan Henley),0.930,0.630
3,13:42,3,3,LVR 37,7,6,Gardner Minshew scrambles left end for 1 yard (tackle by Joey Bosa and Daiyan Henley),0.630,-0.850
3,13:00,4,2,LVR 38,7,6,AJ Cole punts 62 yards touchback.,-0.850,-0.280
3,12:53,1,10,LAC 20,7,6,J.K. Dobbins right guard for 2 yards (tackle by John Jenkins and Maxx Crosby),0.280,0.000
3,12:18,2,8,LAC 22,7,6,Justin Herbert pass complete short middle to Quentin Johnston for 16 yards (tackle by Robert Spillane),0.000,1.470
3,11:51,1,10,LAC 38,7,6,Justin Herbert pass complete short left to Ladd McConkey for 9 yards (tackle by Robert Spillane),1.470,2.140
3,11:32,2,1,LAC 47,7,6,J.K. Dobbins right guard for no gain (tackle by Christian Wilkins and Maxx Crosby),2.140,1.420
3,10:53,3,1,LAC 47,7,6,J.K. Dobbins up the middle for 46 yards (tackle by Nate Hobbs),1.420,5.600
3,10:02,1,7,LVR 7,7,6,J.K. Dobbins left tackle for 1 yard (tackle by Charles Snowden),5.600,4.950
3,9:22,2,6,LVR 6,7,6,Justin Herbert pass incomplete short left intended for Hayden Hurst,4.950,4.040
3,9:15,3,6,LVR 6,7,6,Justin Herbert pass incomplete short right intended for Ladd McConkey,4.040,2.990
3,9:11,4,6,LVR 6,7,9,Cameron Dicker 24 yard field goal good,2.990,3.000
3,9:08,,,LAC 35,7,9,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,9:08,1,10,LVR 30,7,9,Gardner Minshew pass complete short left to Davante Adams for 4 yards (tackle by Ja'Sir Taylor). Penalty on Ja'Sir Taylor: Unnecessary Roughness / Defense 15 yards (accepted),0.940,2.190
3,9:02,1,10,LVR 49,7,9,Zamir White left tackle for 6 yards (tackle by Derwin James). Penalty on Michael Mayer: Offensive Holding 10 yards (accepted),2.190,1.930
3,8:49,1,14,LVR 45,7,9,Zamir White left end for 8 yards. Zamir White fumbles (forced by Joey Bosa) recovered by Ja'Sir Taylor at LAC-45 (tackle by Joey Bosa),1.930,-1.930
3,8:20,1,10,LAC 45,7,9,Derius Davis left end for 3 yards (tackle by Robert Spillane and Jack Jones),1.930,1.790
3,7:43,2,7,LAC 48,7,9,Justin Herbert pass complete short right to J.K. Dobbins for 3 yards (tackle by Jack Jones),1.790,1.490
3,6:53,3,4,LVR 49,7,9,Justin Herbert pass short right intended for Josh Palmer is intercepted by Tre'von Moehrig at LV-49 and returned for no gain Replay Assistant challenged the pass interception ruling and the original play was overturned. Justin Herbert pass incomplete short right intended for Josh Palmer,1.490,0.000
3,6:51,4,4,LVR 49,7,9,JK Scott punts 49 yards touchback.,0.000,-0.280
3,6:47,1,10,LVR 20,7,9,Zamir White up the middle for 8 yards (tackle by Derwin James),0.280,0.810
3,6:13,2,2,LVR 28,7,9,Zamir White right end for no gain (tackle by Denzel Perryman),0.810,0.100
3,5:30,3,2,LVR 28,7,9,Gardner Minshew pass complete short left to Alexander Mattison for 3 yards (tackle by Daiyan Henley),0.100,1.000
3,4:53,1,10,LVR 31,7,9,Zamir White right guard for 12 yards (tackle by Derwin James and Asante Samuel),1.000,1.800
3,4:11,1,10,LVR 43,7,9,Gardner Minshew pass complete short middle to Davante Adams for 23 yards (tackle by Kristian Fulton),1.800,3.310
3,3:34,1,10,LAC 34,7,9,Zamir White right end for no gain (tackle by Morgan Fox),3.310,2.770
3,2:51,2,10,LAC 34,7,9,Gardner Minshew scrambles up the middle for 3 yards (tackle by Joey Bosa),2.770,2.480
3,2:11,3,7,LAC 31,7,9,Gardner Minshew pass incomplete short right,2.480,1.320
3,2:06,4,7,LAC 31,7,9,Daniel Carlson 49 yard field goal no good,1.320,-1.530
3,2:02,1,10,LAC 39,7,9,Justin Herbert pass complete deep right to Hayden Hurst for 27 yards (tackle by Jack Jones),1.530,3.310
3,1:29,1,10,LVR 34,7,9,Justin Herbert pass incomplete short right,3.310,2.770
3,1:21,2,10,LVR 34,7,9,Gus Edwards right tackle for 1 yard (tackle by Maxx Crosby and Adam Butler),2.770,2.210
3,0:53,3,9,LVR 33,7,9,Justin Herbert pass complete short right to Josh Palmer for 11 yards,2.210,4.110
3,0:24,1,10,LVR 22,7,9,Gus Edwards up the middle for 10 yards (tackle by Tre'von Moehrig and Marcus Epps),4.110,4.780
4,15:00,1,10,LVR 12,7,15,J.K. Dobbins right tackle for 12 yards touchdown,4.780,7.000
4,14:55,,,LVR 15,7,16,Cameron Dicker kicks extra point good,0.000,0.000
4,14:55,,,LAC 35,7,16,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,14:55,1,10,LVR 30,7,16,Gardner Minshew pass complete short right to Davante Adams for 3 yards (tackle by Derwin James),0.940,0.800
4,14:19,2,7,LVR 33,7,16,Gardner Minshew pass complete short middle to Brock Bowers for 11 yards (tackle by Junior Colson and Derwin James),0.800,1.860
4,13:41,1,10,LVR 44,7,16,Gardner Minshew pass incomplete short left intended for Brock Bowers (defended by Bud Dupree),1.860,1.320
4,13:33,2,10,LVR 44,7,16,Gardner Minshew pass complete deep right to Jakobi Meyers for 33 yards (tackle by Alohi Gilman),1.320,4.040
4,12:35,1,10,LAC 23,7,16,Alexander Mattison left tackle for 4 yards (tackle by Morgan Fox),4.040,4.050
4,12:10,2,6,LAC 19,7,16,Gardner Minshew sacked by Khalil Mack for -4 yards,4.050,2.810
4,11:20,3,10,LAC 23,7,16,Gardner Minshew pass complete short left to DJ Turner for 9 yards (tackle by Poona Ford),2.810,2.660
4,10:33,4,1,LAC 14,10,16,Daniel Carlson 32 yard field goal good,2.660,3.000
4,10:30,,,LVR 35,10,16,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,10:30,1,10,LAC 30,10,16,Justin Herbert pass incomplete short left intended for Scott Matlock,0.940,0.390
4,10:26,2,10,LAC 30,10,16,Justin Herbert pass complete short right to Gus Edwards for 2 yards (tackle by Adam Butler and Tre'von Moehrig),0.390,-0.030
4,9:46,3,8,LAC 32,10,16,Justin Herbert pass incomplete short right intended for Quentin Johnston,-0.030,-1.240
4,9:40,4,8,LAC 32,10,16,JK Scott punts 41 yards returned by Tre Tucker for 21 yards (tackle by Troy Dye),-1.240,-2.130
4,9:30,1,10,LVR 48,10,16,Zamir White right guard for 2 yards (tackle by Joey Bosa),2.130,1.850
4,8:52,2,8,LAC 50,10,16,Gardner Minshew pass complete short left to Zamir White for 1 yard (tackle by Ja'Sir Taylor),1.850,1.290
4,8:07,3,7,LAC 49,10,16,Gardner Minshew pass complete short left to Alexander Mattison for 6 yards (tackle by Daiyan Henley and Alohi Gilman),1.290,0.400
4,7:20,4,1,LAC 43,10,16,AJ Cole punts 35 yards fair catch by Derius Davis at LAC-8,0.400,0.380
4,7:09,1,10,LAC 8,10,16,Gus Edwards right guard for 3 yards (tackle by John Jenkins),-0.380,-0.560
4,6:27,2,7,LAC 11,10,16,Justin Herbert pass complete short left to Ladd McConkey for 5 yards (tackle by Marcus Epps),-0.560,-0.480
4,5:48,3,2,LAC 16,10,16,J.K. Dobbins up the middle for 2 yards (tackle by Adam Butler),-0.480,0.040
4,4:58,,,,,,Timeout #1 by Los Angeles Chargers,,
4,4:58,1,10,LAC 18,10,16,J.K. Dobbins left tackle for 7 yards (tackle by Nate Hobbs),0.040,0.550
4,4:24,2,3,LAC 25,10,16,J.K. Dobbins left tackle for 61 yards (tackle by Nate Hobbs and Marcus Epps),0.550,4.650
4,3:57,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:57,1,10,LVR 14,10,16,Gus Edwards up the middle for 3 yards (tackle by Robert Spillane and John Jenkins),4.650,4.520
4,3:51,,,,,,Timeout #2 by Las Vegas Raiders,,
4,3:51,2,7,LVR 11,10,16,Gus Edwards up the middle for 1 yard (tackle by John Jenkins and Luke Masterson),4.520,3.820
4,3:47,,,,,,Timeout #3 by Las Vegas Raiders,,
4,3:47,3,6,LVR 10,10,22,Justin Herbert pass complete short left to Ladd McConkey for 10 yards touchdown,3.820,7.000
4,3:40,,,LVR 2,10,22,Two Point Attempt: Gus Edwards rushes conversion fails.,1.000,-1.000
4,3:40,,,LAC 35,10,22,Penalty on Jack Jones: Unsportsmanlike Conduct / Defense (offset) Penalty on Josh Palmer: Unsportsmanlike Conduct / Offense (offset) (no play),0.000,0.000
4,3:40,,,LAC 35,10,22,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,3:40,1,10,LVR 30,10,22,Gardner Minshew pass complete deep middle to Jakobi Meyers for 19 yards (tackle by Junior Colson and Elijah Molden),0.940,2.190
4,3:13,1,10,LVR 49,10,22,Gardner Minshew pass complete short middle to Brock Bowers for 8 yards (tackle by Derwin James),2.190,2.730
4,2:48,2,2,LAC 43,10,22,Gardner Minshew pass complete short right to Brock Bowers for 3 yards (tackle by Asante Samuel),2.730,2.920
4,2:23,1,10,LAC 40,10,22,Gardner Minshew pass complete short right to Alexander Mattison for 3 yards (tackle by Asante Samuel),2.920,2.780
4,2:01,2,7,LAC 37,10,22,Gardner Minshew pass incomplete short right intended for Tre Tucker,2.780,2.080
4,1:57,3,7,LAC 37,10,22,Gardner Minshew pass incomplete short right intended for Jakobi Meyers. Penalty on Bud Dupree: Defensive Offside 5 yards (accepted) (no play),2.080,2.740
4,1:50,3,2,LAC 32,10,22,Gardner Minshew pass short right (defended by Khalil Mack) intended for Alexander Mattison is intercepted by Poona Ford at LAC-35 and returned for 3 yards (tackle by Dylan Parham),2.740,-1.470
4,1:44,1,10,LAC 38,10,22,Justin Herbert kneels for -1 yards,1.470,0.790
4,1:16,2,11,LAC 37,10,22,Justin Herbert kneels for no gain,0.790,0.100
4,0:29,3,11,LAC 37,10,22,Justin Herbert kneels for -1 yards,0.100,-0.980
