Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
3,7:08,4,2,NWE 36,13,0,Joe Burrow pass complete short right to Andrei Iosivas for 1 yard (tackle by Jonathan Jones),0.890,-1.270
3,7:03,1,10,NWE 35,13,0,Rhamondre Stevenson right end for 5 yards (tackle by Mike Hilton),1.270,1.400
3,6:36,2,5,NWE 40,13,0,Rhamondre Stevenson left guard for 2 yards (tackle by Zachary Carter and Jay Tufele),1.400,0.960
3,5:54,3,3,NWE 42,13,0,Jacoby Brissett pass incomplete short right intended for Demario Douglas,0.960,-0.590
3,5:47,4,3,NWE 42,13,0,Bryce Baringer punts 47 yards returned by Charlie Jones for -1 yards (tackle by Brenden Schooler),-0.590,0.380
3,5:37,1,10,CIN 10,13,0,Joe Burrow pass incomplete deep right intended for Andrei Iosivas. Penalty on Marco Wilson: Defensive Pass Interference 20 yards (accepted) (no play),-0.380,0.940
3,5:28,1,10,CIN 30,13,0,Zack Moss left guard for 7 yards (tackle by Jabrill Peppers and Jeremiah Pharms),0.940,1.340
3,4:51,2,3,CIN 37,13,0,Zack Moss up the middle for 16 yards (tackle by Jonathan Jones and Jabrill Peppers),1.340,2.460
3,4:17,1,10,NWE 47,13,0,Joe Burrow pass incomplete short left intended for Andrei Iosivas (defended by Jonathan Jones),2.460,1.910
3,4:10,2,10,NWE 47,13,0,Joe Burrow pass complete short middle to Ja'Marr Chase for 10 yards (tackle by Ja'Whaun Bentley),1.910,3.120
3,3:25,1,10,NWE 37,13,0,Chase Brown right guard for 8 yards (tackle by Oshane Ximines and Kyle Dugger),3.120,3.650
3,2:38,2,2,NWE 29,13,0,Joe Burrow pass complete short right to Andrei Iosivas for 13 yards,3.650,4.510
3,2:01,1,10,NWE 16,13,0,Joe Burrow scrambles right tackle for 6 yards (tackle by Ja'Whaun Bentley),4.510,4.970
3,1:52,2,4,NWE 10,13,0,Zack Moss left tackle for 5 yards (tackle by Keion White),4.970,6.060
3,1:13,1,5,NWE 5,13,6,Zack Moss right tackle for 5 yards touchdown,6.060,7.000
3,1:10,,,NWE 15,13,7,Evan McPherson kicks extra point good,0.000,0.000
3,1:10,,,CIN 35,13,7,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,1:10,1,10,NWE 30,13,7,Rhamondre Stevenson right guard for 2 yards (tackle by Daxton Hill and Sam Hubbard),0.940,0.660
3,0:34,2,8,NWE 32,13,7,Jacoby Brissett pass complete short right to Ja'Lynn Polk for 6 yards (tackle by Daxton Hill),0.660,0.760
4,15:00,3,2,NWE 38,13,7,Jacoby Brissett scrambles up the middle for 6 yards (tackle by Vonn Bell and Logan Wilson),0.760,1.860
4,14:15,1,10,NWE 44,13,7,Rhamondre Stevenson up the middle for no gain (tackle by Logan Wilson) CIN challenged the fumble ruling and the original play was overturned. Rhamondre Stevenson up the middle for no gain. Rhamondre Stevenson fumbles (forced by Logan Wilson) recovered by Rhamondre Stevenson at NE-44 (tackle by Logan Wilson),1.860,1.320
4,13:31,2,10,NWE 44,13,7,Jacoby Brissett pass complete short left to Austin Hooper for 15 yards (tackle by Vonn Bell),1.320,2.850
4,12:51,1,10,CIN 41,13,7,Rhamondre Stevenson left end for 4 yards (tackle by Germaine Pratt and Logan Wilson),2.850,2.850
4,12:16,2,6,CIN 37,13,7,Antonio Gibson right guard for 2 yards (tackle by B.J. Hill and Logan Wilson),2.850,2.410
4,11:23,3,4,CIN 35,13,7,Jacoby Brissett pass complete short right to Hunter Henry for 9 yards (tackle by Germaine Pratt),2.410,3.840
4,11:15,1,10,CIN 26,13,7,Antonio Gibson left tackle for 2 yards (tackle by Mike Hilton),3.840,3.570
4,10:24,2,8,CIN 24,13,7,Jacoby Brissett pass complete short right to Rhamondre Stevenson for -3 yards (tackle by Germaine Pratt),3.570,2.480
4,9:34,3,11,CIN 27,13,7,Jacoby Brissett pass complete short right to K.J. Osborn for 9 yards (tackle by Daxton Hill),2.480,2.370
