Quarter,Time,Down,ToGo,Location,NYJ,SFO,Detail,EPB,EPA
2,0:31,1,10,NYJ 27,7,13,Brock Purdy pass complete short middle to Jauan Jennings for 14 yards (tackle by D.J. Reed),3.780,4.710
2,0:24,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:24,1,10,NYJ 13,7,13,Brock Purdy pass complete short left to Deebo Samuel for no gain (tackle by Quinnen Williams and Micheal Clemons),4.710,4.050
2,0:17,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:17,2,10,NYJ 13,7,13,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,4.050,3.120
2,0:12,,,,,,Timeout #1 by New York Jets,,
2,0:12,3,10,NYJ 13,7,13,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,3.120,2.570
2,0:08,4,10,NYJ 13,7,16,Jake Moody 31 yard field goal good,2.570,3.000
2,0:04,,,SFO 35,7,16,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,0:04,1,10,NYJ 30,7,16,Aaron Rodgers kneels for -1 yards,0.940,0.260
3,15:00,,,NYJ 35,7,16,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,SFO 30,7,16,Jordan Mason right guard for 1 yard (tackle by Jermaine Johnson),0.940,0.530
3,14:23,2,9,SFO 31,7,16,Brock Purdy pass complete short middle to Deebo Samuel for 10 yards (tackle by C.J. Mosley),0.530,1.660
3,13:40,1,10,SFO 41,7,16,Brock Purdy pass complete short right to George Kittle for 6 yards (tackle by Quincy Williams),1.660,1.930
3,13:04,2,4,SFO 47,7,16,Jordan Mason right tackle for no gain (tackle by C.J. Mosley),1.930,1.220
3,12:20,3,4,SFO 47,7,16,Brock Purdy pass complete short left to Jauan Jennings for 5 yards (tackle by Michael Carter),1.220,2.390
3,11:36,1,10,NYJ 48,7,16,Jordan Mason right guard for 2 yards (tackle by Javon Kinlaw and Quinnen Williams),2.390,2.120
3,10:55,2,8,NYJ 46,7,16,Brock Purdy pass complete short middle to Kyle Juszczyk for 6 yards (tackle by C.J. Mosley),2.120,2.210
3,10:13,3,2,NYJ 40,7,16,Jordan Mason up the middle for 8 yards (tackle by Solomon Thomas),2.210,3.450
3,9:32,1,10,NYJ 32,7,16,Penalty on Colton McKivitz: False Start 5 yards (accepted) (no play),3.450,3.120
3,9:08,1,15,NYJ 37,7,16,Brock Purdy pass complete deep left to Kyle Juszczyk for 34 yards (tackle by Ashtyn Davis),3.120,6.510
3,8:25,1,3,NYJ 3,7,16,Jordan Mason up the middle for -2 yards (tackle by Jalyn Holmes),6.510,5.150
3,7:47,2,5,NYJ 5,7,22,Jordan Mason up the middle for 5 yards touchdown,5.150,7.000
3,7:42,,,NYJ 15,7,23,Jake Moody kicks extra point good,0.000,0.000
3,7:42,,,SFO 35,7,23,Jake Moody kicks off 70 yards returned by Xavier Gipson for 28 yards (tackle by Malik Mustapha),0.000,0.480
3,7:39,1,10,NYJ 23,7,23,Aaron Rodgers pass complete short left to Breece Hall for 12 yards (tackle by Demetrius Flannigan-Fowles),0.480,1.270
3,7:01,1,10,NYJ 35,7,23,Breece Hall up the middle for 5 yards (tackle by Fred Warner),1.270,1.400
3,6:18,2,5,NYJ 40,7,23,Aaron Rodgers pass short left (defended by Deommodore Lenoir) intended for Garrett Wilson is intercepted by Demetrius Flannigan-Fowles at NYJ-46 and returned for no gain,1.400,-2.520
3,6:11,1,10,NYJ 46,7,23,Penalty on Maliek Collins: Unnecessary Roughness / Offense 15 yards (accepted) (no play),2.520,1.530
3,6:11,1,10,SFO 39,7,23,Brock Purdy pass incomplete short left intended for George Kittle,1.530,0.990
3,6:06,2,10,SFO 39,7,23,Jordan Mason left guard for 11 yards (tackle by Tony Adams and Sauce Gardner),0.990,2.260
3,5:28,1,10,NYJ 50,7,23,Jordan Mason up the middle for 2 yards (tackle by Solomon Thomas and D.J. Reed),2.260,1.980
3,4:53,2,8,NYJ 48,7,23,Brock Purdy pass incomplete short right intended for Kyle Juszczyk,1.980,1.290
3,4:48,3,8,NYJ 48,7,23,Brock Purdy pass incomplete deep middle intended for George Kittle. Penalty on Jermaine Johnson: Illegal Use of Hands / Defense 5 yards (accepted) (no play),1.290,2.720
3,4:43,1,10,NYJ 43,7,23,Jordan Mason up the middle for 5 yards (tackle by Will McDonald and Chuck Clark),2.720,2.850
3,4:05,2,5,NYJ 38,7,23,Jordan Mason left tackle for 3 yards (tackle by D.J. Reed and Jalyn Holmes),2.850,2.540
3,3:37,3,2,NYJ 35,7,23,Brock Purdy pass incomplete deep right intended for Eric Saubert (defended by Tony Adams),2.540,0.990
3,3:33,4,2,NYJ 35,7,26,Jake Moody 53 yard field goal good,0.990,3.000
3,3:28,,,SFO 35,7,26,Jake Moody kicks off 65 yards touchback.,0.000,0.940
3,3:28,1,10,NYJ 30,7,26,Aaron Rodgers pass complete short right to Garrett Wilson for 6 yards (tackle by Deommodore Lenoir),0.940,1.200
3,3:03,2,4,NYJ 36,7,26,Aaron Rodgers pass complete short left to Allen Lazard for 26 yards (tackle by Isaac Yiadom),1.200,3.050
3,2:27,1,10,SFO 38,7,26,Breece Hall left guard for 2 yards (tackle by Javon Hargrave),3.050,2.780
3,1:47,2,8,SFO 36,7,26,Aaron Rodgers pass incomplete short left intended for Breece Hall,2.780,2.080
3,1:43,3,8,SFO 36,13,26,Aaron Rodgers pass complete deep middle to Allen Lazard for 36 yards touchdown. Penalty on Leonard Floyd: Defensive Offside 5 yards (declined),2.080,7.000
3,1:39,,,SFO 2,13,26,Two Point Attempt: Breece Hall rushes conversion fails.,1.000,-1.000
3,1:39,,,NYJ 35,13,26,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.280
3,1:39,1,10,SFO 20,13,26,Jordan Mason right tackle for 1 yard (tackle by C.J. Mosley),0.280,-0.130
3,1:02,2,9,SFO 21,13,26,Brock Purdy pass complete short right to Jauan Jennings for 15 yards (tackle by C.J. Mosley),-0.130,1.330
3,0:16,1,10,SFO 36,13,26,Brock Purdy pass complete short right to Kyle Juszczyk for no gain (tackle by Quincy Williams). Penalty on Braiden McGregor: Defensive Holding 5 yards (accepted) (no play),1.330,1.660
4,15:00,1,10,SFO 41,13,26,Jordan Mason right end for 2 yards (tackle by Jamien Sherwood),1.660,1.390
4,14:14,2,8,SFO 43,13,26,Brock Purdy pass complete short left to Deebo Samuel for 25 yards (tackle by Chuck Clark and C.J. Mosley),1.390,3.450
4,13:31,1,10,NYJ 32,13,26,Brock Purdy pass complete short left to George Kittle for 2 yards (tackle by Chuck Clark),3.450,3.170
4,12:53,2,8,NYJ 30,13,26,Jordan Mason right guard for 2 yards (tackle by Solomon Thomas),3.170,2.740
4,12:09,3,6,NYJ 28,13,26,Brock Purdy pass complete short left to Brandon Aiyuk for 14 yards (tackle by Michael Carter),2.740,4.650
4,11:28,1,10,NYJ 14,13,26,Deebo Samuel right guard for no gain (tackle by D.J. Reed),4.650,4.000
4,11:04,2,10,NYJ 14,13,26,Jordan Mason left guard for 1 yard (tackle by Javon Kinlaw),4.000,3.260
4,10:21,3,9,NYJ 13,13,26,Brock Purdy pass complete short right to Jauan Jennings for 8 yards (tackle by D.J. Reed and Tony Adams),3.260,3.030
4,9:46,,,,,,Timeout #1 by New York Jets,,
4,9:46,4,1,NYJ 5,13,29,Jake Moody 23 yard field goal good,3.030,3.000
4,9:43,,,SFO 35,13,29,Jake Moody kicks off 63 yards returned by Xavier Gipson for 22 yards (tackle by Curtis Robinson and Isaac Guerendo),0.000,0.540
4,9:37,1,10,NYJ 24,13,29,Breece Hall right tackle for 3 yards (tackle by Robert Beal and De'Vondre Campbell),0.540,0.400
4,9:09,2,7,NYJ 27,13,29,Aaron Rodgers pass complete short left to Allen Lazard for 14 yards (tackle by Isaac Yiadom),0.400,1.660
4,8:36,1,10,NYJ 41,13,29,Aaron Rodgers pass complete short left to Breece Hall for 9 yards (tackle by Fred Warner),1.660,2.340
4,8:02,2,1,NYJ 50,13,29,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,2.340,1.620
4,7:59,3,1,NYJ 50,13,29,Breece Hall up the middle for no gain (tackle by Sam Okuayinonu and Ji'Ayir Brown),1.620,-0.060
4,7:25,4,1,NYJ 50,13,29,Aaron Rodgers pass incomplete short left intended for Garrett Wilson (defended by Isaac Yiadom),-0.060,-2.260
4,7:22,1,10,NYJ 50,13,29,Jordan Mason right end for 24 yards (tackle by Quincy Williams),2.260,3.840
4,6:40,1,10,NYJ 26,13,29,Jordan Mason right tackle for 3 yards (tackle by Jermaine Johnson),3.840,3.700
4,5:55,2,7,NYJ 23,13,29,Jordan Mason right tackle for 5 yards (tackle by D.J. Reed),3.700,3.750
4,5:06,,,,,,Timeout #1 by San Francisco 49ers,,
4,5:06,3,2,NYJ 18,13,29,Brock Purdy sacked by Micheal Clemons for -6 yards,3.750,1.870
4,4:24,4,8,NYJ 24,13,32,Jake Moody 42 yard field goal good,1.870,3.000
4,4:20,,,SFO 35,13,32,Jake Moody kicks off 65 yards touchback.,0.000,0.940
4,4:20,1,10,NYJ 30,13,32,Breece Hall right tackle for 3 yards (tackle by Nick Bosa),0.940,0.800
4,3:44,2,7,NYJ 33,13,32,Breece Hall left tackle for 16 yards (tackle by Deommodore Lenoir and De'Vondre Campbell),0.800,2.190
4,3:05,1,10,NYJ 49,13,32,Tyrod Taylor pass complete short right to Tyler Conklin for 6 yards (tackle by Deommodore Lenoir),2.190,2.460
4,2:42,2,4,SFO 45,13,32,Tyrod Taylor pass complete short right to Allen Lazard for 6 yards (tackle by Charvarius Ward),2.460,2.980
4,2:17,1,10,SFO 39,13,32,Tyrod Taylor pass incomplete deep right intended for Allen Lazard (defended by Charvarius Ward),2.980,2.440
4,2:12,2,10,SFO 39,13,32,Tyrod Taylor pass complete short right to Braelon Allen for 9 yards (tackle by Ji'Ayir Brown),2.440,2.940
4,2:00,3,1,SFO 30,13,32,Braelon Allen up the middle for 8 yards (tackle by Isaac Yiadom),2.940,4.110
4,1:37,1,10,SFO 22,13,32,Tyrod Taylor pass complete short right to Garrett Wilson for 8 yards (tackle by Charvarius Ward and De'Vondre Campbell),4.110,4.850
4,1:12,2,2,SFO 14,13,32,Tyrod Taylor pass incomplete short right intended for Garrett Wilson. Penalty on Garrett Wilson: Illegal Touch Pass (accepted),4.850,4.150
4,1:06,3,2,SFO 14,13,32,Tyrod Taylor pass complete short right to Allen Lazard for 4 yards (tackle by De'Vondre Campbell),4.150,4.910
4,0:58,,,,,,Timeout #2 by New York Jets,,
4,0:58,1,10,SFO 10,13,32,Tyrod Taylor scrambles right end for 7 yards (tackle by George Odum),4.910,5.530
4,0:30,2,3,SFO 3,19,32,Tyrod Taylor pass complete short left to Allen Lazard for 3 yards touchdown,5.530,7.000
4,0:25,,,SFO 2,19,32,Two Point Attempt: Tyrod Taylor pass incomplete intended for intended for Allen Lazard,1.000,-1.000
4,0:25,,,NYJ 35,19,32,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
4,0:25,1,10,SFO 30,19,32,Brandon Allen kneels for -1 yards,0.940,0.260
