Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
2,1:28,3,18,SEA 2,10,9,Kenneth Walker up the middle for 9 yards (tackle by Ja'Quan McMillian),-2.360,-2.490
2,0:42,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:42,4,9,SEA 11,10,9,Michael Dickson punts 52 yards returned by Marvin Mims for 10 yards (tackle by Marquise Blair),-2.490,-2.060
2,0:31,1,10,DEN 47,10,9,Bo Nix scrambles right end for 1 yard (tackle by Tyrel Dodson),2.060,1.650
2,0:24,2,9,DEN 48,10,9,Bo Nix pass incomplete deep middle intended for Josh Reynolds (defended by Riq Woolen),1.650,0.960
2,0:19,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:19,3,9,DEN 48,10,9,Bo Nix pass complete deep left to Josh Reynolds for 25 yards (tackle by Tre Brown),0.960,3.780
2,0:13,1,10,SEA 27,10,9,Bo Nix sacked by Derick Hall for no gain,3.780,3.230
2,0:07,2,10,SEA 27,13,9,Wil Lutz 45 yard field goal good,3.230,3.000
2,0:02,,,DEN 35,13,9,Wil Lutz kicks off 63 yards returned by Laviska Shenault for 14 yards (tackle by Justin Strnad),0.000,1.270
3,15:00,,,SEA 35,13,9,Jason Myers kicks off 64 yards returned by Marvin Mims for 26 yards (tackle by Dareke Young),0.000,0.740
3,14:55,1,10,DEN 27,13,9,Jaleel McLaughlin right tackle for -4 yards (tackle by Boye Mafe),0.740,-0.340
3,14:13,2,14,DEN 23,13,9,Bo Nix pass incomplete short left intended for Adam Trautman,-0.340,-1.020
3,14:10,3,14,DEN 23,13,9,Penalty on Bo Nix: Delay of Game 5 yards (accepted) (no play),-1.020,-1.880
3,14:10,3,19,DEN 18,13,9,Bo Nix pass complete short right to Jaleel McLaughlin for 1 yard (tackle by Jerome Baker),-1.880,-2.140
3,13:36,4,18,DEN 19,13,9,Riley Dixon punts 42 yards fair catch by Dee Williams at SEA-39,-2.140,-1.530
3,13:31,1,10,SEA 39,13,9,Kenneth Walker left guard for 5 yards (tackle by Alex Singleton and Jonathon Cooper),1.530,1.660
3,13:10,2,5,SEA 44,13,9,Geno Smith pass complete deep right to Tyler Lockett for 13 yards (tackle by Riley Moss),1.660,2.720
3,12:40,1,10,DEN 43,13,9,Kenneth Walker right tackle for 6 yards (tackle by Alex Singleton and Riley Moss),2.720,2.990
3,12:05,2,4,DEN 37,13,9,Kenneth Walker right guard for 15 yards (tackle by Brandon Jones),2.990,4.110
3,11:43,1,10,DEN 22,13,9,Penalty on Stone Forsythe: False Start 5 yards (accepted) (no play),4.110,3.780
3,11:27,1,15,DEN 27,13,9,Kenneth Walker right tackle for 4 yards (tackle by Alex Singleton),3.780,3.430
3,10:51,2,11,DEN 23,13,15,Kenneth Walker up the middle for 23 yards touchdown,3.430,7.000
3,10:44,,,DEN 15,13,16,Jason Myers kicks extra point good,0.000,0.000
