Quarter,Time,Down,ToGo,Location,PIT,ATL,Detail,EPB,EPA
3,0:25,,,PIT 35,15,10,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,0:25,1,10,ATL 30,15,10,Bijan Robinson left end for 5 yards (tackle by Patrick Queen),0.940,1.070
4,14:53,2,5,ATL 35,15,10,Bijan Robinson right end for 5 yards. Penalty on Kaleb McGary: Offensive Holding 10 yards (accepted) (no play),1.070,-0.280
4,14:39,2,15,ATL 25,15,10,Kirk Cousins pass incomplete short left,-0.280,-0.960
4,14:36,,,,,,Timeout #1 by Pittsburgh Steelers,,
4,14:36,3,15,ATL 25,15,10,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud,-0.960,-1.700
4,14:32,4,15,ATL 25,15,10,Bradley Pinion punts 59 yards returned by Calvin Austin for 6 yards (tackle by JD Bertrand),-1.700,-0.410
4,14:28,1,10,PIT 22,15,10,Justin Fields right end for 7 yards (tackle by DeAundre Alford),0.410,0.810
4,13:44,2,3,PIT 29,15,10,Najee Harris right end for 20 yards (tackle by Arnold Ebiketie and Justin Simmons),0.810,2.190
4,13:04,1,10,PIT 49,15,10,Najee Harris left guard for 1 yard (tackle by Nathan Landman),2.190,1.780
4,12:40,2,9,PIT 50,15,10,Justin Fields pass complete short left to Pat Freiermuth for 10 yards (tackle by AJ Terrell),1.780,2.920
4,12:04,1,10,ATL 40,15,10,Najee Harris left tackle for 3 yards (tackle by Kentavius Street and Zach Harrison),2.920,2.780
4,11:32,2,7,ATL 37,15,10,Jaylen Warren left guard for 8 yards (tackle by Jessie Bates),2.780,3.640
4,10:57,1,10,ATL 29,15,10,Justin Fields left end for 4 yards (tackle by Lorenzo Carter),3.640,3.640
4,10:09,2,6,ATL 25,15,10,Justin Fields pass complete short left to Darnell Washington for 5 yards (tackle by Lorenzo Carter),3.640,3.600
4,9:26,3,1,ATL 20,15,10,Justin Fields right guard for 5 yards (tackle by Kaden Elliss),3.600,4.580
4,8:48,1,10,ATL 15,15,10,Najee Harris left tackle for 2 yards (tackle by David Onyemata and Lorenzo Carter),4.580,4.280
4,8:06,2,8,ATL 13,15,10,Najee Harris left end for 6 yards (tackle by Mike Hughes),4.280,4.500
4,7:37,3,3,ATL 7,15,10,Penalty on Grady Jarrett: Unsportsmanlike Conduct / Defense (offset) (no play),4.500,4.500
4,7:37,3,3,ATL 7,15,10,Penalty on Broderick Jones: Unsportsmanlike Conduct / Offense (offset) (no play),4.500,4.500
4,7:37,3,3,ATL 7,15,10,Justin Fields pass complete short right to Van Jefferson for 1 yard (tackle by Jessie Bates),4.500,3.020
4,7:09,4,1,ATL 6,15,10,Justin Fields left guard for no gain (tackle by Nathan Landman),3.020,0.380
4,7:03,1,10,ATL 6,15,10,Bijan Robinson right guard for 3 yards (tackle by Joey Porter),-0.380,-0.560
4,6:39,2,7,ATL 9,15,10,Kirk Cousins pass complete short left to Kyle Pitts for no gain. Penalty on Kyle Pitts: Illegal Formation 4 yards (accepted) (no play),-0.560,-0.850
