Quarter,Time,Down,ToGo,Location,ARI,BUF,Detail,EPB,EPA
3,13:26,3,11,BUF 39,17,10,Josh Allen pass complete short right to James Cook for 25 yards (tackle by Budda Baker),0.230,3.180
3,12:44,1,10,ARI 36,17,10,James Cook right guard for -2 yards (tackle by Budda Baker and Zaven Collins),3.180,2.370
3,11:46,2,12,ARI 38,17,10,Josh Allen pass complete short left to Ray Davis for 14 yards (tackle by Garrett Williams),2.370,3.970
3,11:24,1,10,ARI 24,17,10,Ray Davis right tackle for 13 yards (tackle by Jalen Thompson),3.970,4.840
3,10:42,1,10,ARI 11,17,10,Ray Davis left guard for no gain (tackle by Zaven Collins),4.840,4.140
3,10:03,2,10,ARI 11,17,10,Josh Allen pass incomplete short right intended for Dalton Kincaid (defended by Mack Wilson),4.140,3.130
3,9:55,3,10,ARI 11,17,16,Josh Allen pass complete short middle to Mack Hollins for 11 yards touchdown,3.130,7.000
3,9:51,,,ARI 15,17,17,Tyler Bass kicks extra point good,0.000,0.000
3,9:51,,,BUF 35,17,17,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,9:51,1,10,ARI 30,17,17,James Conner left end for 2 yards (tackle by Terrel Bernard),0.940,0.660
3,9:20,2,8,ARI 32,17,17,James Conner right end for 2 yards (tackle by Cameron Lewis),0.660,0.230
3,8:41,3,6,ARI 34,17,17,Kyler Murray sacked by Gregory Rousseau for -8 yards,0.230,-1.630
3,8:03,4,14,ARI 26,17,17,Blake Gillikin punts 50 yards returned by Brandon Codrington for 7 yards (tackle by Max Melton),-1.630,-1.000
3,7:53,1,10,BUF 31,17,17,Josh Allen pass complete short right to James Cook for 3 yards (tackle by Zaven Collins),1.000,0.870
3,7:22,2,7,BUF 34,17,17,Ray Davis right guard for no gain (tackle by Zaven Collins),0.870,0.170
3,6:35,3,7,BUF 34,17,17,Josh Allen pass incomplete deep middle intended for Marquez Valdes-Scantling,0.170,-1.110
3,6:28,4,7,BUF 34,17,17,Sam Martin punts 51 yards returned by Greg Dortch for 6 yards (tackle by Mack Hollins and Cameron Lewis),-1.110,-0.340
3,6:16,1,10,ARI 21,17,17,Kyler Murray pass complete short right to Greg Dortch for 3 yards (tackle by Cameron Lewis),0.340,0.210
3,5:42,2,7,ARI 24,17,17,Kyler Murray sacked by Gregory Rousseau for -3 yards. Kyler Murray fumbles (forced by Gregory Rousseau) recovered by Dorian Williams at ARI-21,0.210,-4.170
3,5:25,1,10,ARI 21,17,17,James Cook up the middle for 1 yard (tackle by Mack Wilson),4.170,3.760
3,4:51,2,9,ARI 20,17,17,Josh Allen pass complete short left to Keon Coleman for 7 yards (tackle by Starling Thomas and Budda Baker),3.760,4.240
3,4:02,3,2,ARI 13,17,17,Ty Johnson right guard for 1 yard (tackle by Khyiris Tonga),4.240,2.780
3,3:29,4,1,ARI 12,17,17,Josh Allen up the middle for 1 yard (tackle by Zaven Collins and Kyzir White),2.780,4.840
3,2:43,1,10,ARI 11,17,23,Josh Allen pass complete short left to Khalil Shakir for 11 yards touchdown,4.840,7.000
3,2:37,,,ARI 15,17,24,Tyler Bass kicks extra point good,0.000,0.000
3,2:37,,,BUF 35,17,24,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,2:37,1,10,ARI 30,17,24,James Conner up the middle for 3 yards (tackle by Cameron Lewis and Terrel Bernard),0.940,0.800
3,2:00,2,7,ARI 33,17,24,Kyler Murray pass incomplete deep right intended for Trey McBride (defended by Taylor Rapp),0.800,0.100
3,1:53,3,7,ARI 33,17,24,Kyler Murray scrambles left end for 29 yards (tackle by Christian Benford),0.100,3.050
3,1:12,1,10,BUF 38,17,24,James Conner up the middle for 20 yards (tackle by A.J. Epenesa and Damar Hamlin),3.050,4.370
3,0:31,1,10,BUF 18,17,24,Greg Dortch left end for 4 yards (tackle by Dorian Williams),4.370,4.430
4,15:00,2,6,BUF 14,17,24,James Conner right tackle for 2 yards (tackle by DaQuan Jones and Cameron Lewis),4.430,4.030
4,14:17,3,4,BUF 12,17,24,James Conner left end for no gain (tackle by Cameron Lewis),4.030,2.710
4,13:35,4,4,BUF 12,20,24,Matt Prater 31 yard field goal good,2.710,3.000
4,13:32,,,ARI 35,20,24,Matt Prater kicks off 65 yards touchback.,0.000,0.940
4,13:32,1,10,BUF 30,20,24,James Cook right guard for 6 yards (tackle by Mack Wilson),0.940,1.200
4,12:54,2,4,BUF 36,20,24,Josh Allen pass complete short left to Marquez Valdes-Scantling for 19 yards (tackle by Starling Thomas and Budda Baker),1.200,2.590
4,12:14,1,10,ARI 45,20,24,James Cook right end for 1 yard (tackle by Garrett Williams),2.590,2.180
4,11:28,2,9,ARI 44,20,24,Josh Allen pass incomplete short right intended for Dawson Knox (defended by Starling Thomas),2.180,1.490
4,11:21,3,9,ARI 44,20,24,Penalty on O'Cyrus Torrence: False Start 5 yards (accepted) (no play),1.490,0.830
4,11:21,3,14,ARI 49,20,24,Josh Allen pass complete short middle to Khalil Shakir for 12 yards (tackle by Kei'Trel Clark and Budda Baker),0.830,0.790
4,10:43,4,2,ARI 37,20,24,Josh Allen scrambles right end for 5 yards (tackle by Kyzir White),0.790,3.450
4,10:00,,,,,,Timeout #1 by Buffalo Bills,,
4,10:00,1,10,ARI 32,20,24,James Cook left end for -2 yards (tackle by Zaven Collins and Kyzir White),3.450,2.630
4,9:19,2,12,ARI 34,20,24,Josh Allen pass complete deep right to Keon Coleman for 28 yards (tackle by Starling Thomas),2.630,5.830
4,8:55,1,6,ARI 6,20,24,Josh Allen pass incomplete short right intended for Keon Coleman,5.830,4.950
4,8:51,2,6,ARI 6,20,30,Josh Allen scrambles right guard for 6 yards touchdown,4.950,7.000
4,8:44,,,ARI 15,20,31,Tyler Bass kicks extra point good,0.000,0.000
4,8:44,,,BUF 35,26,31,Tyler Bass kicks off 61 yards returned by DeeJay Dallas for 96 yards touchdown,0.000,7.000
4,8:31,,,BUF 2,28,31,Two Point Attempt: James Conner rushes conversion succeeds.,1.000,1.000
4,8:31,,,ARI 35,28,31,Matt Prater kicks off 65 yards touchback.,0.000,0.940
4,8:31,1,10,BUF 30,28,31,Josh Allen scrambles up the middle for 9 yards (tackle by Mack Wilson),0.940,1.610
4,7:47,2,1,BUF 39,28,31,James Cook left guard for 3 yards (tackle by Jalen Thompson and Zaven Collins). Penalty on O'Cyrus Torrence: Offensive Holding 10 yards (accepted),1.610,0.660
4,7:34,2,8,BUF 32,28,31,Josh Allen pass complete short left to Dalton Kincaid for 11 yards (tackle by Sean Murphy-Bunting and Owen Pappoe),0.660,1.800
4,7:00,1,10,BUF 43,28,31,James Cook right end for -3 yards (tackle by Mack Wilson),1.800,0.850
4,6:15,2,13,BUF 40,28,31,Josh Allen pass complete short left to Curtis Samuel for 7 yards (tackle by Owen Pappoe),0.850,1.090
4,5:42,3,6,BUF 47,28,31,Josh Allen pass incomplete short middle intended for Ty Johnson,1.090,-0.260
4,5:28,4,6,BUF 47,28,31,Sam Martin punts 34 yards downed by Reggie Gilliam,-0.260,-0.150
