Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
3,1:54,4,6,NYJ 39,16,14,Thomas Morstead punts 51 yards returned by Marcus Jones for -1 yards (tackle by Brandin Echols and Irvin Charles),-0.780,0.380
3,1:46,1,10,NWE 9,16,14,Rhamondre Stevenson left end for -2 yards (tackle by Jamien Sherwood),-0.380,-0.930
3,1:10,2,12,NWE 7,16,14,Jacoby Brissett pass complete short middle to Hunter Henry for 5 yards (tackle by Quincy Williams),-0.930,-1.070
3,0:27,3,7,NWE 12,16,14,Jacoby Brissett pass incomplete short middle intended for Kendrick Bourne,-1.070,-2.490
3,0:22,4,7,NWE 12,16,14,Bryce Baringer punts 55 yards returned by Xavier Gipson for 18 yards (tackle by Jahlani Tavai),-2.490,-2.320
3,0:10,1,10,NWE 49,16,14,Breece Hall up the middle for 2 yards (tackle by Dell Pettus and Jaquelin Roy),2.320,2.050
4,15:00,2,8,NWE 47,16,14,Aaron Rodgers pass complete deep right to Tyler Conklin for 27 yards (tackle by Marcus Jones and Dell Pettus),2.050,4.240
4,14:21,1,10,NWE 20,16,14,Breece Hall up the middle for 1 yard. Breece Hall fumbles (forced by Keion White) recovered by Tyler Conklin at NE-17,4.240,4.120
4,13:41,2,7,NWE 17,16,14,Aaron Rodgers pass incomplete deep right intended for Garrett Wilson,4.120,3.360
4,13:25,,,,,,Timeout #1 by New York Jets,,
4,13:25,3,7,NWE 17,16,14,Aaron Rodgers sacked by Christian Elliss for -9 yards,3.360,1.740
4,12:43,4,15,NWE 26,16,14,Greg Zuerlein 44 yard field goal no good,1.740,-1.200
4,12:39,1,10,NWE 34,16,14,Rhamondre Stevenson up the middle for 4 yards (tackle by Quinnen Williams and Jamien Sherwood),1.200,1.200
4,12:14,2,6,NWE 38,16,14,Jacoby Brissett pass complete short left to Austin Hooper for 6 yards (tackle by D.J. Reed). Penalty on Micheal Clemons: Roughing the Passer 15 yards (accepted),1.200,2.850
4,12:04,1,10,NYJ 41,16,14,Jacoby Brissett pass complete short left to Hunter Henry for 5 yards (tackle by Quincy Williams),2.850,2.980
4,11:46,2,5,NYJ 36,16,14,Rhamondre Stevenson up the middle for 7 yards (tackle by Leonard Taylor and Jamien Sherwood),2.980,3.640
4,11:19,1,10,NYJ 29,16,14,Rhamondre Stevenson left guard for -1 yards (tackle by Quincy Williams),3.640,2.970
4,10:31,2,11,NYJ 30,16,14,Jacoby Brissett pass incomplete short middle intended for Kayshon Boutte,2.970,2.280
4,10:25,3,11,NYJ 30,16,14,Jacoby Brissett pass complete short middle to Hunter Henry for 12 yards (tackle by Isaiah Oliver),2.280,4.370
4,10:01,1,10,NYJ 18,16,14,Antonio Gibson up the middle for 1 yard (tackle by Solomon Thomas and Michael Carter),4.370,3.940
4,9:30,2,9,NYJ 17,16,14,Jacoby Brissett pass incomplete deep left intended for Austin Hooper (defended by Isaiah Oliver),3.940,3.170
4,9:17,3,9,NYJ 17,16,14,Jacoby Brissett pass complete short right to Tyquan Thornton for 14 yards (tackle by Michael Carter),3.170,6.510
4,9:04,1,3,NYJ 3,16,14,Antonio Gibson left guard for 1 yard (tackle by Jamien Sherwood),6.510,5.720
4,8:36,2,2,NYJ 2,16,14,Jacoby Brissett for -3 yards. Jacoby Brissett fumbles recovered by Jacoby Brissett at NYJ-5,5.720,4.260
4,7:59,3,5,NYJ 5,16,14,Jacoby Brissett pass incomplete short left intended for Kendrick Bourne (defended by Jalen Mills),4.260,3.010
4,7:36,4,5,NYJ 5,16,17,Joey Slye 23 yard field goal good,3.010,3.000
4,7:34,,,NWE 35,16,17,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,7:34,1,10,NYJ 30,16,17,Breece Hall left end for 5 yards (tackle by Deatrich Wise),0.940,1.070
4,7:04,2,5,NYJ 35,16,17,Breece Hall right tackle for 4 yards (tackle by Deatrich Wise),1.070,0.890
4,6:27,3,1,NYJ 39,16,17,Braelon Allen left guard for 3 yards (tackle by Davon Godchaux and Anfernee Jennings),0.890,1.730
4,5:32,1,10,NYJ 42,16,17,Aaron Rodgers pass complete short right to Garrett Wilson for 3 yards (tackle by Marcus Jones),1.730,1.590
4,5:03,2,7,NYJ 45,16,17,Aaron Rodgers pass complete deep right to Garrett Wilson for 22 yards,1.590,3.380
4,4:22,1,10,NWE 33,16,17,Breece Hall left end for 13 yards (tackle by Christian Gonzalez),3.380,4.240
4,4:18,1,10,NWE 20,16,17,Breece Hall left tackle for 1 yard (tackle by Anfernee Jennings),4.240,3.820
4,3:52,2,9,NWE 19,16,17,Aaron Rodgers pass complete short left to Davante Adams for 16 yards (tackle by Marte Mapu),3.820,6.510
4,3:23,1,3,NWE 3,16,17,Breece Hall right guard for 1 yard (tackle by Davon Godchaux),6.510,5.720
4,3:00,,,,,,Timeout #1 by New England Patriots,,
4,3:00,2,2,NWE 2,22,17,Braelon Allen up the middle for 2 yards touchdown,5.720,7.000
4,2:57,,,NWE 2,22,17,Penalty on Aaron Rodgers: Delay of Game 5 yards (accepted) (no play),0.000,1.000
4,2:57,,,NWE 7,22,17,Two Point Attempt: Aaron Rodgers pass incomplete intended for to Mike Williams for no gain,1.000,-1.000
4,2:57,,,NYJ 35,22,17,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
4,2:57,1,10,NWE 30,22,17,Jacoby Brissett pass incomplete short right intended for Hunter Henry,0.940,0.390
4,2:52,2,10,NWE 30,22,17,Jacoby Brissett pass complete short right to Hunter Henry for 12 yards (tackle by Isaiah Oliver),0.390,1.730
4,2:30,1,10,NWE 42,22,17,Jacoby Brissett pass incomplete deep right intended for Kendrick Bourne,1.730,1.190
4,2:23,2,10,NWE 42,22,17,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 1 yard (tackle by Michael Carter),1.190,0.630
4,2:00,3,9,NWE 43,22,17,Jacoby Brissett scrambles right end for 14 yards (tackle by Quincy Williams and D.J. Reed),0.630,2.720
4,1:40,,,,,,Timeout #2 by New York Jets,,
4,1:40,1,10,NYJ 43,22,17,Jacoby Brissett pass incomplete short right intended for Demario Douglas,2.720,2.180
4,1:34,2,10,NYJ 43,22,17,Jacoby Brissett pass incomplete short right,2.180,1.490
4,1:24,3,10,NYJ 43,22,17,Jacoby Brissett pass complete deep right to Kayshon Boutte for 34 yards (tackle by Sauce Gardner),1.490,5.140
4,1:14,,,,,,Timeout #3 by New York Jets,,
4,1:14,1,9,NYJ 9,22,17,Rhamondre Stevenson right guard for 2 yards (tackle by Isaiah Oliver and Eric Watts),5.140,4.760
4,0:43,2,7,NYJ 7,22,17,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 2 yards (tackle by Isaiah Oliver),4.760,4.260
4,0:32,3,5,NYJ 5,22,17,Jacoby Brissett pass complete short right to Kayshon Boutte for 4 yards (tackle by D.J. Reed),4.260,3.550
4,0:25,,,,,,Timeout #2 by New England Patriots,,
4,0:25,4,1,NYJ 1,22,23,Rhamondre Stevenson up the middle for 1 yard touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,3.550,7.000
4,0:22,,,NYJ 2,22,25,Two Point Attempt: Jacoby Brissett pass complete to to Rhamondre Stevenson for no gain,1.000,1.000
4,0:22,,,NWE 35,22,25,Joey Slye kicks off 65 yards touchback.,0.000,0.940
4,0:22,,,,,,Timeout #3 by New England Patriots,,
4,0:22,1,10,NYJ 30,22,25,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson (defended by Marcus Jones),0.940,0.390
4,0:15,2,10,NYJ 30,22,25,Aaron Rodgers pass complete deep left to Davante Adams for 16 yards (tackle by Jonathan Jones and Christian Gonzalez),0.390,1.990
