Quarter,Time,Down,ToGo,Location,NOR,LAC,Detail,EPB,EPA
2,5:28,3,4,NOR 48,2,3,Justin Herbert pass complete short right to Ladd McConkey for 5 yards (tackle by Alontae Taylor),1.550,2.720
2,4:44,1,10,NOR 43,2,3,Justin Herbert scrambles right guard for 9 yards (tackle by Pete Werner and Kool-Aid McKinstry),2.720,3.390
2,4:06,2,1,NOR 34,2,3,J.K. Dobbins right guard for 2 yards (tackle by John Ridgeway and Demario Davis),3.390,3.450
2,3:26,1,10,NOR 32,2,3,Justin Herbert scrambles left end for 3 yards (tackle by Demario Davis),3.450,3.310
2,2:44,2,7,NOR 29,2,3,J.K. Dobbins left end for 9 yards (tackle by Marshon Lattimore),3.310,4.240
2,2:08,1,10,NOR 20,2,3,Justin Herbert pass incomplete deep left intended for Simi Fehoko (defended by Marshon Lattimore),4.240,3.690
2,2:01,,,,,,Timeout #2 by Los Angeles Chargers,,
2,2:01,2,10,NOR 20,2,3,Justin Herbert pass incomplete deep left intended for Simi Fehoko. Penalty on Marshon Lattimore: Defensive Pass Interference 17 yards (accepted) (no play),3.690,6.510
2,1:57,1,3,NOR 3,2,3,Penalty on Eric Tomlinson: False Start 5 yards (accepted) (no play),6.510,5.370
2,1:57,1,8,NOR 8,2,3,Justin Herbert pass complete short middle to Ladd McConkey for 7 yards (tackle by Tyrann Mathieu),5.370,5.910
2,1:47,,,,,,Timeout #1 by New Orleans Saints,,
2,1:47,2,1,NOR 1,2,3,Hassan Haskins left end for no gain (tackle by John Ridgeway),5.910,5.170
2,1:40,,,,,,Timeout #2 by New Orleans Saints,,
2,1:40,3,1,NOR 1,2,9,J.K. Dobbins right end for 1 yard touchdown,5.170,7.000
2,1:37,,,NOR 15,2,9,Cameron Dicker kicks extra point no good,0.000,-1.000
2,1:37,,,LAC 35,2,9,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,1:37,1,10,NOR 30,2,9,Spencer Rattler pass complete short left to Alvin Kamara for 4 yards (tackle by Cam Hart),0.940,0.930
2,1:33,2,6,NOR 34,2,9,Spencer Rattler pass complete short middle to Chris Olave for 15 yards (tackle by Daiyan Henley),0.930,2.190
2,1:11,1,10,NOR 49,2,9,Spencer Rattler pass complete short right to Juwan Johnson for no gain (tackle by Elijah Molden). Penalty on Connor McGovern: Ineligible Downfield Pass 4 yards (accepted) (no play),2.190,1.930
2,1:08,1,14,NOR 45,2,9,Spencer Rattler sacked by Tuli Tuipulotu for -2 yards,1.930,0.840
2,0:46,2,16,NOR 43,2,9,Spencer Rattler pass complete short middle to Mason Tipton for 10 yards (tackle by Elijah Molden),0.840,1.490
2,0:30,3,6,LAC 47,2,9,Spencer Rattler pass complete short middle to Juwan Johnson for 22 yards (tackle by Daiyan Henley),1.490,3.910
2,0:22,,,,,,Timeout #3 by New Orleans Saints,,
2,0:22,1,10,LAC 25,2,9,Spencer Rattler pass complete short right to Alvin Kamara for 3 yards (tackle by Junior Colson),3.910,3.770
2,0:18,2,7,LAC 22,2,9,Spencer Rattler pass incomplete short left,3.770,3.070
2,0:13,3,7,LAC 22,2,9,Spencer Rattler pass incomplete short right,3.070,1.990
2,0:09,4,7,LAC 22,5,9,Blake Grupe 40 yard field goal good,1.990,3.000
2,0:05,,,NOR 35,5,9,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
2,0:05,1,10,LAC 30,5,9,Justin Herbert kneels for -1 yards,0.940,0.260
3,15:00,,,LAC 35,5,9,Cameron Dicker kicks off 66 yards returned by Kendre Miller for 41 yards (tackle by Nick Niemann and Daiyan Henley),0.000,1.600
3,14:52,1,10,NOR 40,5,9,Alvin Kamara left end for 3 yards (tackle by Daiyan Henley),1.600,1.460
3,14:14,2,7,NOR 43,5,9,Spencer Rattler pass incomplete short left intended for Alvin Kamara,1.460,0.760
3,14:09,3,7,NOR 43,5,9,Spencer Rattler pass complete short right to Mason Tipton for 4 yards (tackle by Tarheeb Still),0.760,-0.260
3,13:23,4,3,NOR 47,5,9,Matthew Hayball punts 43 yards fair catch by Ladd McConkey at LAC-10,-0.260,0.380
3,13:18,1,10,LAC 10,5,9,Justin Herbert pass complete deep right to Josh Palmer for 27 yards (tackle by Tyrann Mathieu),-0.380,1.400
3,12:43,1,10,LAC 37,5,9,Kimani Vidal left end for 4 yards (tackle by Demario Davis),1.400,1.400
3,12:03,2,6,LAC 41,5,9,Justin Herbert pass incomplete deep middle intended for Simi Fehoko,1.400,0.700
3,12:00,3,6,LAC 41,5,9,Justin Herbert pass incomplete short right intended for Will Dissly,0.700,-0.650
3,11:56,4,6,LAC 41,5,9,JK Scott punts 54 yards fair catch by Jermaine Jackson at NO-5,-0.650,0.380
3,11:48,1,10,NOR 5,5,9,Kendre Miller left tackle for 10 yards (tackle by Derwin James),-0.380,-0.220
3,11:12,1,10,NOR 15,5,9,Kendre Miller left guard for 5 yards (tackle by Morgan Fox),-0.220,0.080
3,10:35,2,5,NOR 20,5,9,Spencer Rattler sacked by Scott Matlock for -6 yards,0.080,-1.510
3,9:51,3,11,NOR 14,5,9,Spencer Rattler pass incomplete short middle intended for Chris Olave,-1.510,-2.470
3,9:48,4,11,NOR 14,5,9,Matthew Hayball punts 59 yards returned by Ladd McConkey for 12 yards (tackle by J.T. Gray),-2.470,-1.530
3,9:36,1,10,LAC 39,5,9,J.K. Dobbins left guard for 1 yard (tackle by Tyrann Mathieu),1.530,1.120
3,9:01,2,9,LAC 40,5,15,Justin Herbert pass complete deep right to Ladd McConkey for 60 yards touchdown,1.120,7.000
3,8:48,,,NOR 15,5,16,Cameron Dicker kicks extra point good,0.000,0.000
3,8:48,,,LAC 35,5,16,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,8:48,1,10,NOR 30,5,16,Spencer Rattler pass incomplete short right. Penalty on Otito Ogbonnia: Unnecessary Roughness / Defense 15 yards (accepted),0.940,1.930
3,8:42,1,10,NOR 45,5,16,Taysom Hill right tackle for 3 yards (tackle by Morgan Fox),1.930,1.790
3,8:11,2,7,NOR 48,5,16,Spencer Rattler pass complete short middle to Chris Olave for 14 yards (tackle by Alohi Gilman),1.790,3.050
3,7:42,1,10,LAC 38,5,16,Alvin Kamara right tackle for 3 yards (tackle by Tuli Tuipulotu),3.050,2.980
3,7:12,2,6,LAC 35,5,16,Kendre Miller right tackle for no gain (tackle by Cam Hart). Penalty on Trevor Penning: Offensive Holding 10 yards (accepted) (no play),2.980,1.630
3,6:50,2,16,LAC 45,5,16,Spencer Rattler pass incomplete short middle intended for Juwan Johnson,1.630,0.960
3,6:45,3,16,LAC 45,5,16,Spencer Rattler pass incomplete short middle intended for Chris Olave (defended by Tuli Tuipulotu),0.960,0.270
3,6:41,4,16,LAC 45,5,16,Matthew Hayball punts 45 yards touchback.,0.270,-0.280
3,6:32,1,10,LAC 20,5,16,Justin Herbert sacked by Khalen Saunders for -10 yards,0.280,-1.510
3,5:49,2,20,LAC 10,5,16,Justin Herbert pass complete short middle to Will Dissly for 6 yards (tackle by Pete Werner),-1.510,-1.690
3,5:10,3,14,LAC 16,5,16,Justin Herbert pass incomplete deep right,-1.690,-2.390
3,4:59,4,14,LAC 16,5,16,JK Scott punts 54 yards returned by Jermaine Jackson for no gain (tackle by Dicaprio Bootle and AJ Finley),-2.390,-0.940
3,4:50,1,10,NOR 30,5,16,Taysom Hill right end for 7 yards (tackle by Daiyan Henley and Elijah Molden),0.940,1.340
3,4:25,2,3,NOR 37,5,16,Alvin Kamara up the middle for 4 yards (tackle by Bud Dupree),1.340,1.660
3,3:51,1,10,NOR 41,5,16,Jake Haener pass complete short left to Chris Olave for 5 yards,1.660,1.800
3,3:25,2,5,NOR 46,5,16,Alvin Kamara left tackle for 24 yards (tackle by Tarheeb Still),1.800,3.580
3,2:40,1,10,LAC 30,5,16,Taysom Hill pass complete short left to Alvin Kamara for 3 yards (tackle by Bud Dupree),3.580,3.440
3,1:51,2,7,LAC 27,5,16,Jamaal Williams right tackle for 2 yards (tackle by Teair Tart),3.440,3.010
3,1:14,3,5,LAC 25,5,16,Jake Haener pass incomplete short left intended for Chris Olave,3.010,1.850
3,1:09,4,5,LAC 25,8,16,Blake Grupe 43 yard field goal good,1.850,3.000
3,1:05,,,NOR 35,8,16,Blake Grupe kicks off 66 yards returned by Hassan Haskins for 35 yards (tackle by Willie Gay),0.000,1.200
3,0:58,1,10,LAC 34,8,16,J.K. Dobbins up the middle for 13 yards (tackle by Jordan Howden),1.200,2.060
3,0:13,1,10,LAC 47,8,16,J.K. Dobbins right end for 2 yards (tackle by Carl Granderson),2.060,1.790
4,15:00,2,8,LAC 49,8,16,Justin Herbert scrambles left end for no gain (tackle by Tyrann Mathieu). Penalty on Zion Johnson: Offensive Holding 10 yards (accepted) (no play),1.790,0.440
