Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
2,0:54,1,10,SFO 17,10,6,Brock Purdy scrambles left end for no gain (tackle by Amani Oruwariye) Replay Assistant challenged the runner was in bounds ruling and the original play was overturned. Brock Purdy scrambles left end for 13 yards (tackle by Amani Oruwariye),-0.060,0.940
2,0:47,,,,,,Timeout #1 by San Francisco 49ers,,
2,0:47,1,10,SFO 30,10,6,Brock Purdy pass complete short left to George Kittle for 30 yards (tackle by Malik Hooker and Jourdan Lewis),0.940,2.920
2,0:39,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:39,1,10,DAL 40,10,6,Brock Purdy pass incomplete short right intended for Isaac Guerendo,2.920,2.370
2,0:34,2,10,DAL 40,10,6,Brock Purdy sacked by. Brock Purdy fumbles recovered by Aaron Banks at DAL-47,2.370,0.760
2,0:26,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:26,3,17,DAL 47,10,6,Brock Purdy pass incomplete deep left intended for Chris Conley,0.760,0.130
2,0:20,4,17,DAL 47,10,6,Mitch Wishnowsky punts 45 yards downed by Ronnie Bell,0.130,0.380
2,0:10,1,10,DAL 2,10,6,Dak Prescott kneels for -1 yards,-0.380,-0.850
3,15:00,,,DAL 35,10,6,Brandon Aubrey kicks off 25 yards. Penalty on Brandon Aubrey: Kickoff Short of Landing Zone (accepted),0.000,1.600
3,15:00,1,10,SFO 40,10,6,Isaac Guerendo left guard for no gain (tackle by Osa Odighizuwa),1.600,1.050
3,14:23,2,10,SFO 40,10,6,Brock Purdy scrambles left tackle for 9 yards (tackle by DeMarvion Overshown and Eric Kendricks). Penalty on Chauncey Golston: Defensive Too Many Men on Field 5 yards (declined),1.050,1.550
3,14:19,3,1,SFO 49,10,6,Brock Purdy up the middle for 4 yards (tackle by Carl Lawson),1.550,2.460
3,13:39,1,10,DAL 47,10,6,Brock Purdy pass complete short middle to George Kittle for 43 yards (tackle by Trevon Diggs),2.460,6.280
3,13:00,1,4,DAL 4,10,12,Isaac Guerendo up the middle for 4 yards touchdown,6.280,7.000
3,12:57,,,DAL 15,10,13,Anders Carlson kicks extra point good,0.000,0.000
3,12:57,,,SFO 35,10,13,Anders Carlson kicks off 63 yards returned by KaVontae Turpin for 14 yards lateral to C.J. Goodwin for 13 yards (tackle by Dee Winters). Penalty on KaVontae Turpin: Illegal Forward Pass 5 yards (accepted),0.000,-0.370
3,12:48,1,10,DAL 11,10,13,Dak Prescott pass complete short left to Jake Ferguson for no gain (tackle by Ji'Ayir Brown),-0.370,-0.780
3,12:16,2,10,DAL 11,10,13,Dak Prescott pass complete short right to CeeDee Lamb for 6 yards (tackle by Charvarius Ward and Nick Bosa),-0.780,-0.720
3,11:38,3,4,DAL 17,10,13,Dak Prescott pass short left intended for CeeDee Lamb is intercepted by Deommodore Lenoir at DAL-32 and returned for no gain (tackle by CeeDee Lamb),-0.720,-3.450
3,11:30,1,10,DAL 32,10,13,Brock Purdy pass complete short left to Isaac Guerendo for 12 yards (tackle by Eric Kendricks),3.450,4.240
3,10:55,1,10,DAL 20,10,13,Brock Purdy pass complete short right to Deebo Samuel for 3 yards (tackle by Tyrus Wheat and Linval Joseph),4.240,4.120
3,10:09,2,7,DAL 17,10,13,Deebo Samuel left end for 4 yards (tackle by Eric Kendricks),4.120,4.100
3,9:29,3,3,DAL 13,10,13,Brock Purdy scrambles left end for 6 yards (tackle by DeMarvion Overshown),4.100,5.600
3,8:44,1,7,DAL 7,10,13,Deebo Samuel right end for 4 yards (tackle by Trevon Diggs and Donovan Wilson),5.600,5.530
3,8:01,2,3,DAL 3,10,13,Kyle Juszczyk up the middle for 1 yard (tackle by Carl Lawson and Donovan Wilson),5.530,4.950
3,7:16,3,2,DAL 2,10,19,Brock Purdy pass complete short right to George Kittle for 2 yards touchdown,4.950,7.000
3,7:14,,,DAL 15,10,20,Anders Carlson kicks extra point good,0.000,0.000
3,7:14,,,SFO 35,10,20,Anders Carlson kicks off 65 yards returned by KaVontae Turpin for 26 yards (tackle by Darrell Luter),0.000,0.670
3,7:08,1,10,DAL 26,10,20,Ezekiel Elliott left guard for 6 yards (tackle by Malik Mustapha and Ji'Ayir Brown),0.670,0.940
3,6:34,2,4,DAL 32,10,20,Dak Prescott pass incomplete short right intended for Jake Ferguson,0.940,0.230
