Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
2,3:45,3,3,TEN 4,14,28,David Montgomery left tackle for 3 yards (tackle by Sebastian Joseph-Day and Arden Key),4.670,6.970
2,2:59,1,1,TEN 1,14,28,David Montgomery left tackle for -2 yards (tackle by Jeffery Simmons),6.970,5.530
2,2:23,2,3,TEN 3,14,34,David Montgomery pass complete short right to Sam LaPorta for 3 yards touchdown,5.530,7.000
2,2:18,,,TEN 15,14,35,Jake Bates kicks extra point good,0.000,0.000
2,2:18,,,DET 35,14,35,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,2:18,1,10,TEN 30,14,35,Mason Rudolph pass incomplete short right intended for Tony Pollard,0.940,0.390
2,2:12,2,10,TEN 30,14,35,Mason Rudolph pass incomplete short middle intended for Tyler Boyd. Penalty on Brian Branch: Defensive Pass Interference 13 yards (accepted) (no play),0.390,1.800
2,2:08,1,10,TEN 43,14,35,Tony Pollard up the middle for 4 yards (tackle by Jack Campbell and Isaiah Thomas),1.800,1.790
2,2:00,2,6,TEN 47,14,35,Tony Pollard up the middle for 12 yards (tackle by Kerby Joseph),1.790,2.850
2,1:23,1,10,DET 41,14,35,Mason Rudolph pass incomplete short left intended for Calvin Ridley,2.850,2.310
2,1:20,2,10,DET 41,14,35,Mason Rudolph pass complete deep left to Nick Westbrook-Ikhine for 34 yards (tackle by Terrion Arnold),2.310,5.600
2,0:37,1,7,DET 7,14,35,Mason Rudolph pass incomplete short left intended for Chigoziem Okonkwo. Penalty on Brian Branch: Defensive Pass Interference 6 yards (accepted) (no play),5.600,6.970
2,0:33,1,1,DET 1,14,35,Mason Rudolph pass incomplete short left intended for Nick Westbrook-Ikhine,6.970,5.910
2,0:30,2,1,DET 1,14,35,Mason Rudolph pass incomplete short left intended for Tyler Boyd,5.910,5.170
2,0:26,3,1,DET 1,14,35,Mason Rudolph pass incomplete short left intended for Tyler Boyd,5.170,3.550
2,0:23,4,1,DET 1,14,35,Mason Rudolph pass incomplete short left intended for Calvin Ridley (defended by Kerby Joseph). Penalty on Calvin Ridley: Illegal Touch Pass 5 yards (declined),3.550,0.380
2,0:17,1,10,DET 1,14,35,Jared Goff up the middle for 1 yard (tackle by Jeffery Simmons and T'Vondre Sweat),-0.380,-0.710
3,15:00,,,DET 35,14,35,Jake Bates kicks off 65 yards touchback.. Penalty on Mason Kinsey: Illegal Formation 5 yards (accepted),0.000,0.610
3,15:00,1,10,TEN 25,14,35,Mason Rudolph pass complete short left to Tyler Boyd for 5 yards (tackle by Jalen Reeves-Maybin),0.610,0.740
3,14:20,2,5,TEN 30,14,35,Tony Pollard left tackle for no gain (tackle by Levi Onwuzurike),0.740,0.040
3,13:46,3,5,TEN 30,14,35,Mason Rudolph pass complete short right to Calvin Ridley for 4 yards (tackle by Alex Anzalone),0.040,-1.110
3,13:05,4,1,TEN 34,14,41,Ryan Stonehouse punts 56 yards returned by Kalif Raymond for 90 yards touchdown,-1.110,-7.000
3,12:46,,,TEN 15,14,42,Jake Bates kicks extra point good,0.000,0.000
3,12:46,,,DET 35,14,42,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,12:46,1,10,TEN 30,14,42,Mason Rudolph pass incomplete deep right intended for Calvin Ridley,0.940,0.390
3,12:42,2,10,TEN 30,14,42,Mason Rudolph pass incomplete short middle intended for Chigoziem Okonkwo,0.390,-0.300
3,12:36,3,10,TEN 30,14,42,Mason Rudolph pass complete short right to Tyler Boyd for 4 yards (tackle by Brian Branch),-0.300,-1.110
3,11:57,4,6,TEN 34,14,42,Ryan Stonehouse punts 49 yards fair catch by Kalif Raymond at DET-17,-1.110,0.060
3,11:50,1,10,DET 17,14,42,Jared Goff pass complete short middle to Sam LaPorta for 4 yards (tackle by Jack Gibbens),-0.060,0.080
3,11:06,2,6,DET 21,14,42,David Montgomery left end for 2 yards (tackle by Jeffery Simmons),0.080,-0.490
3,10:25,3,4,DET 23,14,42,Jared Goff pass complete short right to Kalif Raymond for 7 yards (tackle by Roger McCreary),-0.490,0.940
3,9:53,1,10,DET 30,14,42,David Montgomery left end for 1 yard (tackle by Jack Gibbens and Kenneth Murray),0.940,0.530
3,9:14,2,9,DET 31,14,42,David Montgomery left tackle for 5 yards (tackle by T'Vondre Sweat and Jarvis Brownlee),0.530,0.500
3,8:35,3,4,DET 36,14,42,Jared Goff sacked by Jeffery Simmons for -11 yards. Jared Goff fumbles (forced by Jeffery Simmons) recovered by Jared Goff at DET-25,0.500,-1.700
3,7:53,4,15,DET 25,14,42,Jack Fox punts 63 yards returned by Jha'Quan Jackson for 11 yards (tackle by Shane Zylstra and Jalen Reeves-Maybin),-1.700,-0.480
3,7:43,1,10,TEN 23,14,42,Calvin Ridley right end for 3 yards. Calvin Ridley fumbles (forced by Amik Robertson) recovered by Carlton Davis at TEN-26,0.480,-3.840
3,7:37,1,10,TEN 26,14,42,Jahmyr Gibbs right tackle for 9 yards (tackle by Jack Gibbens),3.840,4.640
