Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
3,15:00,,,BAL 35,10,6,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CLE 30,10,6,Jameis Winston pass complete short right to Jerry Jeudy for 14 yards (tackle by Jalyn Armour-Davis),0.940,1.860
3,14:23,1,10,CLE 44,10,6,Nick Chubb left guard for -1 yards (tackle by Nnamdi Madubuike and Kyle Van Noy),1.860,1.180
3,13:56,2,11,CLE 43,10,6,Jameis Winston pass complete short middle to David Njoku for 7 yards (tackle by Roquan Smith and Eddie Jackson),1.180,1.420
3,13:13,3,4,CLE 50,10,6,Jameis Winston pass complete short right to Elijah Moore for 17 yards,1.420,3.380
3,12:37,1,10,BAL 33,10,6,Jameis Winston pass complete short right to Jerry Jeudy for 5 yards (tackle by Jalyn Armour-Davis),3.380,3.510
3,12:04,2,5,BAL 28,10,6,D'Onta Foreman right end for 4 yards (tackle by Roquan Smith),3.510,3.340
3,11:29,3,1,BAL 24,10,6,Jameis Winston right guard for 1 yard (tackle by Roquan Smith),3.340,4.040
3,10:52,1,10,BAL 23,10,12,Jameis Winston pass complete deep right to David Njoku for 23 yards touchdown,4.040,7.000
3,10:46,,,BAL 15,10,13,Dustin Hopkins kicks extra point good,0.000,0.000
3,10:46,,,CLE 35,10,13,Dustin Hopkins kicks off 63 yards returned by Chris Collier for 24 yards (tackle by Mohamoud Diabate and Tony Brown),0.000,0.670
3,10:41,1,10,BAL 26,10,13,Lamar Jackson sacked by Jeremiah Owusu-Koramoah for -4 yards,0.670,-0.410
3,9:57,2,14,BAL 22,10,13,Lamar Jackson pass incomplete deep right intended for Mark Andrews. Penalty on Greg Newsome: Defensive Pass Interference 29 yards (accepted) (no play),-0.410,2.320
3,9:48,1,10,CLE 49,10,13,Lamar Jackson right end for 7 yards (tackle by Greg Newsome),2.320,2.730
3,9:07,2,3,CLE 42,10,13,Derrick Henry up the middle for -2 yards (tackle by Mohamoud Diabate and Dalvin Tomlinson),2.730,1.750
3,8:23,3,5,CLE 44,10,13,Lamar Jackson pass incomplete short middle intended for Nelson Agholor,1.750,0.330
3,8:19,4,5,CLE 44,10,13,Jordan Stout punts 30 yards downed by Sanoussi Kane,0.330,0.280
3,8:08,1,10,CLE 14,10,13,Jameis Winston pass incomplete short right intended for Nick Chubb (defended by Kyle Van Noy),-0.280,-0.750
3,8:05,2,10,CLE 14,10,13,Jameis Winston pass incomplete short right intended for David Njoku,-0.750,-1.400
3,7:58,3,10,CLE 14,10,13,Jameis Winston pass incomplete deep left intended for Cedric Tillman,-1.400,-2.470
3,7:52,4,10,CLE 14,10,13,Corey Bojorquez punts 58 yards returned by Tylan Wallace for 10 yards (tackle by Winston Reid and D'Anthony Bell),-2.470,-1.470
3,7:41,1,10,BAL 38,10,13,Lamar Jackson pass complete deep left to Zay Flowers for 25 yards (tackle by Martin Emerson),1.470,3.120
