Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA
4,3:39,2,8,PIT 20,18,26,Daniel Jones scrambles right end for 1 yard (tackle by T.J. Watt),3.830,3.260
4,3:03,3,7,PIT 19,18,26,Daniel Jones sacked by T.J. Watt for -9 yards. Daniel Jones fumbles (forced by T.J. Watt) recovered by T.J. Watt at PIT-28,3.260,-0.810
4,2:59,1,10,PIT 28,18,26,Najee Harris right end for 4 yards (tackle by Greg Stroman and Rakeem Nunez-Roches). Penalty on D.J. Davidson: Defensive Holding 5 yards (accepted),0.810,1.400
4,2:53,1,10,PIT 37,18,26,Najee Harris left guard for 7 yards (tackle by D.J. Davidson and Micah McFadden),1.400,1.800
4,2:47,,,,,,Timeout #1 by New York Giants,,
4,2:47,2,3,PIT 44,18,26,Penalty on Micah McFadden: Defensive Too Many Men on Field 5 yards (accepted) (no play),1.800,2.190
4,2:47,1,10,PIT 49,18,26,Najee Harris left tackle for 3 yards (tackle by Dexter Lawrence and Micah McFadden),2.190,2.050
4,2:41,,,,,,Timeout #2 by New York Giants,,
4,2:41,2,7,NYG 48,18,26,Jaylen Warren up the middle for 2 yards (tackle by Brian Burns and Micah McFadden),2.050,1.620
4,2:36,,,,,,Timeout #3 by New York Giants,,
4,2:36,3,5,NYG 46,18,26,Russell Wilson scrambles right tackle for 3 yards (tackle by Brian Burns),1.620,0.400
4,2:00,4,2,NYG 43,18,26,Corliss Waitman punts 36 yards fair catch by Ihmir Smith-Marsette at NYG-7,0.400,0.380
4,1:53,1,10,NYG 7,18,26,Daniel Jones pass complete short left to Malik Nabers for 9 yards (tackle by Patrick Queen) Replay Assistant challenged the runner was in bounds ruling and the original play was overturned. Daniel Jones pass complete short left to Malik Nabers for 8 yards (tackle by Patrick Queen),-0.380,-0.140
4,1:39,2,2,NYG 15,18,26,Daniel Jones pass complete short middle to Wan'Dale Robinson for 7 yards (tackle by Damontae Kazee and Patrick Queen),-0.140,0.410
4,1:19,1,10,NYG 22,18,26,Daniel Jones pass incomplete deep left intended for Darius Slayton,0.410,-0.130
4,1:15,2,10,NYG 22,18,26,Daniel Jones pass complete deep middle to Theo Johnson for 25 yards (tackle by Terrell Edmunds),-0.130,2.060
4,0:57,1,10,NYG 47,18,26,Daniel Jones pass complete short right to Theo Johnson for 3 yards,2.060,1.920
4,0:53,2,7,PIT 50,18,26,Daniel Jones pass complete short right to Malik Nabers for 15 yards,1.920,3.250
4,0:47,1,10,PIT 35,18,26,Daniel Jones pass incomplete deep left intended for Malik Nabers,3.250,2.700
4,0:42,2,10,PIT 35,18,26,Daniel Jones pass short right intended for Devin Singletary is intercepted by Beanie Bishop at PIT-29 and returned for 5 yards (tackle by Devin Singletary),2.700,-1.200
4,0:34,1,10,PIT 34,18,26,Russell Wilson kneels for -1 yards,1.200,0.520
