Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA
2,3:00,1,10,CAR 20,7,14,Bo Nix pass complete short right to Adam Trautman for 12 yards (tackle by Trevin Wallace),4.240,5.370
2,2:26,1,8,CAR 8,7,14,Bo Nix pass incomplete short right intended for Lil'Jordan Humphrey,5.370,4.570
2,2:22,2,8,CAR 8,7,14,Javonte Williams left end for no gain (tackle by LaBryan Ray). Penalty on Shy Tuttle: Defensive Holding 4 yards (accepted) (no play),4.570,6.280
2,2:00,1,4,CAR 4,7,14,Bo Nix scrambles right end for 3 yards (tackle by Demani Richardson),6.280,5.910
2,1:47,,,,,,Timeout #3 by Carolina Panthers,,
2,1:47,2,1,CAR 1,7,14,Javonte Williams right tackle for no gain (tackle by A'Shawn Robinson),5.910,5.170
2,1:16,3,1,CAR 1,7,20,Bo Nix up the middle for 1 yard touchdown,5.170,7.000
2,1:12,,,CAR 15,7,21,Wil Lutz kicks extra point good,0.000,0.000
2,1:12,,,DEN 35,7,21,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,1:12,1,10,CAR 30,7,21,Bryce Young pass incomplete deep right intended for Xavier Legette,0.940,0.390
2,1:08,2,10,CAR 30,7,21,Bryce Young pass complete short left to Chuba Hubbard for 2 yards (tackle by Justin Strnad),0.390,-0.030
2,1:03,3,8,CAR 32,7,21,Penalty on Brady Christensen: False Start 5 yards (accepted) (no play),-0.030,-0.690
2,1:03,3,13,CAR 27,7,21,Bryce Young scrambles right end for 4 yards (tackle by Ja'Quan McMillian),-0.690,-1.310
2,0:57,4,9,CAR 31,7,21,Johnny Hekker punts 44 yards fair catch by Marvin Mims at DEN-25,-1.310,-0.610
2,0:50,1,10,DEN 25,7,21,Bo Nix pass complete short left to Courtland Sutton for no gain (tackle by Michael Jackson),0.610,0.060
2,0:30,2,10,DEN 25,7,21,Bo Nix pass complete short middle to Devaughn Vele for 9 yards (tackle by Caleb Farley and Josey Jewell),0.060,0.560
