Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
2,0:24,1,10,TAM 49,21,17,Kirk Cousins pass complete deep left to Darnell Mooney for 21 yards (tackle by Antoine Winfield),2.320,3.710
2,0:19,1,10,TAM 28,21,17,Kirk Cousins pass complete short right to Kyle Pitts for 2 yards (tackle by Christian Izien),3.710,3.440
2,0:13,,,,,,Timeout #3 by Atlanta Falcons,,
2,0:13,2,8,TAM 26,21,17,Kirk Cousins pass incomplete deep right intended for Drake London,3.440,2.740
2,0:09,3,8,TAM 26,21,17,Kirk Cousins pass incomplete deep right intended for Darnell Mooney. Penalty on Christian Izien: Illegal Contact 5 yards (accepted) (no play),2.740,4.170
2,0:05,1,10,TAM 21,24,17,Younghoe Koo 39 yard field goal good,4.170,3.000
2,0:01,,,ATL 35,24,17,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,0:01,1,10,TAM 30,24,17,Baker Mayfield kneels for -1 yards,0.940,0.260
3,15:00,,,TAM 35,24,17,Trenton Gill kicks off 66 yards returned by Ray-Ray McCloud for 29 yards (tackle by Kaevon Merriweather and Tavierre Thomas),0.000,0.810
3,14:55,1,10,ATL 28,24,17,Bijan Robinson left end for 3 yards (tackle by Lavonte David). Penalty on Darnell Mooney: Offensive Holding 10 yards (accepted),0.810,0.340
3,14:34,1,17,ATL 21,24,17,Kirk Cousins pass complete short left to Bijan Robinson for -2 yards (tackle by Lavonte David),0.340,-1.010
3,13:53,2,19,ATL 19,24,17,Kirk Cousins pass complete short right to Ray-Ray McCloud for -2 yards (tackle by Christian Izien),-1.010,-2.190
3,13:14,3,21,ATL 17,24,17,Bijan Robinson up the middle for 13 yards (tackle by Antoine Winfield),-2.190,-1.370
3,12:34,4,8,ATL 30,24,17,Bradley Pinion punts 45 yards returned by Trey Palmer for 14 yards (tackle by Tyler Allgeier),-1.370,-1.530
3,12:22,1,10,TAM 39,24,17,Bucky Irving right tackle for 1 yard (tackle by James Smith-Williams and Mike Hughes),1.530,1.120
3,11:39,2,9,TAM 40,24,17,Baker Mayfield scrambles up the middle for no gain (tackle by Kaden Elliss). Penalty on Graham Barton: Offensive Holding 10 yards (accepted) (no play),1.120,-0.230
3,11:13,2,19,TAM 30,24,17,Baker Mayfield pass complete short right to Rachaad White for 7 yards (tackle by Kaden Elliss and Matt Judon),-0.230,0.040
3,10:29,3,12,TAM 37,24,17,Baker Mayfield pass complete short left to Jalen McMillan for 13 yards (tackle by Ruke Orhorhoro and DeAundre Alford),0.040,2.260
3,10:04,1,10,TAM 50,24,17,Baker Mayfield pass complete short right to Bucky Irving for 13 yards (tackle by Nathan Landman),2.260,3.120
3,9:18,1,10,ATL 37,24,17,Baker Mayfield pass deep right intended for Ryan Miller is intercepted by Jessie Bates at ATL-8 and returned for no gain (tackle by Ryan Miller),3.120,0.380
3,9:11,1,10,ATL 8,24,17,Tyler Allgeier left end for 5 yards (tackle by Anthony Nelson and Christian Izien),-0.380,-0.410
3,8:31,2,5,ATL 13,24,17,Tyler Allgeier right tackle for 6 yards (tackle by K.J. Britt),-0.410,0.150
3,7:54,1,10,ATL 19,24,17,Tyler Allgeier right end for 3 yards (tackle by Lavonte David),0.150,0.070
3,7:16,2,7,ATL 22,24,17,Tyler Allgeier right tackle for 6 yards (tackle by Calijah Kancey),0.070,0.100
3,6:49,3,1,ATL 28,24,17,Tyler Allgeier up the middle for 9 yards (tackle by Antoine Winfield and Zyon McCollum),0.100,1.400
3,6:22,1,10,ATL 37,24,17,Kirk Cousins sacked by C.J. Brewer for -9 yards,1.400,-0.360
3,5:38,2,19,ATL 28,24,17,Kirk Cousins pass complete short left to Bijan Robinson for 7 yards (tackle by Josh Hayes and YaYa Diaby),-0.360,-0.100
3,5:12,3,12,ATL 35,24,17,Kirk Cousins pass complete short right to Ray-Ray McCloud for 5 yards (tackle by Calijah Kancey),-0.100,-0.720
3,4:41,4,7,ATL 40,24,17,Bradley Pinion punts 46 yards returned by Trey Palmer for 17 yards (tackle by Tyler Allgeier),-0.720,-1.000
3,4:30,1,10,TAM 31,24,17,Baker Mayfield pass complete short right to Sterling Shepard for 5 yards (tackle by Mike Hughes),1.000,1.140
3,3:55,2,5,TAM 36,24,17,Bucky Irving right tackle for 2 yards (tackle by Kaden Elliss and Zach Harrison),1.140,0.760
3,3:13,3,2,TAM 38,24,17,Baker Mayfield pass incomplete deep right intended for Rachaad White (defended by Matt Judon),0.760,-0.850
3,3:08,4,2,TAM 38,24,17,Tavierre Thomas left end for -2 yards (tackle by KhaDarel Hodge),-0.850,-3.180
3,3:05,1,10,TAM 36,24,17,Bijan Robinson right guard for no gain touchdown. Penalty on Ray-Ray McCloud: Offensive Holding 10 yards (accepted) (no play),3.180,2.520
3,2:57,1,20,TAM 46,24,17,Bijan Robinson right guard for 5 yards (tackle by YaYa Diaby and K.J. Britt),2.520,1.960
3,2:34,2,15,TAM 41,24,17,Kirk Cousins pass complete short left to Bijan Robinson for 10 yards (tackle by Josh Hayes and J.J. Russell),1.960,2.610
3,2:05,3,5,TAM 31,24,17,Kirk Cousins pass complete short left to Darnell Mooney for 7 yards (tackle by Christian Izien),2.610,3.970
3,1:30,1,10,TAM 24,24,17,Ray-Ray McCloud right end for 17 yards (tackle by Jordan Whitehead),3.970,5.600
3,0:56,1,7,TAM 7,24,17,Tyler Allgeier right tackle for 1 yard (tackle by Vita Vea),5.600,4.950
3,0:20,2,6,TAM 6,30,17,Kirk Cousins pass complete short left to Bijan Robinson for 6 yards touchdown,4.950,7.000
3,0:14,,,TAM 15,31,17,Younghoe Koo kicks extra point good,0.000,0.000
3,0:14,,,ATL 35,31,17,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,0:14,1,10,TAM 30,31,17,Baker Mayfield pass complete short left to Bucky Irving for 6 yards (tackle by Kaden Elliss),0.940,1.200
4,15:00,2,4,TAM 36,31,17,Jalen McMillan left end for 17 yards (tackle by AJ Terrell),1.200,2.460
4,14:23,1,10,ATL 47,31,17,Baker Mayfield pass complete short middle to Rakim Jarrett for 20 yards (tackle by Richie Grant),2.460,3.780
4,13:41,1,10,ATL 27,31,17,Baker Mayfield pass complete short left to Bucky Irving for 3 yards (tackle by AJ Terrell),3.780,3.640
4,13:00,2,7,ATL 24,31,17,Baker Mayfield pass deep left intended for Jalen McMillan is intercepted by AJ Terrell at ATL-6 and returned for no gain,3.640,0.380
4,12:54,1,10,ATL 6,31,17,Tyler Allgeier right tackle for -1 yards (tackle by Christian Izien and K.J. Britt),-0.380,-0.850
4,12:11,2,11,ATL 5,31,19,Kirk Cousins aborted snap. Kirk Cousins fumbles out of bounds,-0.850,-2.000
4,12:04,,,ATL 20,31,19,Bradley Pinion kicks off 73 yards returned by Sean Tucker for 20 yards (tackle by Antonio Hamilton and KhaDarel Hodge),0.000,0.740
4,11:59,1,10,TAM 27,31,19,Penalty on Jalen McMillan: False Start 5 yards (accepted) (no play),0.740,0.410
4,11:59,1,15,TAM 22,31,19,Baker Mayfield pass complete short right to Bucky Irving for 6 yards (tackle by Mike Hughes),0.410,0.330
4,11:17,2,9,TAM 28,31,19,Baker Mayfield pass complete short right to Jalen McMillan for 11 yards,0.330,1.530
4,10:59,1,10,TAM 39,31,19,Baker Mayfield pass complete short right to Cade Otton for 4 yards (tackle by Mike Hughes),1.530,1.530
4,10:17,2,6,TAM 43,31,19,Baker Mayfield pass complete short middle to Ryan Miller for 7 yards (tackle by Nathan Landman),1.530,2.260
4,9:50,1,10,ATL 50,31,19,Baker Mayfield pass incomplete short left intended for Ryan Miller,2.260,1.710
4,9:44,2,10,ATL 50,31,19,Baker Mayfield pass complete short left to Ryan Miller for 6 yards (tackle by AJ Terrell),1.710,1.820
4,9:10,3,4,ATL 44,31,19,Baker Mayfield scrambles up the middle for 10 yards (tackle by Kaden Elliss),1.820,3.310
4,8:45,1,10,ATL 34,31,19,Baker Mayfield pass incomplete short left,3.310,2.770
4,8:40,2,10,ATL 34,31,19,Baker Mayfield pass complete short left to Rachaad White for 6 yards (tackle by Kaden Elliss and Demone Harris),2.770,2.870
4,7:59,3,4,ATL 28,31,19,Baker Mayfield pass complete deep left to Rakim Jarrett for 19 yards (tackle by Richie Grant),2.870,5.140
4,7:31,1,9,ATL 9,31,19,Baker Mayfield pass complete short right to Jalen McMillan for 5 yards (tackle by Mike Hughes),5.140,5.340
4,6:55,2,4,ATL 4,31,25,Baker Mayfield pass complete short left to Cade Otton for 4 yards touchdown,5.340,7.000
4,6:52,,,ATL 15,31,26,Chase McLaughlin kicks extra point good,0.000,0.000
4,6:52,,,TAM 35,31,26,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
4,6:52,1,10,ATL 30,31,26,Kirk Cousins pass complete short left to Charlie Woerner for 13 yards (tackle by K.J. Britt and Josh Hayes),0.940,1.800
4,6:14,1,10,ATL 43,31,26,Bijan Robinson left guard for 7 yards (tackle by Christian Izien),1.800,2.200
4,5:32,2,3,TAM 50,31,26,Bijan Robinson right end for 2 yards (tackle by Zyon McCollum and Vita Vea),2.200,1.750
4,5:09,3,1,TAM 48,31,26,Bijan Robinson right tackle for 6 yards (tackle by Zyon McCollum),1.750,2.790
4,4:24,1,10,TAM 42,31,26,Bijan Robinson up the middle for 3 yards (tackle by Zyon McCollum). Penalty on Ryan Neuzil: Offensive Facemask 15 yards (accepted),2.790,1.990
4,4:19,1,22,ATL 46,31,26,Kirk Cousins pass complete short left to Drake London for 8 yards (tackle by Josh Hayes and K.J. Britt),1.990,1.700
4,3:32,2,14,TAM 46,31,26,Kirk Cousins scrambles up the middle for 13 yards (tackle by Josh Hayes),1.700,2.740
4,3:07,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,3:07,3,1,TAM 33,31,26,Tyler Allgeier up the middle for no gain (tackle by C.J. Brewer),2.740,1.210
4,2:24,,,,,,Timeout #1 by Atlanta Falcons,,
4,2:24,4,1,TAM 33,31,26,Kirk Cousins up the middle for 3 yards (tackle by Logan Hall),1.210,3.580
4,2:00,1,10,TAM 30,31,26,Tyler Allgeier left tackle for no gain (tackle by Vita Vea),3.580,3.030
4,1:56,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,1:56,2,10,TAM 30,31,26,Tyler Allgeier left end for -2 yards (tackle by Vita Vea and Lavonte David),3.030,2.080
4,1:51,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,1:51,3,12,TAM 32,31,26,Bijan Robinson right end for 4 yards (tackle by Vita Vea),2.080,1.590
4,1:06,,,,,,Timeout #2 by Atlanta Falcons,,
4,1:06,4,8,TAM 28,31,26,Younghoe Koo 46 yard field goal no good,1.590,-1.330
4,1:01,1,10,TAM 36,31,26,Baker Mayfield pass complete short left to Jalen McMillan for 6 yards (tackle by Kaden Elliss),1.330,1.600
4,0:45,2,4,TAM 42,31,26,Baker Mayfield pass incomplete deep left intended for Sterling Shepard,1.600,0.890
4,0:40,3,4,TAM 42,31,26,Baker Mayfield pass complete short right to Ryan Miller for 6 yards (tackle by DeAundre Alford),0.890,2.130
4,0:23,1,10,TAM 48,31,26,Baker Mayfield pass complete deep middle to Rakim Jarrett for 19 yards (tackle by AJ Terrell),2.130,3.380
4,0:09,1,10,ATL 33,31,26,Baker Mayfield spiked the ball,3.380,2.840
4,0:09,,,,,,Timeout #3 by Atlanta Falcons,,
4,0:09,2,10,ATL 33,31,26,Penalty on Tristan Wirfs: False Start 5 yards (accepted) (no play),2.840,2.160
4,0:09,2,15,ATL 38,31,26,Baker Mayfield pass incomplete short right,2.160,1.490
4,0:06,3,15,ATL 38,31,26,Baker Mayfield pass incomplete deep middle,1.490,0.720
