Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA
3,13:38,1,10,BUF 42,0,12,Breece Hall left tackle for 5 yards (tackle by Terrel Bernard and Taylor Rapp),2.790,2.920
3,12:59,2,5,BUF 37,0,12,Breece Hall left end for no gain (tackle by DeWayne Carter). Penalty on Allen Lazard: Offensive Holding 10 yards (accepted) (no play),2.920,1.570
3,12:32,2,15,BUF 47,0,12,Aaron Rodgers pass complete short right to Davante Adams for 10 yards (tackle by Taron Johnson),1.570,2.210
3,11:46,3,5,BUF 37,0,12,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,2.210,0.790
3,11:41,4,5,BUF 37,0,12,Penalty on Aaron Rodgers: Delay of Game 5 yards (accepted) (no play),0.790,0.460
3,11:41,4,10,BUF 42,0,12,Thomas Morstead punts 41 yards downed by Jarius Monroe,0.460,0.380
3,11:33,1,10,BUF 1,0,12,Josh Allen left guard for 1 yard (tackle by Quincy Williams),-0.380,-0.710
3,10:56,2,9,BUF 2,0,12,James Cook right guard for 5 yards (tackle by Tony Adams),-0.710,-0.720
3,10:11,3,4,BUF 7,0,12,Josh Allen pass incomplete short right intended for Keon Coleman,-0.720,-2.490
3,10:06,4,4,BUF 7,0,12,Sam Martin punts 51 yards returned by Xavier Gipson for 13 yards (tackle by Edefuan Ulofoshio),-2.490,-2.590
3,9:55,1,10,BUF 45,0,12,Aaron Rodgers pass complete short middle to Garrett Wilson for 13 yards (tackle by Taylor Rapp),2.590,3.450
3,9:14,1,10,BUF 32,0,12,Breece Hall right tackle for -1 yards (tackle by Ed Oliver and Matt Milano),3.450,2.770
3,8:35,2,11,BUF 33,0,12,Penalty on John Simpson: False Start 4 yards (accepted) (no play),2.770,2.230
3,8:16,2,15,BUF 37,0,12,Aaron Rodgers sacked by and Gregory Rousseau for -4 yards and DaQuan Jones for -4 yards,2.230,1.030
3,7:37,3,19,BUF 41,0,12,Aaron Rodgers pass deep middle intended for Allen Lazard is intercepted by Christian Benford at BUF-23 and returned for 24 yards (tackle by Breece Hall). Penalty on Aaron Rodgers: Unnecessary Roughness / Offense 15 yards (accepted),1.030,-3.050
3,7:20,1,10,NYJ 38,0,12,Josh Allen pass complete short middle to Amari Cooper for 9 yards (tackle by D.J. Reed),3.050,3.720
