Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
3,7:37,,,LAC 35,27,7,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,7:37,1,10,NWE 30,27,7,Antonio Gibson left guard for 2 yards (tackle by Troy Dye),0.940,0.660
3,7:18,2,8,NWE 32,27,7,Drake Maye pass complete short right to Kayshon Boutte for 7 yards (tackle by Tarheeb Still),0.660,0.890
3,6:56,3,1,NWE 39,27,7,Antonio Gibson left end for -1 yards (tackle by Kristian Fulton and Elijah Molden),0.890,-0.850
3,6:13,4,2,NWE 38,27,7,Drake Maye sacked by Derwin James for -15 yards,-0.850,-4.040
3,6:02,1,10,NWE 23,27,7,Justin Herbert pass incomplete deep right intended for Ladd McConkey,4.040,3.500
3,5:57,2,10,NWE 23,27,7,Justin Herbert pass incomplete short left intended for DJ Chark,3.500,2.810
3,5:53,3,10,NWE 23,27,7,Justin Herbert pass incomplete deep right intended for Quentin Johnston,2.810,1.930
3,5:47,4,10,NWE 23,30,7,Cameron Dicker 41 yard field goal good,1.930,3.000
3,5:43,,,LAC 35,30,7,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,5:43,1,10,NWE 30,30,7,Drake Maye scrambles left end for 6 yards (tackle by Kristian Fulton),0.940,1.200
3,5:13,2,4,NWE 36,30,7,Drake Maye pass complete short right to Austin Hooper for 9 yards (tackle by Troy Dye),1.200,1.930
3,4:47,1,10,NWE 45,30,7,Drake Maye pass incomplete short middle,1.930,1.380
3,4:41,2,10,NWE 45,30,7,Drake Maye pass incomplete deep middle intended for Kayshon Boutte,1.380,0.700
3,4:36,3,10,NWE 45,30,7,Drake Maye pass complete short middle to Demario Douglas for 11 yards (tackle by Elijah Molden),0.700,2.650
3,4:10,1,10,LAC 44,30,7,Drake Maye pass complete short left to Kayshon Boutte for 5 yards (tackle by Kristian Fulton),2.650,2.780
3,3:49,2,5,LAC 39,30,7,Drake Maye pass incomplete short right intended for Hunter Henry,2.780,2.080
3,3:43,3,5,LAC 39,30,7,Drake Maye sacked by Khalil Mack for -7 yards,2.080,0.200
3,3:12,4,12,LAC 46,30,7,Drake Maye pass incomplete short left intended for Kayshon Boutte. Penalty on Cam Hart: Defensive Pass Interference 12 yards (accepted) (no play),0.200,3.310
3,3:04,1,10,LAC 34,30,7,Drake Maye scrambles right end for 3 yards (tackle by Tarheeb Still),3.310,3.180
3,2:36,2,7,LAC 31,30,7,Drake Maye pass incomplete short left intended for Antonio Gibson,3.180,2.480
3,2:26,3,7,LAC 31,30,7,Drake Maye pass incomplete short left intended for Hunter Henry (defended by Khalil Mack),2.480,1.320
3,2:22,4,7,LAC 31,30,7,Drake Maye sacked by Derwin James for -6 yards,1.320,-1.400
3,2:18,1,10,LAC 37,30,7,Justin Herbert pass complete short right to Quentin Johnston for 7 yards (tackle by Marte Mapu),1.400,1.800
3,1:37,2,3,LAC 44,30,7,Justin Herbert pass incomplete short left intended for DJ Chark (defended by Alex Austin),1.800,1.090
3,1:36,3,3,LAC 44,30,7,J.K. Dobbins right end for 13 yards (tackle by Keion White). Penalty on Keion White: Horse Collar Tackle 15 yards (accepted),1.090,3.710
3,1:05,1,10,NWE 28,30,7,J.K. Dobbins up the middle for 8 yards (tackle by Isaiah Bolden and Sione Takitaki),3.710,4.250
3,0:17,2,2,NWE 20,30,7,J.K. Dobbins right end for no gain (tackle by Eric Johnson and Yannick Ngakoue),4.250,3.530
4,15:00,3,2,NWE 20,30,7,J.K. Dobbins left guard for 8 yards (tackle by Jahlani Tavai),3.530,4.780
4,14:19,1,10,NWE 12,30,7,J.K. Dobbins left end for 4 yards (tackle by Jonathan Jones and Christian Elliss),4.780,4.830
4,13:37,2,6,NWE 8,30,7,J.K. Dobbins left guard for 2 yards (tackle by Davon Godchaux),4.830,4.380
4,12:51,3,4,NWE 6,30,7,Justin Herbert scrambles left guard for 4 yards (tackle by Sione Takitaki),4.380,6.740
4,12:01,1,2,NWE 2,36,7,J.K. Dobbins up the middle for 2 yards touchdown,6.740,7.000
4,11:58,,,NWE 15,37,7,Cameron Dicker kicks extra point good,0.000,0.000
4,11:58,,,LAC 35,37,7,Cameron Dicker kicks off 68 yards returned by Alex Erickson for 31 yards (tackle by Tuli Tuipulotu),0.000,0.810
4,11:53,1,10,NWE 28,37,7,Drake Maye pass complete short right to Austin Hooper for 5 yards (tackle by Junior Colson),0.810,0.940
