Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
2,14:14,2,7,TAM 42,7,10,Baker Mayfield pass complete short left to Mike Evans for 6 yards (tackle by Cam Gill),1.390,1.490
2,13:32,3,1,TAM 48,7,10,Bucky Irving right end for 2 yards (tackle by DJ Johnson and Chandler Wooten),1.490,2.260
2,12:50,1,10,TAM 50,7,10,Baker Mayfield pass complete short right to Rakim Jarrett for 11 yards (tackle by Jacoby Windmon),2.260,2.980
2,12:21,1,10,CAR 39,7,10,Baker Mayfield pass complete short middle to Sean Tucker for 5 yards (tackle by Jacoby Windmon),2.980,3.120
2,11:53,2,5,CAR 34,7,10,Kameron Johnson left end for 11 yards (tackle by D.J. Wonnum). Penalty on A'Shawn Robinson: Illegal Use of Hands / Defense 5 yards (accepted),3.120,4.370
2,11:30,1,10,CAR 18,7,10,Baker Mayfield pass incomplete short left intended for Ryan Miller,4.370,3.800
2,11:28,2,10,CAR 18,7,10,Baker Mayfield scrambles up the middle for 2 yards (tackle by Jacoby Windmon),3.800,3.300
2,10:42,3,8,CAR 16,7,10,Baker Mayfield pass incomplete deep right intended for Devin Culp,3.300,2.380
2,10:35,4,8,CAR 16,7,13,Chase McLaughlin 34 yard field goal good,2.380,3.000
2,10:31,,,TAM 35,7,13,Jack Browning kicks off 65 yards touchback.,0.000,0.940
2,10:31,1,10,CAR 30,7,13,Bryce Young pass incomplete deep right intended for Xavier Legette,0.940,0.390
2,10:24,2,10,CAR 30,7,13,Bryce Young pass incomplete short right,0.390,-0.300
2,10:20,3,10,CAR 30,7,13,Bryce Young pass incomplete short left intended for Mike Boone. Penalty on Damien Lewis: Ineligible Downfield Pass 5 yards (declined),-0.300,-1.370
2,10:16,4,10,CAR 30,7,13,Johnny Hekker punts 51 yards out of bounds,-1.370,-0.150
2,10:09,1,10,TAM 19,7,13,Sean Tucker up the middle for 4 yards (tackle by Chandler Wooten and LaBryan Ray),0.150,0.210
2,9:30,2,6,TAM 23,7,13,Bucky Irving right end for 34 yards (tackle by Chandler Wooten),0.210,2.720
2,8:56,1,10,CAR 43,7,13,Baker Mayfield pass complete short left to Bucky Irving for 42 yards (tackle by Xavier Woods),2.720,6.970
2,8:24,1,1,CAR 1,7,19,Baker Mayfield pass complete short left to Mike Evans for 1 yard touchdown,6.970,7.000
2,8:19,,,CAR 15,7,20,Chase McLaughlin kicks extra point good,0.000,0.000
2,8:19,,,TAM 35,7,20,Jack Browning kicks off 59 yards returned by Velus Jones for 19 yards (tackle by Deion Jones),0.000,0.610
2,8:14,1,10,CAR 25,7,20,Raheem Blackshear right tackle for 3 yards (tackle by Logan Hall and K.J. Britt),0.610,0.470
2,7:40,2,7,CAR 28,7,20,Velus Jones right end for no gain (tackle by Zyon McCollum and Jordan Whitehead),0.470,-0.230
2,7:04,3,7,CAR 28,7,20,Bryce Young pass incomplete deep right intended for Xavier Legette (defended by Zyon McCollum),-0.230,-1.500
2,6:58,4,7,CAR 28,7,20,Johnny Hekker punts 36 yards downed by Cam Gill,-1.500,-1.330
2,6:49,1,10,TAM 36,7,20,Bucky Irving right guard for no gain (tackle by Shy Tuttle),1.330,0.790
2,6:09,2,10,TAM 36,7,20,Baker Mayfield sacked by A'Shawn Robinson for no gain. Penalty on A'Shawn Robinson: Roughing the Passer 15 yards (accepted) (no play),0.790,2.320
2,5:49,1,10,CAR 49,7,20,Bucky Irving left guard for 1 yard (tackle by Dane Jackson and A'Shawn Robinson). Penalty on Graham Barton: Offensive Holding 10 yards (accepted),2.320,1.730
