Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
2,3:31,1,20,WAS 45,14,7,Jayden Daniels sacked by Matt Judon for -10 yards,1.930,-0.660
2,2:44,,,,,,Timeout #1 by Washington Commanders,,
2,2:44,2,30,WAS 35,14,7,Jayden Daniels pass incomplete short right,-0.660,-1.290
2,2:38,3,30,WAS 35,14,7,Jayden Daniels pass complete short right to Olamide Zaccheaus for 10 yards (tackle by Jessie Bates and Mike Hughes),-1.290,-0.390
2,2:00,4,20,WAS 45,14,7,Tress Way punts 37 yards out of bounds. Penalty on Darrick Forrest: Offensive Holding 10 yards (accepted),-0.390,-0.810
2,1:53,1,10,ATL 28,14,7,Bijan Robinson right end for 9 yards (tackle by Bobby Wagner and Jeremy Chinn),0.810,1.480
2,1:19,2,1,ATL 37,14,7,Bijan Robinson right tackle for 10 yards (tackle by Jeremy Chinn),1.480,2.060
2,0:54,1,10,ATL 47,14,7,Michael Penix pass complete deep right to Drake London for 17 yards,2.060,3.180
2,0:46,1,10,WAS 36,14,7,Michael Penix pass complete short right to Darnell Mooney for 12 yards (tackle by Michael Davis),3.180,3.970
2,0:22,1,10,WAS 24,14,7,Michael Penix pass complete short right to Kyle Pitts for 3 yards,3.970,3.840
2,0:16,2,7,WAS 21,14,7,Michael Penix pass incomplete short middle intended for Bijan Robinson (defended by Bobby Wagner),3.840,3.140
2,0:11,3,7,WAS 21,14,7,Michael Penix pass incomplete deep left intended for Drake London,3.140,2.060
2,0:06,4,7,WAS 21,17,7,Riley Patterson 39 yard field goal good,2.060,3.000
2,0:02,,,ATL 35,17,7,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,0:02,1,10,WAS 30,17,7,Jayden Daniels kneels for -1 yards,0.940,0.260
3,15:00,,,ATL 35,17,7,Bradley Pinion kicks off 63 yards returned by Luke McCaffrey for 29 yards (tackle by DeAundre Alford and JD Bertrand),0.000,1.000
3,14:49,1,10,WAS 31,17,7,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus. Penalty on Samuel Cosmi: Offensive Holding 10 yards (accepted) (no play),1.000,0.340
3,14:49,1,20,WAS 21,17,7,Jayden Daniels pass complete short middle to Brian Robinson for 5 yards (tackle by Arnold Ebiketie),0.340,-0.220
3,14:21,2,15,WAS 26,17,7,Jayden Daniels sacked by David Onyemata for -7 yards,-0.220,-1.940
3,13:40,3,22,WAS 19,17,7,Jayden Daniels sacked by Arnold Ebiketie for no gain. Penalty on DeAngelo Malone: Illegal Contact 5 yards (accepted) (no play),-1.940,0.540
3,13:29,1,10,WAS 24,17,7,Jayden Daniels pass incomplete short left intended for Jamison Crowder,0.540,0.000
3,13:22,2,10,WAS 24,17,7,Brian Robinson right end for 10 yards (tackle by DeAngelo Malone and DeAundre Alford),0.000,1.200
3,12:45,1,10,WAS 34,17,7,Jayden Daniels pass complete short left to Olamide Zaccheaus for no gain (tackle by Kentavius Street). Penalty on K.J. Osborn: Offensive Holding 10 yards (accepted) (no play),1.200,0.540
3,12:21,1,20,WAS 24,17,7,Jayden Daniels pass complete short left to Zach Ertz for 37 yards (tackle by JD Bertrand),0.540,2.980
3,11:32,1,10,ATL 39,17,7,Jayden Daniels pass incomplete short left intended for Jeremy McNichols,2.980,2.440
3,11:29,2,10,ATL 39,17,7,Jeremy McNichols right guard for 5 yards (tackle by Grady Jarrett),2.440,2.410
3,10:55,3,5,ATL 34,17,7,Jayden Daniels scrambles left end for 9 yards (tackle by Kaden Elliss),2.410,3.910
3,10:14,1,10,ATL 25,17,7,Jayden Daniels pass incomplete short middle intended for Terry McLaurin (defended by AJ Terrell),3.910,3.360
3,10:11,2,10,ATL 25,17,7,Jayden Daniels pass incomplete deep middle intended for Terry McLaurin,3.360,2.680
3,10:06,3,10,ATL 25,17,7,Jayden Daniels pass complete short right to Jamison Crowder for 9 yards (tackle by Mike Hughes),2.680,2.530
3,9:24,4,1,ATL 16,17,7,Jayden Daniels right end for 4 yards (tackle by Jessie Bates),2.530,4.780
3,8:47,1,10,ATL 12,17,7,Brian Robinson right end for 3 yards (tackle by Demone Harris and Eddie Goldman),4.780,4.640
3,8:04,2,7,ATL 9,17,7,Jayden Daniels sacked by Jessie Bates for -1 yards,4.640,3.480
3,7:19,3,8,ATL 10,17,13,Jayden Daniels pass complete short middle to Zach Ertz for 10 yards touchdown,3.480,7.000
3,7:13,,,ATL 15,17,14,Zane Gonzalez kicks extra point good,0.000,0.000
3,7:13,,,WAS 35,17,14,Zane Gonzalez kicks off 67 yards returned by Avery Williams for 31 yards (tackle by Jeremy Reaves),0.000,0.870
3,7:07,1,10,ATL 29,17,14,Bijan Robinson left end for 1 yard (tackle by Jer'Zhan Newton and Daron Payne),0.870,0.460
3,6:16,2,9,ATL 30,17,14,Michael Penix pass complete short left to Drake London for 4 yards (tackle by Michael Davis),0.460,0.300
3,5:36,3,5,ATL 34,17,14,Michael Penix sacked by Dante Fowler for -6 yards. Michael Penix fumbles (forced by Dante Fowler) recovered by Michael Penix at ATL-28 (tackle by Dante Fowler). Penalty on Matthew Bergeron: Offensive Holding 10 yards (declined),0.300,-1.500
3,5:15,4,11,ATL 28,17,14,Bradley Pinion punts 42 yards out of bounds,-1.500,-0.940
3,5:06,1,10,WAS 30,17,14,Jayden Daniels scrambles up the middle for 13 yards (tackle by AJ Terrell),0.940,1.800
