Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA
3,0:34,2,4,SFO 4,24,28,Jared Goff pass incomplete short right intended for Jameson Williams,5.340,4.490
3,0:26,3,4,SFO 4,24,28,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,4.490,3.030
3,0:22,4,4,SFO 4,30,28,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards touchdown,3.030,7.000
3,0:19,,,SFO 15,31,28,Jake Bates kicks extra point good,0.000,0.000
3,0:19,,,DET 35,31,28,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,0:19,1,10,SFO 30,31,28,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Brian Branch),0.940,1.610
4,15:00,2,1,SFO 39,31,28,Isaac Guerendo up the middle for 3 yards (tackle by Jack Campbell),1.610,1.730
4,14:22,1,10,SFO 42,31,28,Brock Purdy pass complete deep middle to George Kittle for 18 yards (tackle by Ifeatu Melifonwu),1.730,2.920
4,13:45,1,10,DET 40,31,28,Ricky Pearsall pass incomplete short right,2.920,2.370
4,13:38,2,10,DET 40,31,28,Brock Purdy pass incomplete short middle intended for Kyle Juszczyk,2.370,1.680
4,13:34,3,10,DET 40,31,28,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Amik Robertson),1.680,0.590
4,13:30,4,10,DET 40,31,28,Jake Moody 58 yard field goal no good,0.590,-2.130
4,13:25,1,10,DET 48,31,28,Jahmyr Gibbs right end for 3 yards (tackle by Malik Mustapha),2.130,1.990
4,12:49,2,7,SFO 49,31,28,Jahmyr Gibbs right guard for 4 yards (tackle by Nick Bosa and Jordan Elliott),1.990,1.820
4,12:07,3,3,SFO 45,31,28,Jared Goff pass incomplete short left intended for Sam LaPorta,1.820,0.270
4,12:03,4,3,SFO 45,31,28,Jared Goff pass complete short left to Sam LaPorta for 19 yards (tackle by Talanoa Hufanga),0.270,3.840
4,11:24,1,10,SFO 26,31,28,Craig Reynolds up the middle for 2 yards (tackle by Nick Bosa),3.840,3.570
4,10:44,2,8,SFO 24,31,28,Jared Goff pass incomplete short right intended for Jameson Williams,3.570,2.870
4,10:37,3,8,SFO 24,31,28,Jared Goff pass incomplete short left intended for Jameson Williams,2.870,1.870
4,10:34,4,8,SFO 24,34,28,Jake Bates 42 yard field goal good,1.870,3.000
4,10:29,,,DET 35,34,28,Jake Bates kicks off 65 yards touchback.,0.000,0.940
