Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
3,1:00,1,10,NOR 29,16,10,Aidan O'Connell pass complete short middle to Brock Bowers for 15 yards (tackle by Tyrann Mathieu),3.640,4.650
3,0:22,1,10,NOR 14,16,10,Ameer Abdullah right tackle for 4 yards (tackle by Khalen Saunders),4.650,4.710
4,15:00,2,6,NOR 10,16,10,Ameer Abdullah left guard for 3 yards (tackle by Demario Davis),4.710,4.500
4,14:20,3,3,NOR 7,16,10,Aidan O'Connell pass incomplete short left intended for Jakobi Meyers,4.500,2.990
4,14:16,4,3,NOR 7,19,10,Daniel Carlson 25 yard field goal good,2.990,3.000
4,14:14,,,LVR 35,19,10,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
4,14:14,1,10,NOR 30,19,10,Clyde Edwards-Helaire up the middle for 2 yards (tackle by Robert Spillane and Tyree Wilson),0.940,0.660
4,13:55,2,8,NOR 32,19,10,Spencer Rattler pass incomplete short right intended for Foster Moreau,0.660,-0.030
4,13:46,3,8,NOR 32,19,10,Spencer Rattler pass complete short right to Dante Pettis for 6 yards (tackle by Nate Hobbs),-0.030,-0.850
4,13:07,4,2,NOR 38,19,10,Spencer Rattler scrambles left end for 8 yards (tackle by K'Lavon Chaisson),-0.850,1.990
4,12:11,1,10,NOR 46,19,10,Jamaal Williams up the middle for 4 yards (tackle by Charles Snowden and Divine Deablo),1.990,1.990
4,11:44,2,6,LVR 50,19,10,Spencer Rattler pass complete short right to Cedrick Wilson for no gain. Penalty on Oli Udoh: Offensive Holding 10 yards (accepted) (no play),1.990,0.640
4,11:37,2,16,NOR 40,19,10,Spencer Rattler pass short right intended for Cedrick Wilson is intercepted by Jack Jones at NO-40 and returned for no gain (tackle by Cedrick Wilson),0.640,-2.920
4,11:22,1,10,NOR 40,19,10,Aidan O'Connell pass incomplete deep left intended for Tre Tucker,2.920,2.370
4,11:16,2,10,NOR 40,19,10,Alexander Mattison left tackle for 5 yards (tackle by Kool-Aid McKinstry),2.370,2.340
4,10:37,3,5,NOR 35,19,10,Aidan O'Connell pass complete short middle to Brock Bowers for 13 yards (tackle by Tyrann Mathieu),2.340,4.110
4,9:54,1,10,NOR 22,19,10,Brock Bowers left end for -1 yards (tackle by Demario Davis),4.110,3.430
4,9:12,2,11,NOR 23,19,10,Alexander Mattison left end for 5 yards (tackle by Demario Davis and Khalen Saunders),3.430,3.400
4,8:27,3,6,NOR 18,25,10,Aidan O'Connell pass complete deep left to Tre Tucker for 18 yards touchdown,3.400,7.000
4,8:20,,,NOR 15,25,10,Daniel Carlson kicks extra point blocked blocked by Carl Granderson,0.000,-1.000
