Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
2,3:56,1,10,IND 41,6,21,Joe Flacco pass complete short left to Alec Pierce for 13 yards (tackle by Jason Pinnock),1.660,2.520
2,3:18,1,10,NYG 46,6,21,Joe Flacco pass complete short left to Michael Pittman for 13 yards (tackle by Jason Pinnock),2.520,3.380
2,2:46,1,10,NYG 33,6,21,Joe Flacco pass incomplete short left,3.380,2.840
2,2:44,2,10,NYG 33,6,21,Joe Flacco pass complete short middle to Michael Pittman for 8 yards (tackle by Darius Muasau and Ty Summers),2.840,3.200
2,2:00,3,2,NYG 25,6,21,Jonathan Taylor right guard for 12 yards (tackle by Adoree' Jackson),3.200,4.710
2,1:23,1,10,NYG 13,6,21,Joe Flacco pass complete short middle to Josh Downs for 7 yards (tackle by Andru Phillips),4.710,5.340
2,1:17,,,,,,Timeout #1 by New York Giants,,
2,1:17,2,3,NYG 6,6,21,Jonathan Taylor up the middle for -1 yards (tackle by Brian Burns),5.340,4.330
2,1:14,,,,,,Timeout #2 by New York Giants,,
2,1:14,3,4,NYG 7,6,21,Jonathan Taylor right end for -1 yards (tackle by Jordon Riley and Darius Muasau),4.330,2.970
2,1:07,,,,,,Timeout #3 by New York Giants,,
2,1:07,4,5,NYG 8,6,21,Joe Flacco pass complete short right to Kylen Granson for 6 yards (tackle by Dane Belton),2.970,6.740
2,0:27,1,2,NYG 2,6,21,Jonathan Taylor right tackle for -1 yards (tackle by Brian Burns and Elijah Garcia),6.740,5.530
2,0:23,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:23,2,3,NYG 3,12,21,Jonathan Taylor left tackle for 3 yards touchdown,5.530,7.000
2,0:20,,,NYG 15,13,21,Matt Gay kicks extra point good,0.000,0.000
2,0:20,,,IND 35,13,21,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,0:20,1,10,NYG 30,13,21,Drew Lock kneels for -1 yards,0.940,0.260
3,15:00,,,IND 35,13,27,Matt Gay kicks off 65 yards returned by Ihmir Smith-Marsette for 100 yards touchdown,0.000,7.000
3,14:48,,,IND 15,13,28,Graham Gano kicks extra point good,0.000,0.000
3,14:48,,,NYG 35,13,28,Graham Gano kicks off 65 yards touchback.,0.000,0.940
3,14:48,1,10,IND 30,13,28,Jonathan Taylor up the middle for 5 yards (tackle by Cordale Flott),0.940,1.070
3,14:14,2,5,IND 35,13,28,Joe Flacco pass complete short left to Michael Pittman for 19 yards (tackle by Deonte Banks),1.070,2.520
3,13:36,1,10,NYG 46,13,28,Jonathan Taylor right end for 6 yards (tackle by Darius Muasau and Cordale Flott),2.520,2.790
3,12:54,2,4,NYG 40,13,28,Jonathan Taylor up the middle for 5 yards (tackle by Dane Belton),2.790,3.250
3,12:17,1,10,NYG 35,13,28,Jonathan Taylor left guard for 9 yards (tackle by Dane Belton),3.250,3.920
3,11:47,2,1,NYG 26,13,28,Jonathan Taylor left tackle for no gain (tackle by Jason Pinnock and Ty Summers),3.920,3.200
3,11:10,3,1,NYG 26,19,28,Jonathan Taylor right guard for 26 yards touchdown,3.200,7.000
3,11:03,,,NYG 15,20,28,Matt Gay kicks extra point good,0.000,0.000
3,11:03,,,IND 35,20,28,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,11:03,1,10,NYG 30,20,28,Tyrone Tracy right guard for -3 yards (tackle by Grover Stewart),0.940,-0.010
3,10:28,2,13,NYG 27,20,28,Tyrone Tracy right guard for 2 yards (tackle by Nick Cross),-0.010,-0.430
3,9:50,3,11,NYG 29,20,28,Drew Lock pass complete short right to Tyrone Tracy for 1 yard. Tyrone Tracy fumbles (tackle by E.J. Speed recovered by Jermaine Eluemunor at NYG-30,-0.430,-1.370
3,8:59,4,10,NYG 30,20,28,Jamie Gillan punts 51 yards returned by Anthony Gould for 7 yards (tackle by Tomon Fox),-1.370,-0.670
3,8:48,1,10,IND 26,20,28,Joe Flacco pass complete short right to Michael Pittman for 9 yards (tackle by Dane Belton),0.670,1.350
3,8:12,2,1,IND 35,20,28,Joe Flacco pass complete short left to Michael Pittman for 2 yards (tackle by Jason Pinnock),1.350,1.400
3,7:31,1,10,IND 37,20,28,Joe Flacco pass complete deep right to Michael Pittman for 31 yards (tackle by Dane Belton),1.400,3.450
3,6:46,1,10,NYG 32,20,28,Jonathan Taylor left tackle for 4 yards (tackle by Jason Pinnock and Brian Burns),3.450,3.440
3,6:02,2,6,NYG 28,20,28,Jonathan Taylor right guard for 5 yards (tackle by Ty Summers and Dane Belton),3.440,3.400
3,5:20,3,1,NYG 23,20,28,Jonathan Taylor left end for no gain (tackle by Darius Muasau),3.400,2.080
3,4:42,4,1,NYG 23,20,28,Jonathan Taylor up the middle for no gain (tackle by Elijah Chatman and Elijah Garcia),2.080,-0.480
3,4:32,1,10,NYG 23,20,28,Penalty on Darius Slayton: False Start 5 yards (accepted) (no play),0.480,-0.120
3,4:32,1,15,NYG 17,20,28,Drew Lock pass complete short middle to Devin Singletary for 9 yards (tackle by Zaire Franklin and Grover Stewart),-0.120,0.410
3,3:54,2,6,NYG 26,20,28,Tyrone Tracy right tackle for -2 yards (tackle by Zaire Franklin and Tyquan Lewis),0.410,-0.560
3,3:16,3,8,NYG 24,20,28,Drew Lock pass complete short middle to Wan'Dale Robinson for 9 yards (tackle by Zaire Franklin and Kenny Moore),-0.560,1.140
3,2:36,1,10,NYG 33,20,28,Drew Lock pass incomplete short right. Penalty on Evan Neal: Ineligible Downfield Pass 5 yards (accepted) (no play),1.140,0.810
