Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
3,8:23,4,10,SEA 41,6,3,Michael Dickson punts 43 yards downed by Drake Thomas,-0.650,0.140
3,8:13,1,10,CHI 16,6,3,D'Andre Swift left tackle for 4 yards (tackle by Ernest Jones and Tyrice Knight),-0.140,0.010
3,7:31,2,6,CHI 20,6,3,Caleb Williams scrambles right end for 16 yards (tackle by Coby Bryant),0.010,1.330
3,6:47,1,10,CHI 36,6,3,Caleb Williams pass complete short right to D'Andre Swift for -1 yards (tackle by Devon Witherspoon),1.330,0.660
3,6:06,2,11,CHI 35,6,3,Caleb Williams pass complete short right to Keenan Allen for 1 yard,0.660,0.100
3,5:28,3,10,CHI 36,6,3,Caleb Williams sacked by Jarran Reed for -10 yards,0.100,-1.630
3,4:44,4,20,CHI 26,6,3,Tory Taylor punts 39 yards downed by Tyler Scott,-1.630,-1.270
3,4:35,1,10,SEA 35,6,3,Geno Smith pass incomplete deep right intended for Jaxon Smith-Njigba,1.270,0.720
3,4:29,2,10,SEA 35,6,3,Kenny McIntosh right guard for 3 yards (tackle by Byron Cowart),0.720,0.430
3,3:47,3,7,SEA 38,6,3,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 19 yards (tackle by Jonathan Owens),0.430,2.720
3,3:04,1,10,CHI 43,6,3,Kenny McIntosh right guard for no gain (tackle by Jonathan Ford). Penalty on Abraham Lucas: Illegal Formation 5 yards (accepted) (no play),2.720,2.390
3,2:35,1,15,CHI 48,6,3,Kenny McIntosh right tackle for 6 yards (tackle by T.J. Edwards),2.390,2.310
3,1:56,2,9,CHI 42,6,3,Geno Smith pass complete short left to Pharaoh Brown for no gain. Pharaoh Brown fumbles (forced by Kyler Gordon) recovered by Kyler Gordon at CHI-38 touchdown Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Geno Smith pass complete short left to Pharaoh Brown for 4 yards. Pharaoh Brown fumbles (forced by Kyler Gordon) (tackle by Tremaine Edmunds) recovered by Kyler Gordon at CHI-38 (tackle by Pharaoh Brown),2.310,-1.470
3,1:50,1,10,CHI 38,6,3,Caleb Williams pass complete short left to Keenan Allen for 4 yards (tackle by Josh Jobe),1.470,1.460
