Quarter,Time,Down,ToGo,Location,BAL,HOU,Detail,EPB,EPA
3,7:50,1,10,HOU 11,24,2,Derrick Henry up the middle for 3 yards (tackle by Derek Barnett),4.840,4.700
3,7:16,2,7,HOU 8,24,2,Lamar Jackson scrambles up the middle for 6 yards (tackle by Dylan Horton),4.700,5.120
3,6:29,3,1,HOU 2,24,2,Derrick Henry right tackle for 1 yard (tackle by Eric Murray and Henry To'oTo'o),5.120,6.970
3,5:53,1,1,HOU 1,30,2,Lamar Jackson pass complete short right to Mark Andrews for 1 yard touchdown,6.970,7.000
3,5:50,,,HOU 15,31,2,Justin Tucker kicks extra point good,0.000,0.000
3,5:50,,,BAL 35,31,2,Jordan Stout kicks off 65 yards touchback.,0.000,0.940
3,5:50,1,10,HOU 30,31,2,C.J. Stroud pass complete short middle to Xavier Hutchinson for 13 yards (tackle by Roquan Smith and Marlon Humphrey),0.940,1.800
3,5:28,1,10,HOU 43,31,2,C.J. Stroud pass incomplete short right intended for Xavier Hutchinson (defended by Nate Wiggins),1.800,1.250
3,5:23,2,10,HOU 43,31,2,C.J. Stroud pass complete short right to John Metchie for 5 yards (tackle by Nate Wiggins),1.250,1.220
3,4:45,3,5,HOU 48,31,2,C.J. Stroud pass complete deep left to Nico Collins for 30 yards (tackle by Kyle Hamilton),1.220,4.110
3,4:26,1,10,BAL 22,31,2,C.J. Stroud sacked by Roquan Smith for no gain,4.110,3.560
3,3:46,2,10,BAL 22,31,2,C.J. Stroud pass complete short right to John Metchie for 7 yards (tackle by Marlon Humphrey),3.560,3.930
3,2:58,3,3,BAL 15,31,2,C.J. Stroud sacked by Nnamdi Madubuike for -4 yards,3.930,2.180
3,2:15,4,7,BAL 19,31,2,C.J. Stroud pass complete short right to Dare Ogunbowale for no gain (tackle by Roquan Smith) Replay Assistant challenged the first down ruling and the original play was overturned. C.J. Stroud pass complete short right to Dare Ogunbowale for 6 yards (tackle by Roquan Smith),2.180,0.320
3,2:10,1,10,BAL 13,31,2,Derrick Henry left tackle for 2 yards (tackle by Myles Bryant and Tommy Togiai),-0.320,-0.570
3,1:35,2,8,BAL 15,31,2,Derrick Henry left tackle for 7 yards (tackle by Kamari Lassiter and Eric Murray),-0.570,-0.350
3,0:52,3,1,BAL 22,31,2,Derrick Henry left guard for 1 yard (tackle by Tommy Togiai and Derek Barnett),-0.350,0.480
4,15:00,1,10,BAL 23,31,2,Derrick Henry up the middle for 7 yards (tackle by Jake Hansen),0.480,0.880
4,14:22,2,3,BAL 30,31,2,Derrick Henry right tackle for 5 yards (tackle by Jake Hansen),0.880,1.270
4,13:41,1,10,BAL 35,31,2,Keaton Mitchell up the middle for 1 yard (tackle by Tim Settle and Kurt Hinish),1.270,0.860
4,12:59,2,9,BAL 36,31,2,Keaton Mitchell left tackle for -1 yards (tackle by Kurt Hinish and Tommy Togiai),0.860,0.040
4,12:17,3,10,BAL 35,31,2,Lamar Jackson pass complete short right to Tylan Wallace for 2 yards (tackle by Kamari Lassiter and Derek Stingley),0.040,-0.910
4,11:32,4,8,BAL 37,31,2,Jordan Stout punts 41 yards fair catch by Robert Woods at HOU-22,-0.910,-0.410
4,11:25,1,10,HOU 22,31,2,C.J. Stroud pass incomplete deep left intended for Nico Collins,0.410,-0.130
4,11:19,2,10,HOU 22,31,2,Joe Mixon left tackle for 8 yards (tackle by Chris Board),-0.130,0.230
4,10:40,3,2,HOU 30,31,2,C.J. Stroud pass incomplete short right intended for Dalton Schultz,0.230,-1.370
4,10:37,4,2,HOU 30,31,2,Tommy Townsend punts 61 yards returned by Steven Sims for 2 yards (tackle by Kris Boyd),-1.370,0.370
4,10:24,1,10,BAL 11,31,2,Keaton Mitchell right tackle for 7 yards (tackle by Del'Shawn Phillips and Tommy Togiai),-0.370,0.000
4,9:42,2,3,BAL 18,31,2,Keaton Mitchell up the middle for 4 yards (tackle by Kurt Hinish),0.000,0.410
4,8:58,1,10,BAL 22,31,2,Keaton Mitchell up the middle for 2 yards (tackle by Neville Hewitt and Dylan Horton),0.410,0.140
4,8:16,2,8,BAL 24,31,2,Keaton Mitchell right tackle for no gain (tackle by Dylan Horton). Penalty on Derek Barnett: Defensive Offside 5 yards (accepted) (no play),0.140,0.810
4,7:50,2,3,BAL 29,31,2,Derrick Henry right tackle for 4 yards (tackle by Jake Hansen),0.810,1.140
4,7:06,1,10,BAL 33,31,2,Keaton Mitchell left guard for 2 yards (tackle by Del'Shawn Phillips and Tommy Togiai),1.140,0.860
4,6:26,2,8,BAL 35,31,2,Keaton Mitchell right end for 3 yards (tackle by Del'Shawn Phillips and Neville Hewitt),0.860,0.560
4,5:42,3,5,BAL 38,31,2,Josh Johnson pass complete short left to Anthony Miller for 16 yards (tackle by Jeff Okudah),0.560,2.520
4,5:02,1,10,HOU 46,31,2,Penalty on Patrick Ricard: False Start 5 yards (accepted) (no play),2.520,2.190
4,5:02,1,15,BAL 49,31,2,Keaton Mitchell right guard for 2 yards (tackle by Neville Hewitt),2.190,1.570
4,4:20,2,13,HOU 49,31,2,Keaton Mitchell left end for -1 yards (tackle by Del'Shawn Phillips),1.570,0.760
4,3:37,3,14,HOU 50,31,2,Josh Johnson pass incomplete deep left intended for Devontez Walker (defended by Jeff Okudah),0.760,-0.060
4,3:32,4,14,HOU 50,31,2,Jordan Stout punts 50 yards touchback.,-0.060,-0.280
4,3:23,1,10,HOU 20,31,2,Dameon Pierce right tackle for 2 yards (tackle by Broderick Washington and Trenton Simpson),0.280,0.000
4,2:50,2,8,HOU 22,31,2,Dameon Pierce up the middle for 7 yards (tackle by Beau Brade and Michael Pierce),0.000,0.230
4,2:13,3,1,HOU 29,31,2,Davis Mills pass complete short right to Robert Woods for 5 yards (tackle by Kristian Welch),0.230,1.200
4,2:00,1,10,HOU 34,31,2,Dameon Pierce up the middle for 3 yards (tackle by Sanoussi Kane),1.200,1.060
4,1:17,2,7,HOU 37,31,2,Dameon Pierce up the middle for no gain (tackle by Broderick Washington),1.060,0.370
4,0:37,3,7,HOU 37,31,2,Dameon Pierce left tackle for 1 yard (tackle by Beau Brade),0.370,-0.850
