Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
2,1:56,1,10,TEN 29,0,13,Mason Rudolph pass complete deep left to Nick Westbrook-Ikhine for 18 yards,0.870,2.060
2,1:50,1,10,TEN 47,0,13,Tyjae Spears right guard for no gain (tackle by Jeremiah Ledbetter and Travon Walker),2.060,1.520
2,1:31,2,10,TEN 47,0,13,Mason Rudolph pass incomplete short middle intended for Tyjae Spears,1.520,0.830
2,1:24,3,10,TEN 47,0,13,Mason Rudolph scrambles left end for 7 yards (tackle by Jarrian Jones),0.830,0.200
2,1:14,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,1:14,4,3,JAX 46,0,13,Mason Rudolph pass complete short right to Calvin Ridley for 9 yards (tackle by Montaric Brown),0.200,3.120
2,0:49,1,10,JAX 37,0,13,Mason Rudolph pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Tyson Campbell) (no play),3.120,3.850
2,0:48,1,5,JAX 32,0,13,Tyjae Spears right guard for 5 yards (tackle by Josh Hines-Allen and Arik Armstead),3.850,3.780
2,0:40,,,,,,Timeout #1 by Tennessee Titans,,
2,0:40,1,10,JAX 27,0,13,Mason Rudolph sacked by Travon Walker for -5 yards. Mason Rudolph fumbles (forced by Travon Walker) recovered by JC Latham at JAC-32,3.780,2.560
2,0:32,2,15,JAX 32,0,13,Tyjae Spears up the middle for 5 yards (tackle by Andre Cisco),2.560,2.540
2,0:17,3,10,JAX 27,0,13,Mason Rudolph pass complete short middle to Tyjae Spears for 6 yards (tackle by Antonio Johnson),2.540,2.130
2,0:03,,,,,,Timeout #2 by Tennessee Titans,,
2,0:03,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:03,4,4,JAX 21,3,13,Matthew Wright 39 yard field goal good,2.130,3.000
3,15:00,,,JAX 35,3,13,Cam Little kicks off 64 yards returned by Julius Chestnut for 24 yards (tackle by Antonio Johnson). Penalty on Cedric Gray: Offensive Holding 10 yards (accepted),0.000,-0.220
3,14:54,1,10,TEN 15,3,13,Tyjae Spears up the middle for 8 yards (tackle by Andre Cisco and Maason Smith),-0.220,0.480
3,14:18,2,2,TEN 23,3,13,Tyjae Spears left tackle for no gain (tackle by Foyesade Oluokun and Josh Hines-Allen),0.480,-0.390
3,13:34,3,2,TEN 23,3,13,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 18 yards (tackle by Foyesade Oluokun and Andre Cisco),-0.390,1.660
3,12:52,1,10,TEN 41,3,13,Tyjae Spears right guard for 12 yards (tackle by Tyson Campbell),1.660,2.460
3,12:11,1,10,JAX 47,3,13,Tyjae Spears aborted snap recovered by Calvin Ridley at TEN-42 (tackle by Andre Cisco),2.460,2.860
