Quarter,Time,Down,ToGo,Location,MIA,BUF,Detail,EPB,EPA
3,8:58,1,6,MIA 6,10,6,James Cook right guard for 4 yards (tackle by Siran Neal and Marcus Maye),5.830,5.720
3,8:11,2,2,MIA 2,10,6,James Cook up the middle for 1 yard (tackle by Jordan Poyer and Da'Shawn Hand),5.720,5.170
3,7:30,3,1,MIA 1,10,6,Josh Allen pass incomplete short right,5.170,3.550
3,7:24,4,1,MIA 1,10,12,Josh Allen pass complete short left to Mack Hollins for 1 yard touchdown,3.550,7.000
3,7:20,,,MIA 15,10,12,Tyler Bass kicks extra point no good,0.000,-1.000
3,7:20,,,BUF 35,10,12,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,7:20,1,10,MIA 30,10,12,Tua Tagovailoa pass complete short middle to Jonnu Smith for 15 yards (tackle by Kaiir Elam),0.940,1.930
3,6:44,1,10,MIA 45,10,12,Raheem Mostert right tackle for 7 yards (tackle by Taron Johnson),1.930,2.330
3,6:09,2,3,BUF 48,10,12,Tua Tagovailoa pass incomplete short right,2.330,1.620
3,6:03,3,3,BUF 48,10,12,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle (defended by Rasul Douglas). Penalty on Von Miller: Defensive Offside 5 yards (accepted) (no play),1.620,2.720
3,5:59,1,10,BUF 43,10,12,De'Von Achane right end for 4 yards (tackle by Dorian Williams),2.720,2.720
3,5:19,2,6,BUF 39,10,12,Tua Tagovailoa pass complete deep left to Tyreek Hill for 28 yards (tackle by Kaiir Elam),2.720,4.840
3,4:51,1,10,BUF 11,10,12,Jaylen Wright up the middle for no gain (tackle by Eli Ankou and Dorian Williams),4.840,4.140
3,4:08,2,10,BUF 11,10,12,Tua Tagovailoa pass complete short right to De'Von Achane for 3 yards (tackle by Taylor Rapp),4.140,3.760
3,3:21,3,7,BUF 8,10,12,Tua Tagovailoa pass complete short left to Jonnu Smith for 3 yards (tackle by Terrel Bernard). Penalty on Tanner Conner: Offensive Pass Interference 10 yards (declined),3.760,3.010
3,3:02,4,4,BUF 5,13,12,Jason Sanders 23 yard field goal good,3.010,3.000
3,2:59,,,MIA 35,13,12,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,2:59,1,10,BUF 30,13,12,Ray Davis up the middle for 7 yards (tackle by Anthony Walker and Kendall Fuller),0.940,1.340
3,2:17,2,3,BUF 37,13,18,Josh Allen pass complete short right to Ray Davis for 63 yards touchdown,1.340,7.000
3,2:07,,,MIA 2,13,20,Two Point Attempt: Josh Allen pass complete to to Keon Coleman for no gain,1.000,1.000
