Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
2,3:49,1,10,MIN 27,7,0,Joe Flacco pass complete short right to Kylen Granson for no gain (tackle by Byron Murphy). Penalty on Kylen Granson: Illegal Shift 5 yards (accepted) (no play),3.780,3.450
2,3:30,1,15,MIN 32,7,0,Joe Flacco pass complete short right to Jonathan Taylor for -4 yards (tackle by Jalen Redmond),3.450,2.020
2,2:49,2,19,MIN 36,7,0,Joe Flacco pass incomplete short right intended for Josh Downs,2.020,1.360
2,2:40,3,19,MIN 36,7,0,Jonathan Taylor up the middle for 1 yard (tackle by Jihad Ward),1.360,0.970
2,2:00,4,18,MIN 35,7,0,Matt Gay 53 yard field goal no good,0.970,-1.800
2,1:55,1,10,MIN 43,7,0,Sam Darnold pass complete deep middle to Justin Jefferson for 22 yards (tackle by Julian Blackmon),1.800,3.250
2,1:27,1,10,IND 35,7,0,Sam Darnold pass incomplete short left,3.250,2.700
2,1:23,2,10,IND 35,7,0,Sam Darnold pass complete short left to Justin Jefferson for 24 yards (tackle by Jaylon Jones and Nick Cross),2.700,4.840
2,1:13,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:13,1,10,IND 11,7,0,Aaron Jones right guard for 2 yards (tackle by Zaire Franklin),4.840,4.510
2,1:10,,,,,,Timeout #2 by Indianapolis Colts,,
2,1:10,2,8,IND 9,7,0,Sam Darnold sacked by DeForest Buckner for -12 yards,4.510,2.280
2,1:05,,,,,,Timeout #3 by Indianapolis Colts,,
2,1:05,3,20,IND 21,7,0,Sam Darnold pass complete short left to Justin Jefferson for 8 yards (tackle by Nick Cross),2.280,2.570
2,0:17,,,,,,Timeout #2 by Minnesota Vikings,,
2,0:17,4,12,IND 13,7,0,Will Reichard 31 yard field goal no good,2.570,-0.340
2,0:13,1,10,IND 21,7,0,Joe Flacco kneels for -1 yards,0.340,-0.340
3,15:00,,,IND 35,7,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIN 30,7,0,Sam Darnold pass complete deep left to Justin Jefferson for 21 yards (tackle by Zaire Franklin),0.940,2.320
3,14:44,1,10,IND 49,7,0,Aaron Jones right guard for 4 yards (tackle by Nick Cross),2.320,2.320
3,14:10,2,6,IND 45,7,0,Sam Darnold pass complete deep right to T.J. Hockenson for 19 yards (tackle by Nick Cross),2.320,3.840
3,13:27,1,10,IND 26,7,0,Penalty on Grover Stewart: Encroachment 5 yards (accepted) (no play),3.840,4.570
3,12:59,1,5,IND 21,7,0,Aaron Jones left end for 4 yards (tackle by Julian Blackmon),4.570,4.640
3,12:38,2,1,IND 17,7,0,Sam Darnold up the middle for 2 yards (tackle by Grover Stewart and DeForest Buckner),4.640,4.580
3,11:56,1,10,IND 15,7,0,Sam Darnold pass complete short right to Justin Jefferson for 1 yard (tackle by Kenny Moore),4.580,4.110
3,11:19,2,9,IND 14,7,0,Sam Darnold pass incomplete short right intended for Johnny Mundt,4.110,3.240
3,11:09,3,9,IND 14,7,0,Sam Darnold pass complete short left to Jordan Addison for 10 yards (tackle by Julian Blackmon),3.240,6.280
3,10:28,1,4,IND 4,7,6,Sam Darnold pass complete short right to Jordan Addison for 4 yards touchdown,6.280,7.000
3,10:23,,,IND 15,7,7,Will Reichard kicks extra point good,0.000,0.000
3,10:23,,,MIN 35,7,7,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,10:23,1,10,IND 30,7,7,Ashton Dulin left end for 12 yards (tackle by Josh Metellus and Harrison Smith),0.940,1.730
3,9:54,1,10,IND 42,7,7,Joe Flacco pass complete short left to Alec Pierce for 10 yards (tackle by Ivan Pace),1.730,2.390
3,9:10,1,10,MIN 48,7,7,Joe Flacco pass incomplete deep right. Penalty on Braden Smith: Offensive Holding 10 yards (accepted) (no play),2.390,1.730
3,8:48,1,20,IND 42,7,7,Joe Flacco pass incomplete deep middle intended for Josh Downs,1.730,0.500
3,8:45,2,20,IND 42,7,7,Joe Flacco pass complete short left to Michael Pittman for 14 yards (tackle by Camryn Bynum),0.500,1.690
