Quarter,Time,Down,ToGo,Location,DAL,ATL,Detail,EPB,EPA
2,0:08,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:08,3,7,DAL 43,10,14,Dak Prescott pass incomplete short left,0.760,-0.520
2,0:04,,,,,,Timeout #2 by Atlanta Falcons,,
2,0:04,4,7,DAL 43,10,14,Dak Prescott pass incomplete short middle intended for CeeDee Lamb,-0.520,1.800
3,15:00,,,ATL 35,10,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,DAL 30,10,14,Penalty on Terence Steele: False Start 5 yards (accepted) (no play),0.940,0.610
3,15:00,1,15,DAL 25,10,14,Rico Dowdle left tackle for 10 yards (tackle by Justin Simmons and AJ Terrell),0.610,1.070
3,14:33,2,5,DAL 35,10,14,Dak Prescott pass complete short left to CeeDee Lamb for no gain (tackle by DeAundre Alford),1.070,0.370
3,13:50,3,5,DAL 35,10,14,Dak Prescott pass complete short right to Jake Ferguson for 3 yards (tackle by James Smith-Williams),0.370,-0.850
3,13:14,4,2,DAL 38,10,14,Bryan Anger pass incomplete short right intended for C.J. Goodwin,-0.850,-3.050
3,13:10,1,10,DAL 38,10,14,Bijan Robinson right tackle for 8 yards (tackle by Caelen Carson),3.050,3.590
3,12:33,2,2,DAL 30,10,14,Bijan Robinson left tackle for 7 yards (tackle by Trevon Diggs and Eric Kendricks),3.590,4.040
3,11:54,1,10,DAL 23,10,14,Bijan Robinson right tackle for 14 yards (tackle by Eric Kendricks),4.040,5.140
3,11:12,1,9,DAL 9,10,14,Bijan Robinson right end for -2 yards (tackle by DeMarvion Overshown),5.140,4.020
3,10:29,2,11,DAL 11,10,20,Kirk Cousins pass complete short right to Ray-Ray McCloud for 11 yards touchdown,4.020,7.000
3,10:23,,,DAL 15,10,21,Younghoe Koo kicks extra point good,0.000,0.000
3,10:23,,,ATL 35,10,21,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,10:23,1,10,DAL 30,10,21,Dak Prescott pass complete short middle to Jalen Tolbert for 12 yards (tackle by Nathan Landman),0.940,1.730
3,9:57,1,10,DAL 42,10,21,Dalvin Cook left end for 4 yards (tackle by Demone Harris and Kaden Elliss),1.730,1.730
3,9:30,2,6,DAL 46,10,21,Penalty on Jake Ferguson: False Start 5 yards (accepted) (no play),1.730,1.050
3,9:17,2,11,DAL 41,10,21,Dalvin Cook right guard for 4 yards (tackle by Arnold Ebiketie),1.050,0.890
3,8:40,3,7,DAL 45,10,21,Dak Prescott pass complete short right to CeeDee Lamb for 6 yards (tackle by Kaden Elliss),0.890,0.000
3,8:07,4,1,ATL 49,10,21,Penalty on DAL: Offensive Too Many Men on Field 5 yards (accepted) (no play),0.000,-0.320
3,7:56,4,6,DAL 46,10,21,Bryan Anger punts 53 yards downed by Damone Clark,-0.320,0.380
3,7:42,1,10,ATL 1,10,21,Tyler Allgeier left guard for 2 yards (tackle by Trevon Diggs and Donovan Wilson),-0.380,-0.630
3,7:13,2,8,ATL 3,10,21,Tyler Allgeier right tackle for 3 yards (tackle by Donovan Wilson and Tyrus Wheat),-0.630,-0.840
3,6:27,3,5,ATL 6,10,21,Kirk Cousins pass complete short right to Darnell Mooney for 16 yards (tackle by Donovan Wilson),-0.840,0.410
3,5:46,1,10,ATL 22,10,21,Bijan Robinson right tackle for 3 yards (tackle by Eric Kendricks),0.410,0.270
3,5:07,2,7,ATL 25,10,21,Bijan Robinson left end for 4 yards (tackle by Jourdan Lewis),0.270,0.100
3,4:26,3,3,ATL 29,10,21,Kirk Cousins pass incomplete deep right intended for Darnell Mooney,0.100,-1.440
3,4:20,4,3,ATL 29,10,21,Bradley Pinion punts 32 yards out of bounds,-1.440,-1.530
3,4:11,1,10,DAL 39,10,21,Rico Dowdle left guard for 9 yards (tackle by DeAundre Alford),1.530,2.200
3,3:49,2,1,DAL 48,10,21,Dak Prescott left guard for 3 yards (tackle by David Onyemata),2.200,2.320
3,3:12,1,10,ATL 49,10,21,Dak Prescott pass incomplete deep right intended for Jalen Tolbert,2.320,1.780
3,3:04,2,10,ATL 49,10,21,Dak Prescott scrambles left end for 5 yards (tackle by Arnold Ebiketie),1.780,1.750
3,2:25,3,5,ATL 44,10,21,Hunter Luepke right tackle for 5 yards (tackle by Kaden Elliss and Jessie Bates),1.750,2.980
3,1:56,1,10,ATL 39,10,21,Dak Prescott scrambles right end for no gain (tackle by Nathan Landman). Penalty on Tyler Guyton: Offensive Holding 10 yards (accepted) (no play),2.980,2.320
3,1:27,1,20,ATL 49,10,21,Dak Prescott sacked by Kaden Elliss for no gain,2.320,1.090
3,0:45,2,20,ATL 49,10,21,Dak Prescott pass complete short right to Jalen Brooks for 10 yards,1.090,1.750
3,0:07,3,10,ATL 39,10,21,Dak Prescott pass incomplete short right intended for Jake Ferguson (defended by Matt Judon),1.750,0.660
3,0:05,4,10,ATL 39,13,21,Brandon Aubrey 57 yard field goal good,0.660,3.000
4,15:00,,,DAL 35,13,21,Brandon Aubrey kicks off 60 yards returned by Avery Williams for 29 yards (tackle by Buddy Johnson and Hunter Luepke),0.000,1.200
4,14:54,1,10,ATL 34,13,21,Kirk Cousins pass complete short right to Bijan Robinson for 11 yards (tackle by Jourdan Lewis and Caelen Carson),1.200,1.930
