Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
2,1:03,,,,,,Timeout #2 by Green Bay Packers,,
2,1:03,3,9,GNB 9,7,3,Jared Goff pass incomplete short right,3.360,2.830
2,1:01,4,9,GNB 9,10,3,Jake Bates 27 yard field goal good,2.830,3.000
2,0:58,,,DET 35,10,3,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,0:58,1,10,GNB 30,10,3,Jordan Love pass complete short middle to Romeo Doubs for 8 yards (tackle by Jack Campbell),0.940,1.470
2,0:42,2,2,GNB 38,16,3,Jordan Love pass short right intended for Josh Jacobs is intercepted by Kerby Joseph at GB-27 and returned for 27 yards touchdown,1.470,-7.000
2,0:32,,,GNB 15,17,3,Jake Bates kicks extra point good,0.000,0.000
2,0:32,,,DET 35,17,3,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,0:32,1,10,GNB 30,17,3,Jordan Love pass complete short left to Chris Brooks for 5 yards (tackle by Brandon Joseph),0.940,1.070
2,0:23,2,5,GNB 35,17,3,Jordan Love pass complete short right to Chris Brooks for 13 yards (tackle by Amik Robertson),1.070,2.130
2,0:14,,,,,,Timeout #3 by Green Bay Packers,,
2,0:14,1,10,GNB 48,17,3,Jordan Love pass complete deep left to Jayden Reed for 41 yards (tackle by Brandon Joseph),2.130,4.840
3,15:00,,,GNB 35,17,3,Brandon McManus kicks off 66 yards returned by Khalil Dorsey for 30 yards (tackle by Ty'Ron Hopper and Javon Bullard),0.000,0.870
3,14:53,1,10,DET 29,17,3,Jared Goff pass complete short right to Amon-Ra St. Brown for 11 yards (tackle by Javon Bullard),0.870,1.600
3,14:15,1,10,DET 40,17,3,Jahmyr Gibbs left guard for 1 yard (tackle by Tedarrell Slaton and Preston Smith),1.600,1.190
3,13:37,2,9,DET 41,17,3,Jahmyr Gibbs right end for 8 yards (tackle by Quay Walker),1.190,1.550
3,12:57,3,1,DET 49,17,3,Jahmyr Gibbs up the middle for no gain (tackle by Isaiah McDuffie) (no play),1.550,0.890
3,12:36,3,6,DET 44,17,3,Jared Goff pass incomplete short middle intended for Kalif Raymond. Penalty on Keisean Nixon: Defensive Holding 5 yards (accepted) (no play),0.890,2.190
3,12:33,1,10,DET 49,17,3,Jared Goff pass complete short middle to Sam LaPorta for 9 yards (tackle by Isaiah McDuffie and Quay Walker),2.190,2.860
3,11:48,2,1,GNB 42,17,3,Jahmyr Gibbs right tackle for 18 yards (tackle by Carrington Valentine),2.860,3.970
3,11:04,1,10,GNB 24,17,3,Jahmyr Gibbs right guard for 4 yards (tackle by Tedarrell Slaton),3.970,3.970
3,10:26,2,6,GNB 20,17,3,Jahmyr Gibbs right tackle for 5 yards (tackle by Keisean Nixon),3.970,4.170
3,9:40,3,1,GNB 15,17,3,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,4.170,2.590
3,9:36,4,1,GNB 15,23,3,Jahmyr Gibbs up the middle for 15 yards touchdown,2.590,7.000
3,9:32,,,GNB 15,24,3,Jake Bates kicks extra point good,0.000,0.000
3,9:32,,,DET 35,24,3,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,9:32,1,10,GNB 30,24,3,Josh Jacobs up the middle for 3 yards (tackle by Jack Campbell),0.940,0.800
3,8:57,2,7,GNB 33,24,3,Emanuel Wilson up the middle for 4 yards (tackle by Jack Campbell),0.800,0.630
3,8:14,3,3,GNB 37,24,3,Jordan Love pass incomplete short middle intended for Dontayvion Wicks,0.630,-0.910
