Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
2,0:33,1,10,LAR 44,3,6,Matthew Stafford pass deep right intended for Puka Nacua is intercepted by Riq Woolen at SEA-25 and returned for no gain (tackle by Puka Nacua). Penalty on Puka Nacua: Unnecessary Roughness / Offense 15 yards (accepted),1.860,-1.600
2,0:27,1,10,SEA 40,3,6,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba (defended by Kobie Turner). Penalty on Anthony Bradford: Offensive Holding 10 yards (accepted) (no play),1.600,0.940
2,0:24,1,20,SEA 30,3,6,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 46 yards (tackle by Quentin Lake). Penalty on Braden Fiske: Defensive Offside 5 yards (declined) . Penalty on Jared Verse: Defensive Offside 5 yards (declined),0.940,3.970
2,0:17,1,10,LAR 24,3,6,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba (defended by Josh Wallace),3.970,3.430
2,0:11,2,10,LAR 24,3,12,Geno Smith pass complete deep middle to Jaxon Smith-Njigba for 24 yards touchdown,3.430,7.000
2,0:05,,,LAR 15,3,13,Jason Myers kicks extra point good,0.000,0.000
2,0:05,,,SEA 35,3,13,Jason Myers kicks off 61 yards returned by Xavier Smith for 20 yards (tackle by Jerrick Reed),0.000,1.270
3,15:00,,,SEA 35,3,13,Jason Myers kicks off 65 yards returned by Blake Corum for 25 yards (tackle by Brady Russell),0.000,0.610
3,14:55,1,10,LAR 25,3,13,Kyren Williams right end for 6 yards (tackle by Ernest Jones),0.610,0.870
3,14:20,2,4,LAR 31,3,13,Kyren Williams left tackle for 5 yards. Kyren Williams fumbles (tackle by Coby Bryant recovered by Cooper Kupp at LA-36 and returned for 5 yards and Byron Murphy and Ernest Jones),0.870,1.660
3,13:37,1,10,LAR 41,3,13,Matthew Stafford pass complete deep left to Demarcus Robinson for 21 yards,1.660,3.050
3,12:59,1,10,SEA 38,3,13,Matthew Stafford pass incomplete short right,3.050,2.510
3,12:55,2,10,SEA 38,3,13,Matthew Stafford pass complete short left to Cooper Kupp for 9 yards (tackle by Tyrel Dodson),2.510,3.010
3,12:15,3,1,SEA 29,3,13,Kyren Williams up the middle for 2 yards (tackle by Jarran Reed and Dre'Mont Jones),3.010,3.780
3,11:34,1,10,SEA 27,3,13,Kyren Williams right tackle for 8 yards (tackle by Devon Witherspoon),3.780,4.350
3,10:57,2,2,SEA 19,3,13,Kyren Williams up the middle for 5 yards (tackle by Tyrel Dodson and Johnathan Hankins). Penalty on Roy Robertson-Harris: Illegal Use of Hands / Defense 5 yards (declined) . Penalty on Johnathan Hankins: Defensive Holding 5 yards (accepted),4.350,5.140
3,10:31,1,9,SEA 9,3,13,Matthew Stafford pass complete short right to Cooper Kupp for -1 yards (tackle by Boye Mafe),5.140,4.190
3,9:41,2,10,SEA 10,3,13,Kyren Williams right tackle for no gain (tackle by Leonard Williams). Penalty on Colby Parkinson: Illegal Motion 5 yards (accepted) (no play),4.190,3.460
3,9:13,2,15,SEA 15,3,13,Matthew Stafford pass incomplete short left intended for Cooper Kupp. Penalty on Josh Jobe: Defensive Pass Interference 13 yards (accepted) (no play),3.460,6.740
3,9:08,1,2,SEA 2,3,13,Kyren Williams up the middle for 1 yard (tackle by Byron Murphy and Leonard Williams),6.740,5.910
3,8:31,2,1,SEA 1,9,13,Matthew Stafford pass complete short right to Demarcus Robinson for 1 yard touchdown,5.910,7.000
