Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
3,4:05,4,4,LAC 16,20,3,JK Scott punts 51 yards returned by Jaelon Darden for 10 yards (tackle by Nick Niemann and Daiyan Henley),-2.390,-1.800
3,3:54,1,10,CLE 43,20,3,Nick Chubb left tackle for 7 yards (tackle by Alohi Gilman and Elijah Molden),1.800,2.200
3,3:28,2,3,CLE 50,20,3,Jameis Winston sacked by Tuli Tuipulotu for no gain,2.200,1.490
3,2:56,3,3,CLE 50,20,3,Jameis Winston pass complete short middle to Cedric Tillman for 12 yards (tackle by Derwin James),1.490,3.050
3,2:27,1,10,LAC 38,20,3,Jameis Winston pass deep right intended for Cedric Tillman is intercepted by Alohi Gilman at LAC-14 and returned for 18 yards (tackle by David Njoku),3.050,-1.070
3,2:16,1,10,LAC 32,20,3,J.K. Dobbins right tackle for 4 yards (tackle by Grant Delpit),1.070,1.070
3,1:42,2,6,LAC 36,20,3,Justin Herbert pass incomplete short right,1.070,0.370
3,1:32,3,6,LAC 36,20,3,Justin Herbert pass incomplete deep right intended for Will Dissly,0.370,-0.980
3,1:26,4,6,LAC 36,20,3,JK Scott punts 46 yards returned by Jaelon Darden for 19 yards (tackle by Nick Niemann),-0.980,-1.400
3,1:10,1,10,CLE 37,20,3,Jameis Winston pass complete short right to Jerry Jeudy for 10 yards,1.400,2.060
3,0:44,1,10,CLE 47,20,3,Jameis Winston pass complete short left to David Njoku for 5 yards (tackle by Denzel Perryman),2.060,2.190
3,0:11,2,5,LAC 48,20,3,Jameis Winston pass complete short right to Elijah Moore for 3 yards (tackle by Derwin James),2.190,1.880
4,15:00,3,2,LAC 45,20,3,Nick Chubb left tackle for -1 yards (tackle by Khalil Mack),1.880,0.200
4,14:22,4,3,LAC 46,20,3,Jameis Winston pass complete short right to Nick Chubb for -4 yards (tackle by Troy Dye),0.200,-2.260
4,14:16,1,10,LAC 50,20,3,Justin Herbert pass complete short middle to Ladd McConkey for 20 yards (tackle by Devin Bush),2.260,3.580
4,13:37,1,10,CLE 30,20,3,Kimani Vidal left tackle for -3 yards (tackle by Dalvin Tomlinson),3.580,2.630
4,12:56,2,13,CLE 33,20,3,Kimani Vidal up the middle for 4 yards (tackle by Juan Thornhill and Shelby Harris),2.630,2.480
4,12:21,3,9,CLE 29,20,3,Justin Herbert pass complete short right to J.K. Dobbins for 3 yards (tackle by Cameron Mitchell),2.480,1.760
4,11:41,4,6,CLE 26,20,3,Cameron Dicker 44 yard field goal no good,1.760,-1.200
4,11:37,1,10,CLE 34,20,3,Jameis Winston pass complete short middle to Elijah Moore for 17 yards (tackle by Elijah Molden and Daiyan Henley),1.200,2.320
4,10:57,1,10,LAC 49,20,3,Jameis Winston pass incomplete deep left intended for Cedric Tillman,2.320,1.780
4,10:51,2,10,LAC 49,20,3,Jameis Winston pass short middle intended for Elijah Moore is intercepted by Tarheeb Still at LAC-34 and returned for 1 yard (tackle by Elijah Moore),1.780,-1.270
4,10:44,1,10,LAC 35,20,3,Justin Herbert pass incomplete deep left intended for Ladd McConkey,1.270,0.720
4,10:39,2,10,LAC 35,20,3,Justin Herbert pass complete short right to Will Dissly for 1 yard (tackle by Isaiah McGuire). Penalty on Joe Alt: Offensive Holding 10 yards (accepted),0.720,-0.490
4,10:20,2,19,LAC 26,20,3,Justin Herbert pass complete short right to Will Dissly for 8 yards (tackle by Devin Bush and Shelby Harris),-0.490,-0.100
4,9:33,3,11,LAC 34,20,3,Justin Herbert pass incomplete deep right intended for Ladd McConkey (defended by Denzel Ward),-0.100,-1.110
4,9:27,4,11,LAC 34,20,3,JK Scott punts 55 yards returned by Jaelon Darden for 11 yards (tackle by Tuli Tuipulotu),-1.110,-0.410
4,9:14,1,10,CLE 22,20,3,Jameis Winston pass complete short right to David Njoku for 6 yards (tackle by Denzel Perryman),0.410,0.680
4,8:41,2,4,CLE 28,20,3,Jameis Winston pass complete short right to Jerome Ford for 2 yards (tackle by Daiyan Henley),0.680,0.230
4,8:15,3,2,CLE 30,20,3,Jameis Winston pass complete short middle to Cedric Tillman for 12 yards (tackle by Elijah Molden),0.230,1.730
4,7:44,1,10,CLE 42,20,3,Jameis Winston pass complete short left to Jerry Jeudy for 13 yards (tackle by Tarheeb Still),1.730,2.590
4,7:19,1,10,LAC 45,20,3,Jameis Winston pass complete short left to Jerry Jeudy for 12 yards (tackle by Tarheeb Still),2.590,3.380
4,6:52,,,,,,Timeout #1 by Los Angeles Chargers,,
4,6:52,1,10,LAC 33,20,3,Jameis Winston pass incomplete short left intended for Jerome Ford,3.380,2.840
4,6:48,2,10,LAC 33,20,3,Jameis Winston pass incomplete short right intended for Cedric Tillman (defended by Morgan Fox),2.840,2.150
4,6:43,3,10,LAC 33,20,3,Jameis Winston pass incomplete short right intended for Elijah Moore,2.150,1.150
4,6:38,4,10,LAC 33,20,3,Dustin Hopkins 51 yard field goal no good blocked by Teair Tart,1.150,-2.520
4,6:30,1,10,CLE 46,20,3,J.K. Dobbins up the middle for 5 yards (tackle by Grant Delpit),2.520,2.650
4,5:48,2,5,CLE 41,20,3,J.K. Dobbins right guard for 34 yards (tackle by Martin Emerson),2.650,5.600
4,5:03,1,7,CLE 7,20,3,J.K. Dobbins left tackle for no gain (tackle by Martin Emerson and Cameron Mitchell),5.600,4.760
4,4:21,2,7,CLE 7,26,3,J.K. Dobbins right guard for 7 yards touchdown,4.760,7.000
4,4:16,,,CLE 15,27,3,Cameron Dicker kicks extra point good,0.000,0.000
4,4:16,,,LAC 35,27,3,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
4,4:16,1,10,CLE 30,27,3,Pierre Strong up the middle for 1 yard (tackle by Troy Dye),0.940,0.530
4,3:52,2,9,CLE 31,27,3,Jameis Winston pass complete short left to Elijah Moore for 8 yards (tackle by Eli Apple),0.530,0.890
4,3:44,3,1,CLE 39,27,3,Jameis Winston pass incomplete short right intended for Jordan Akins (defended by Nick Niemann),0.890,-0.780
4,3:41,4,1,CLE 39,27,3,Jameis Winston scrambles right end for 3 yards (tackle by Nick Niemann),-0.780,1.730
4,3:05,1,10,CLE 42,27,3,Pierre Strong left end for 7 yards (tackle by Troy Dye and Elijah Molden),1.730,2.130
4,2:39,2,3,CLE 49,27,3,Jameis Winston pass complete short left to Cedric Tillman for 13 yards (tackle by AJ Finley),2.130,3.050
4,2:16,1,10,LAC 38,27,3,Jameis Winston scrambles left end for 13 yards (tackle by Elijah Molden),3.050,3.910
4,2:00,1,10,LAC 25,27,3,Jameis Winston pass complete short left to Jordan Akins for 4 yards (tackle by Eli Apple),3.910,3.900
4,1:41,2,6,LAC 21,27,3,Jameis Winston pass incomplete deep left intended for Jerry Jeudy,3.900,3.200
4,1:36,3,6,LAC 21,27,3,Jameis Winston pass complete short right to Jordan Akins for 7 yards (tackle by Elijah Molden and Tarheeb Still),3.200,4.650
4,1:13,1,10,LAC 14,27,3,Jameis Winston sacked by Tuli Tuipulotu for -3 yards,4.650,3.590
4,0:49,2,13,LAC 17,27,9,Jameis Winston pass incomplete deep left intended for Cedric Tillman (defended by Cam Hart) Replay Assistant challenged the pass completion ruling and the original play was overturned. Jameis Winston pass complete deep left to Cedric Tillman for 17 yards touchdown,3.590,7.000
4,0:44,,,LAC 15,27,10,Dustin Hopkins kicks extra point good,0.000,0.000
4,0:44,,,CLE 35,27,10,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
4,0:44,1,10,LAC 30,27,10,Justin Herbert kneels for -1 yards,0.940,0.260
4,0:24,2,11,LAC 29,27,10,Justin Herbert kneels for -1 yards,0.260,-0.560
