Quarter,Time,Down,ToGo,Location,CHI,ARI,Detail,EPB,EPA
2,4:35,2,6,CHI 6,6,7,Kyler Murray pass incomplete short left intended for Michael Wilson (defended by Tyrique Stevenson),4.950,4.040
2,4:31,3,6,CHI 6,6,7,Kyler Murray sacked by Chris Williams for -8 yards,4.040,2.510
2,3:40,4,14,CHI 14,6,7,Chad Ryland yard field goal good. Penalty on Gervon Dexter: Leverage 7 yards (accepted) (no play),2.510,5.600
2,3:37,1,7,CHI 7,6,7,James Conner left end for 6 yards (tackle by Jack Sanborn and Austin Booker),5.600,5.910
2,3:26,2,1,CHI 1,6,7,Kyler Murray pass incomplete short right intended for Trey McBride,5.910,5.170
2,3:18,3,1,CHI 1,6,13,Trey Benson left tackle for 1 yard touchdown. Penalty on Noah Sewell: Defensive Offside 5 yards (declined),5.170,7.000
2,3:14,,,CHI 15,6,14,Chad Ryland kicks extra point good,0.000,0.000
2,3:14,,,ARI 35,6,14,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
2,3:14,1,10,CHI 30,6,14,D'Andre Swift right end for 4 yards (tackle by Budda Baker),0.940,0.930
2,2:36,2,6,CHI 34,6,14,Caleb Williams pass complete short right to D'Andre Swift for 7 yards (tackle by Budda Baker),0.930,1.660
2,2:00,1,10,CHI 41,6,14,Caleb Williams pass incomplete deep left intended for D.J. Moore,1.660,1.120
2,1:54,,,,,,Timeout #1 by Arizona Cardinals,,
2,1:54,2,10,CHI 41,6,14,Penalty on D.J. Moore: False Start 5 yards (accepted) (no play),1.120,0.450
2,1:54,2,15,CHI 36,6,14,Caleb Williams pass complete short middle to D.J. Moore for 16 yards (tackle by Owen Pappoe and Jalen Thompson),0.450,2.390
2,1:25,1,10,ARI 48,6,14,Caleb Williams pass incomplete short right,2.390,1.850
2,1:20,2,10,ARI 48,6,14,Caleb Williams pass complete short left to Rome Odunze for 11 yards (tackle by Budda Baker),1.850,3.120
2,0:51,1,10,ARI 37,6,14,Caleb Williams sacked by Xavier Thomas for -4 yards,3.120,2.030
2,0:49,,,,,,Timeout #1 by Chicago Bears,,
2,0:49,2,14,ARI 41,6,14,Caleb Williams pass complete short right to D'Andre Swift for 6 yards. D'Andre Swift fumbles ball out of bounds at ARI-35 (forced by Owen Pappoe). D'Andre Swift fumbles out of bounds,2.030,2.150
2,0:44,3,8,ARI 35,6,14,Caleb Williams pass incomplete short left intended for Keenan Allen,2.150,0.970
2,0:30,4,8,ARI 35,9,14,Cairo Santos 53 yard field goal good,0.970,3.000
2,0:26,,,CHI 35,9,14,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
