Quarter,Time,Down,ToGo,Location,JAX,PHI,Detail,EPB,EPA
2,1:53,4,13,PHI 21,0,10,Braden Mann punts 50 yards returned by Parker Washington for 4 yards (tackle by Kelee Ringo),-1.960,-1.140
2,1:42,1,10,JAX 33,0,10,Trevor Lawrence pass short middle intended for Travis Etienne is intercepted by Zack Baun at JAC-42 and returned for no gain (tackle by Evan Engram) Replay Assistant challenged the pass interception ruling and the play was upheld.,1.140,-2.790
2,1:38,1,10,JAX 42,0,10,Saquon Barkley left end for 8 yards (tackle by Tyson Campbell),2.790,3.320
2,1:16,2,2,JAX 34,0,10,Jalen Hurts pass complete short left to DeVonta Smith for 9 yards (tackle by Ventrell Miller),3.320,3.910
2,0:57,1,10,JAX 25,0,10,Jalen Hurts scrambles left end for 7 yards (tackle by Ventrell Miller),3.910,4.370
2,0:48,2,3,JAX 18,0,10,Jalen Hurts pass complete short left to Saquon Barkley for 6 yards,4.370,4.780
2,0:43,1,10,JAX 12,0,10,Jalen Hurts pass incomplete short middle intended for Saquon Barkley,4.780,4.100
2,0:38,2,10,JAX 12,0,10,Jalen Hurts scrambles left end for 3 yards (tackle by Ventrell Miller),4.100,3.700
2,0:32,3,7,JAX 9,0,10,Jalen Hurts pass complete short middle to Johnny Wilson for no gain touchdown. Penalty on Johnny Wilson: Offensive Pass Interference 10 yards (accepted) (no play),3.700,2.610
2,0:28,3,17,JAX 19,0,16,Saquon Barkley right tackle for 19 yards touchdown,2.610,7.000
2,0:22,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:22,,,JAX 15,0,16,Jake Elliott kicks extra point good. Penalty on DaVon Hamilton: Defensive Offside 1 yard (accepted) (no play),0.000,1.000
2,0:22,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:22,,,JAX 1,0,16,Two Point Attempt: Jalen Hurts rushes conversion fails. Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,1.000,-1.000
2,0:22,,,PHI 35,0,16,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,0:22,1,10,JAX 30,0,16,Trevor Lawrence kneels for -1 yards,0.940,0.260
3,15:00,,,PHI 35,0,16,Braden Mann kicks off 66 yards returned by Tank Bigsby for 28 yards (tackle by Jeremiah Trotter and Nolan Smith). Penalty on Yasir Abdullah: Offensive Holding 10 yards (accepted),0.000,-0.060
3,14:54,1,10,JAX 17,0,16,Tank Bigsby up the middle for 5 yards (tackle by Jordan Davis and Nakobe Dean),-0.060,0.210
3,14:18,2,5,JAX 22,0,16,Tank Bigsby left tackle for no gain (tackle by Reed Blankenship),0.210,-0.620
3,13:38,3,5,JAX 22,0,16,Trevor Lawrence pass incomplete short left intended for Brian Thomas (defended by Josh Sweat),-0.620,-1.900
3,13:28,4,5,JAX 22,0,16,Logan Cooke punts 56 yards fair catch by Cooper DeJean at PHI-22,-1.900,-0.410
3,13:21,1,10,PHI 22,0,16,Penalty on Mekhi Becton: False Start 5 yards (accepted) (no play),0.410,-0.120
3,13:21,1,15,PHI 17,0,16,Saquon Barkley left tackle for 13 yards (tackle by Devin Lloyd),-0.120,0.950
3,12:44,2,2,PHI 30,0,16,Kenneth Gainwell right tackle for 1 yard (tackle by Travon Walker),0.950,0.370
3,12:11,3,1,PHI 31,0,16,Jalen Hurts left end for 1 yard (tackle by Devin Lloyd),0.370,1.070
3,11:25,1,10,PHI 32,0,16,Jalen Hurts pass complete deep left to Jahan Dotson for 36 yards (tackle by Tyson Campbell),1.070,3.450
3,10:46,1,10,JAX 32,0,16,Kenneth Gainwell left guard for 3 yards (tackle by Travon Walker),3.450,3.310
3,10:02,2,7,JAX 29,0,16,Jalen Hurts scrambles right end for 6 yards (tackle by Devin Lloyd). Penalty on Myles Cole: Defensive Holding 5 yards (accepted),3.310,4.370
3,9:31,1,10,JAX 18,0,22,Jalen Hurts right end for 18 yards touchdown,4.370,7.000
