Quarter,Time,Down,ToGo,Location,NOR,ATL,Detail,EPB,EPA
2,2:52,1,10,ATL 43,14,17,Kirk Cousins pass complete short middle to Drake London for 14 yards (tackle by Will Harris) NOR challenged the pass completion ruling and the original play was overturned. Kirk Cousins pass incomplete short middle intended for Drake London (defended by Will Harris),1.800,1.250
2,2:46,2,10,ATL 43,14,17,Kirk Cousins pass complete short left to Drake London for 4 yards (tackle by Alontae Taylor),1.250,1.090
2,2:00,3,6,ATL 47,14,17,Kirk Cousins pass incomplete short right intended for Drake London (defended by Paulson Adebo),1.090,-0.260
2,1:55,4,6,ATL 47,14,17,Bradley Pinion punts 41 yards fair catch by Rashid Shaheed at NO-12,-0.260,0.350
2,1:49,1,10,NOR 12,14,17,Alvin Kamara right guard for 8 yards (tackle by Troy Andersen and Jessie Bates),-0.350,0.290
2,1:33,2,2,NOR 20,14,17,Derek Carr pass complete short left to Chris Olave for no gain (tackle by DeAundre Alford). Penalty on Taliese Fuaga: Illegal Formation 5 yards (accepted) (no play),0.290,-0.500
2,1:27,2,7,NOR 15,14,17,Derek Carr pass complete short left to Alvin Kamara for 11 yards (tackle by Troy Andersen),-0.500,0.670
2,1:21,1,10,NOR 26,14,17,Derek Carr pass incomplete short left intended for Alvin Kamara,0.670,0.130
2,1:16,2,10,NOR 26,14,17,Derek Carr pass complete short left to Alvin Kamara for 2 yards (tackle by Troy Andersen),0.130,-0.300
2,1:06,3,8,NOR 28,14,17,Penalty on Matt Judon: Unnecessary Roughness / Defense 15 yards (accepted) (no play),-0.300,1.800
2,1:06,1,10,NOR 43,14,17,Derek Carr pass complete short right to Rashid Shaheed for 7 yards (tackle by Clark Phillips),1.800,2.200
2,0:49,2,3,NOR 50,14,17,Derek Carr pass incomplete short right intended for Juwan Johnson,2.200,1.490
2,0:43,3,3,NOR 50,14,17,Derek Carr pass incomplete deep middle intended for Rashid Shaheed,1.490,-0.060
2,0:38,4,3,NOR 50,14,17,Matthew Hayball punts 40 yards downed by Pete Werner,-0.060,0.380
2,0:30,1,10,ATL 10,14,17,Bijan Robinson left tackle for 9 yards (tackle by Pete Werner and Tyrann Mathieu),-0.380,0.240
3,15:00,,,ATL 35,14,17,Younghoe Koo kicks off 62 yards returned by Rashid Shaheed for 27 yards (tackle by Avery Williams and Micah Abernathy),0.000,0.940
3,14:55,1,10,NOR 30,14,17,Alvin Kamara right tackle for no gain (tackle by Lorenzo Carter and Matt Judon),0.940,0.390
3,14:15,2,10,NOR 30,14,17,Derek Carr pass complete short left to Alvin Kamara for 11 yards (tackle by Troy Andersen and Lorenzo Carter),0.390,1.660
3,13:43,1,10,NOR 41,14,17,Penalty on Taliese Fuaga: False Start 5 yards (accepted) (no play),1.660,1.330
3,13:24,1,15,NOR 36,14,17,Derek Carr pass complete short left to Juwan Johnson for no gain (tackle by AJ Terrell). Penalty on Trevor Penning: Offensive Holding 10 yards (accepted) (no play),1.330,0.670
3,12:59,1,25,NOR 26,14,17,Derek Carr pass complete short middle to Rashid Shaheed for 5 yards (tackle by DeAundre Alford),0.670,-0.230
3,12:23,2,20,NOR 31,14,17,Derek Carr pass complete short left to Alvin Kamara for 6 yards (tackle by Troy Andersen and DeAundre Alford),-0.230,-0.100
3,11:39,3,14,NOR 37,14,17,Derek Carr pass complete short right to Juwan Johnson for 5 yards (tackle by Mike Hughes),-0.100,-0.590
3,10:55,4,9,NOR 42,14,17,Matthew Hayball punts 48 yards fair catch by Avery Williams at ATL-10,-0.590,0.380
3,10:45,1,10,ATL 10,14,17,Kirk Cousins pass incomplete short left,-0.380,-0.780
3,10:37,2,10,ATL 10,14,17,Kirk Cousins pass complete deep right to Darnell Mooney for 36 yards (tackle by Paulson Adebo). Penalty on Paulson Adebo: Defensive Pass Interference 1 yard (declined),-0.780,1.990
3,10:14,1,10,ATL 46,14,17,Kirk Cousins pass complete short left to Bijan Robinson for 1 yard (tackle by Alontae Taylor),1.990,1.590
3,9:32,2,9,ATL 47,14,17,Kirk Cousins pass incomplete short left intended for Kyle Pitts (defended by Marshon Lattimore),1.590,0.890
3,9:27,3,9,ATL 47,14,17,Kirk Cousins pass complete short left to Tyler Allgeier for 13 yards (tackle by Pete Werner and Payton Turner),0.890,2.920
3,8:55,1,10,NOR 40,14,17,Tyler Allgeier left end for 12 yards (tackle by Will Harris and Pete Werner),2.920,3.710
3,8:20,1,10,NOR 28,14,17,Tyler Allgeier right end for 6 yards (tackle by D'Marco Jackson and Paulson Adebo),3.710,3.980
