Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
2,2:29,1,10,MIN 34,28,0,Jordan Love pass complete deep middle to Romeo Doubs for 17 yards (tackle by Harrison Smith) MIN challenged the pass completion ruling and the original play was overturned. Jordan Love pass incomplete deep middle intended for Romeo Doubs (defended by Harrison Smith),3.310,2.770
2,2:23,2,10,MIN 34,28,0,Jordan Love pass incomplete deep middle intended for Dontayvion Wicks GNB challenged the pass completion ruling and the play was upheld.,2.770,2.080
2,2:16,3,10,MIN 34,28,0,Jordan Love pass incomplete deep left intended for Dontayvion Wicks (defended by Shaquill Griffin),2.080,1.060
2,2:11,4,10,MIN 34,28,0,Jordan Love pass incomplete deep middle intended for Bo Melton (defended by Byron Murphy),1.060,-1.200
2,2:03,1,10,MIN 34,28,0,Ty Chandler right guard for 3 yards (tackle by Rashan Gary),1.200,1.060
2,2:00,2,7,MIN 37,28,0,Sam Darnold pass complete short left to Johnny Mundt for 6 yards (tackle by Keisean Nixon),1.060,1.160
2,1:21,3,1,MIN 43,28,0,Sam Darnold pass incomplete short middle intended for Brandon Powell,1.160,-0.520
2,1:17,,,,,,Timeout #3 by Minnesota Vikings,,
2,1:17,4,1,MIN 43,28,0,Ryan Wright punts 41 yards fair catch by Jayden Reed at GB-16,-0.520,0.140
2,1:11,1,10,GNB 16,28,0,Jordan Love pass incomplete short middle intended for Romeo Doubs (defended by Camryn Bynum),-0.140,-0.660
2,1:07,2,10,GNB 16,28,0,Jordan Love pass complete short left to Josh Jacobs for 7 yards (tackle by Camryn Bynum),-0.660,-0.450
2,0:58,3,3,GNB 23,28,0,Jordan Love pass incomplete deep right intended for Romeo Doubs,-0.450,-1.830
2,0:50,4,3,GNB 23,28,0,Daniel Whelan punts 74 yards recovered by Bo Melton at MIN-3,-1.830,6.510
2,0:39,1,3,MIN 3,28,0,Jordan Love pass complete short middle to Romeo Doubs for 2 yards (tackle by Byron Murphy),6.510,5.910
2,0:28,2,1,MIN 1,28,0,Penalty on GNB: Unsportsmanlike Conduct / Offense 14 yards (accepted) (no play),5.910,3.460
2,0:20,,,,,,Timeout #2 by Green Bay Packers,,
2,0:20,2,15,MIN 15,28,6,Jordan Love pass complete short right to Jayden Reed for 15 yards touchdown,3.460,7.000
2,0:15,,,MIN 15,28,7,Brayden Narveson kicks extra point good,0.000,0.000
2,0:15,,,GNB 35,28,7,Brayden Narveson kicks off 60 yards recovered by Myles Gaskin at MIN-5 (tackle by Zayne Anderson),0.000,0.280
2,0:08,1,10,MIN 20,28,7,Sam Darnold kneels for -1 yards,0.280,-0.460
3,15:00,,,MIN 35,28,7,Will Reichard kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,GNB 30,28,7,Josh Jacobs left guard for 3 yards (tackle by Jonathan Bullard),0.940,0.800
3,14:30,2,7,GNB 33,28,7,Jordan Love pass complete short left to Josh Jacobs for 3 yards (tackle by Jonathan Greenard),0.800,0.500
3,14:06,3,4,GNB 36,28,7,Jordan Love pass complete short left to Dontayvion Wicks for 11 yards MIN challenged the pass completion ruling and the original play was overturned. Jordan Love pass incomplete short left intended for Dontayvion Wicks,0.500,-0.980
3,14:00,4,4,GNB 36,28,7,Daniel Whelan punts 46 yards fair catch by Brandon Powell at MIN-18,-0.980,-0.040
3,13:53,1,10,MIN 18,28,7,Aaron Jones up the middle for no gain (tackle by Kenny Clark),0.040,-0.490
3,13:20,2,10,MIN 18,28,7,Sam Darnold pass incomplete deep left intended for Justin Jefferson,-0.490,-1.170
3,13:10,3,10,MIN 18,28,7,Sam Darnold pass complete deep left to Jordan Addison for 25 yards (tackle by Eric Stokes),-1.170,1.800
3,12:29,1,10,MIN 43,28,7,Aaron Jones left end for 16 yards (tackle by Edgerrin Cooper),1.800,2.850
3,11:55,1,10,GNB 41,28,7,Sam Darnold scrambles left end for 12 yards (tackle by Eric Stokes),2.850,3.640
3,11:15,1,10,GNB 29,28,7,Aaron Jones left guard for 9 yards (tackle by Xavier McKinney and Isaiah McDuffie),3.640,4.320
3,10:29,2,1,GNB 20,28,7,Sam Darnold pass deep left intended for Aaron Jones is intercepted by Xavier McKinney at GB-2 and returned for no gain Replay Assistant challenged the runner was in bounds ruling and the play was upheld.,4.320,0.380
3,10:18,1,10,GNB 2,28,7,Josh Jacobs right tackle for 4 yards (tackle by Kamu Grugier-Hill),-0.380,-0.490
3,9:39,2,6,GNB 6,28,7,Jordan Love pass incomplete short right intended for Josh Jacobs,-0.490,-0.950
3,9:32,3,6,GNB 6,28,7,Jordan Love pass incomplete short right intended for Dontayvion Wicks,-0.950,-2.490
3,9:28,4,6,GNB 6,28,7,Daniel Whelan punts 60 yards returned by Brandon Powell for 10 yards (tackle by Isaiah McDuffie),-2.490,-1.860
3,9:16,1,10,MIN 44,28,7,Aaron Jones right end for 13 yards (tackle by Corey Ballentine and Quay Walker),1.860,2.720
3,8:39,1,10,GNB 43,28,7,Aaron Jones right end for -2 yards (tackle by Javon Bullard),2.720,1.910
3,7:59,2,12,GNB 45,28,7,Sam Darnold sacked by Quay Walker for -13 yards,1.910,-0.490
3,7:15,3,25,MIN 42,28,7,Sam Darnold pass complete short middle to Aaron Jones for 14 yards (tackle by Isaiah McDuffie and Keisean Nixon),-0.490,0.330
3,6:37,4,11,GNB 44,28,7,Ryan Wright punts 44 yards touchback.,0.330,-0.280
3,6:28,1,10,GNB 20,28,7,Jordan Love pass complete short right to Dontayvion Wicks for 11 yards (tackle by Jonathan Greenard),0.280,1.000
3,6:04,1,10,GNB 31,28,7,Emanuel Wilson right guard for 8 yards (tackle by Josh Metellus),1.000,1.540
