Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA
4,5:16,1,10,ARI 10,35,14,Jeremy McNichols right tackle for 3 yards (tackle by Kyzir White and Jalen Thompson),4.910,4.760
4,4:33,2,7,ARI 7,41,14,Jeremy McNichols up the middle for 7 yards touchdown,4.760,7.000
4,4:30,,,ARI 15,41,14,Penalty on Jeremy McNichols: Taunting / Offense 15 yards (accepted) (no play),0.000,0.000
4,4:30,,,ARI 30,42,14,Austin Seibert kicks extra point good,0.000,0.000
4,4:30,,,WAS 35,42,14,Austin Seibert kicks off 67 yards returned by DeeJay Dallas for 26 yards (tackle by Mykal Walker and Tyler Owens),0.000,0.540
4,4:23,1,10,ARI 24,42,14,Trey Benson up the middle for 8 yards (tackle by Bobby Wagner and Dorance Armstrong),0.540,1.080
4,3:50,2,2,ARI 32,42,14,Trey Benson up the middle for 1 yard (tackle by Noah Igbinoghene and Percy Butler),1.080,0.500
4,3:09,3,1,ARI 33,42,14,Trey Benson up the middle for 10 yards (tackle by Jeremy Chinn and Noah Igbinoghene),0.500,1.800
4,2:30,1,10,ARI 43,42,14,Trey Benson right end for no gain. Trey Benson fumbles (forced by Dorance Armstrong) recovered by Hjalte Froholdt at ARI-45,1.800,1.520
4,2:00,2,8,ARI 45,42,14,Trey Benson up the middle for 6 yards (tackle by Mykal Walker),1.520,1.620
4,1:23,3,2,WAS 49,42,14,Trey Benson up the middle for 3 yards (tackle by Phidarian Mathis),1.620,2.520
4,0:42,1,10,WAS 46,42,14,Trey Benson up the middle for 13 yards (tackle by Quan Martin),2.520,3.380
4,0:32,1,10,WAS 33,42,14,Trey Benson up the middle for 3 yards (tackle by Jamin Davis),3.380,3.240
