Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
3,14:54,1,10,SFO 27,3,20,Rhamondre Stevenson left guard for 13 yards (tackle by Malik Mustapha and Ji'Ayir Brown),3.780,4.650
3,14:15,1,10,SFO 14,3,20,Rhamondre Stevenson up the middle for 3 yards (tackle by Nick Bosa),4.650,4.520
3,13:35,2,7,SFO 11,3,20,Jacoby Brissett pass complete short right to Rhamondre Stevenson for 2 yards (tackle by Leonard Floyd),4.520,4.050
3,12:57,3,5,SFO 9,3,20,Jacoby Brissett pass complete short right to Hunter Henry for 4 yards (tackle by Ji'Ayir Brown),4.050,3.030
3,12:11,4,1,SFO 5,9,20,Jacoby Brissett pass complete short left to Austin Hooper for 5 yards touchdown,3.030,7.000
3,12:05,,,SFO 15,10,20,Joey Slye kicks extra point good,0.000,0.000
3,12:05,,,NWE 35,10,20,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,12:05,1,10,SFO 30,10,20,Brock Purdy pass complete deep middle to Deebo Samuel for 53 yards (tackle by Jonathan Jones),0.940,4.440
3,11:16,1,10,NWE 17,10,20,Jordan Mason left tackle for no gain (tackle by Davon Godchaux and Deatrich Wise),4.440,3.850
3,10:39,2,10,NWE 17,10,20,Brock Purdy pass complete short middle to Jordan Mason for 13 yards (tackle by Raekwon McMillan and Jabrill Peppers). Penalty on Josh Uche: Defensive Holding 5 yards (declined),3.850,6.280
3,10:12,1,4,NWE 4,10,26,Jordan Mason left tackle for 4 yards touchdown,6.280,7.000
3,10:08,,,NWE 15,10,27,Jake Moody kicks extra point good,0.000,0.000
3,10:08,,,SFO 35,10,27,Jake Moody kicks off 65 yards touchback.,0.000,0.940
3,10:08,1,10,NWE 30,10,27,Jacoby Brissett pass complete deep left to Ja'Lynn Polk for 21 yards (tackle by Deommodore Lenoir),0.940,2.320
3,9:29,1,10,SFO 49,10,27,Antonio Gibson left tackle for no gain (tackle by Dee Winters),2.320,1.780
3,8:52,2,10,SFO 49,10,27,Jacoby Brissett pass complete short left to Rhamondre Stevenson for -2 yards (tackle by Ji'Ayir Brown),1.780,0.830
3,8:09,3,12,NWE 49,10,27,Jacoby Brissett pass incomplete short right intended for Hunter Henry,0.830,-0.130
3,8:03,4,12,NWE 49,10,27,Bryce Baringer punts 40 yards returned by Jacob Cowing for 1 yard (tackle by Christian Elliss),-0.130,0.350
