Quarter,Time,Down,ToGo,Location,BUF,BAL,Detail,EPB,EPA
3,8:17,1,10,BUF 43,10,21,James Cook left guard for 4 yards (tackle by Tavius Robinson and Broderick Washington),1.800,1.790
3,7:47,2,6,BUF 47,10,21,James Cook left tackle for 6 yards (tackle by Trenton Simpson and Tavius Robinson),1.790,2.460
3,7:06,1,10,BAL 47,10,21,James Cook left tackle for 3 yards (tackle by Travis Jones and Odafe Oweh),2.460,2.320
3,6:32,2,7,BAL 44,10,21,Josh Allen sacked by Kyle Van Noy for -4 yards. Josh Allen fumbles (forced by Kyle Van Noy) recovered by Kyle Hamilton at BAL-48 and returned for 8 yards (tackle by Curtis Samuel). Penalty on Marlon Humphrey: Unnecessary Roughness / Defense 15 yards (accepted),2.320,-1.660
3,6:20,1,10,BAL 41,10,21,Derrick Henry right guard for 5 yards (tackle by Casey Toohill and Dorian Williams),1.660,1.800
3,5:43,2,5,BAL 46,10,21,Derrick Henry left end for 25 yards (tackle by Christian Benford and Cameron Lewis),1.800,3.640
3,4:57,1,10,BUF 29,10,21,Justice Hill up the middle for 6 yards (tackle by Dorian Williams and Cole Bishop),3.640,3.910
3,4:17,2,4,BUF 23,10,21,Justice Hill left end for -3 yards (tackle by Dawuane Smoot),3.910,2.810
3,3:38,3,7,BUF 26,10,21,Lamar Jackson pass complete short left to Justice Hill for 17 yards (tackle by Rasul Douglas),2.810,5.140
3,2:51,1,9,BUF 9,10,27,Lamar Jackson right end for 9 yards touchdown,5.140,7.000
3,2:45,,,BUF 15,10,28,Justin Tucker kicks extra point good,0.000,0.000
3,2:45,,,BAL 35,10,28,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,2:45,1,10,BUF 30,10,28,Josh Allen pass incomplete short left intended for Mack Hollins,0.940,0.390
3,2:41,2,10,BUF 30,10,28,Josh Allen pass complete short middle to Dalton Kincaid for 25 yards (tackle by Eddie Jackson and Marlon Humphrey),0.390,2.590
3,2:13,1,10,BAL 45,10,28,Josh Allen pass complete short left to Dalton Kincaid for 4 yards (tackle by Marcus Williams),2.590,2.580
3,1:32,2,6,BAL 41,10,28,Josh Allen pass complete deep left to Keon Coleman for 21 yards (tackle by Brandon Stephens),2.580,4.240
3,1:15,1,10,BAL 20,10,28,Josh Allen pass incomplete deep right,4.240,3.690
3,1:08,2,10,BAL 20,10,28,Josh Allen pass complete short middle to Keon Coleman for 6 yards (tackle by Roquan Smith and Trenton Simpson),3.690,3.890
3,0:29,3,4,BAL 14,10,28,Josh Allen sacked by Odafe Oweh for -16 yards,3.890,1.410
4,15:00,4,20,BAL 30,10,28,Tyler Bass 48 yard field goal no good,1.410,-1.470
4,14:55,1,10,BAL 38,10,28,Lamar Jackson left end for 19 yards (tackle by Cole Bishop and Dorian Williams),1.470,2.720
4,14:14,1,10,BUF 43,10,28,Derrick Henry right end for 3 yards (tackle by Dawuane Smoot),2.720,2.580
4,13:39,2,7,BUF 40,10,28,Derrick Henry left end for 38 yards (tackle by Rasul Douglas and Cole Bishop),2.580,6.740
4,12:50,1,2,BUF 2,10,28,Derrick Henry right end for -3 yards (tackle by DeWayne Carter),6.740,5.150
4,12:17,2,5,BUF 5,10,28,Lamar Jackson pass incomplete short middle intended for Rashod Bateman. Penalty on Rasul Douglas: Defensive Holding 3 yards (accepted) (no play),5.150,6.740
4,12:11,,,,,,Timeout #1 by Buffalo Bills,,
4,12:11,1,2,BUF 2,10,28,Derrick Henry right tackle for 1 yard (tackle by Dorian Williams and DeWayne Carter),6.740,5.910
4,11:31,2,1,BUF 1,10,34,Derrick Henry right tackle for no gain. Derrick Henry fumbles (forced by Rasul Douglas) recovered by Patrick Ricard in end zone touchdown,5.910,7.000
4,11:23,,,BUF 15,10,35,Justin Tucker kicks extra point good,0.000,0.000
4,11:23,,,BAL 35,10,35,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,11:23,1,10,BUF 30,10,35,Josh Allen pass incomplete short right intended for Mack Hollins,0.940,0.390
4,11:20,2,10,BUF 30,10,35,Josh Allen pass incomplete deep left intended for Dalton Kincaid,0.390,-0.300
4,11:14,3,10,BUF 30,10,35,Josh Allen pass incomplete deep right intended for Mack Hollins,-0.300,-1.370
4,11:06,4,10,BUF 30,10,35,Sam Martin punts 52 yards returned by Deonte Harty for 15 yards (tackle by Ty Johnson),-1.370,-1.140
4,10:53,1,10,BAL 33,10,35,Derrick Henry up the middle for 9 yards (tackle by Christian Benford),1.140,1.810
4,10:17,2,1,BAL 42,10,35,Derrick Henry right tackle for no gain (tackle by Dorian Williams),1.810,1.090
4,9:36,3,1,BAL 42,10,35,Derrick Henry up the middle for 5 yards (tackle by Dorian Williams),1.090,2.060
4,8:54,1,10,BAL 47,10,35,Lamar Jackson pass complete short right to Isaiah Likely for 8 yards (tackle by Dorian Williams) BUF challenged the pass completion ruling and the original play was overturned. Lamar Jackson pass incomplete short right intended for Isaiah Likely,2.060,1.520
4,8:50,2,10,BAL 47,10,35,Justice Hill left end for 4 yards (tackle by Cameron Lewis),1.520,1.360
4,8:11,3,6,BUF 49,10,35,Derrick Henry right end for no gain (tackle by Nicholas Morrow and Baylon Spector),1.360,0.000
4,7:27,4,6,BUF 49,10,35,Jordan Stout punts 43 yards fair catch by Brandon Codrington at BUF-6,0.000,0.380
4,7:17,1,10,BUF 6,10,35,Ray Davis right guard for -4 yards (tackle by Adisa Isaac),-0.380,-1.070
4,6:40,2,14,BUF 2,10,35,Mitchell Trubisky pass complete short left to Curtis Samuel for 2 yards (tackle by Ar'Darius Washington),-1.070,-1.650
4,5:56,3,12,BUF 4,10,35,Mitchell Trubisky pass incomplete deep right intended for Marquez Valdes-Scantling (defended by Nate Wiggins),-1.650,-2.490
4,5:49,4,12,BUF 4,10,35,Sam Martin punts 51 yards returned by Deonte Harty for 6 yards (tackle by Javon Solomon),-2.490,-2.320
4,5:37,1,10,BUF 49,10,35,Derrick Henry left tackle for 2 yards (tackle by DeWayne Carter),2.320,2.050
4,4:53,2,8,BUF 47,10,35,Derrick Henry left guard for 1 yard (tackle by Ja'Marcus Ingram),2.050,1.490
4,4:10,3,7,BUF 46,10,35,Josh Johnson pass complete short right to Derrick Henry for 1 yard (tackle by Kaiir Elam),1.490,0.270
4,3:25,4,6,BUF 45,10,35,Jordan Stout punts 34 yards fair catch by Brandon Codrington at BUF-11. Penalty on Tylan Wallace: Fair Catch Interference 15 yards (accepted),0.270,-0.670
4,3:18,1,10,BUF 26,10,35,Ray Davis right end for 7 yards (tackle by Malik Harrison and Adisa Isaac),0.670,1.070
4,2:42,2,3,BUF 33,10,35,Ray Davis left tackle for 2 yards (tackle by Malik Harrison),1.070,0.630
4,2:00,3,1,BUF 35,10,35,Ray Davis right tackle for 3 yards (tackle by Malik Harrison and T.J. Tampa),0.630,1.470
4,1:22,1,10,BUF 38,10,35,Ray Davis left guard for 1 yard (tackle by Brent Urban and Adisa Isaac),1.470,1.060
4,0:40,2,9,BUF 39,10,35,Ray Davis right tackle for 2 yards (tackle by Brent Urban),1.060,0.630
