Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
3,5:06,,,DAL 35,17,12,Brandon Aubrey kicks off 64 yards returned by Eric Gray for 31 yards (tackle by Hunter Luepke),0.000,1.070
3,5:00,1,10,NYG 32,17,12,Daniel Jones pass complete short right to Malik Nabers for 5 yards (tackle by Malik Hooker),1.070,1.200
3,4:26,2,5,NYG 37,17,12,Daniel Jones right end for -5 yards (tackle by Marshawn Kneeland),1.200,-0.160
3,3:43,3,10,NYG 32,17,12,Daniel Jones pass complete short middle to Wan'Dale Robinson for 6 yards (tackle by Jourdan Lewis),-0.160,-0.850
3,3:05,4,4,NYG 38,17,12,Jamie Gillan punts 44 yards fair catch by KaVontae Turpin at DAL-18,-0.850,-0.040
3,2:57,1,10,DAL 18,17,12,Ezekiel Elliott up the middle for no gain (tackle by Tyler Nubin). Penalty on Tyler Smith: Offensive Holding 10 yards (declined) . Penalty on Cooper Beebe: Offensive Holding 9 yards (accepted) (no play),0.040,-0.720
3,2:46,1,19,DAL 9,17,12,CeeDee Lamb left end for -1 yards (tackle by Brian Burns),-0.720,-1.510
3,2:01,2,20,DAL 8,17,12,Ezekiel Elliott up the middle for 8 yards (tackle by Micah McFadden),-1.510,-1.500
3,1:21,3,12,DAL 16,17,12,Dak Prescott pass complete short left to Hunter Luepke for 3 yards (tackle by Jason Pinnock),-1.500,-2.140
3,0:44,4,9,DAL 19,17,12,Bryan Anger punts 55 yards returned by Ihmir Smith-Marsette for 22 yards (tackle by Marist Liufau and Hunter Luepke),-2.140,-2.130
3,0:31,1,10,NYG 48,17,12,Daniel Jones pass complete short left to Malik Nabers for 8 yards (tackle by Malik Hooker),2.130,2.660
4,15:00,2,2,DAL 44,17,12,Devin Singletary left end for 1 yard (tackle by Donovan Wilson). Penalty on Chris Manhertz: Offensive Holding 10 yards (accepted),2.660,1.450
4,14:39,2,11,NYG 47,17,12,Daniel Jones pass incomplete deep right intended for Darius Slayton (defended by Amani Oruwariye),1.450,0.760
4,14:31,,,,,,Timeout #1 by New York Giants,,
4,14:31,3,11,NYG 47,17,12,Daniel Jones pass complete short right to Wan'Dale Robinson for 8 yards (tackle by Osa Odighizuwa),0.760,0.270
4,13:42,4,3,DAL 45,17,12,Daniel Jones pass complete short left to Malik Nabers for 8 yards (tackle by Trevon Diggs),0.270,3.120
4,12:57,1,10,DAL 37,17,12,Daniel Jones pass complete short middle to Malik Nabers for 17 yards (tackle by DeMarvion Overshown and Eric Kendricks). Penalty on Amani Oruwariye: Illegal Contact 5 yards (declined),3.120,4.240
4,12:32,1,10,DAL 20,17,12,Daniel Jones pass complete short right to Malik Nabers for -1 yards (tackle by Amani Oruwariye),4.240,3.560
4,11:51,2,11,DAL 21,17,12,Devin Singletary right end for -3 yards (tackle by Marist Liufau),3.560,2.480
4,11:21,3,14,DAL 24,17,12,Daniel Jones pass incomplete short right intended for Darius Slayton,2.480,1.870
4,11:16,4,14,DAL 24,17,15,Greg Joseph 42 yard field goal good,1.870,3.000
4,11:11,,,NYG 35,17,15,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
4,11:11,1,10,DAL 30,17,15,Dak Prescott pass complete short middle to Jake Ferguson for 9 yards (tackle by Micah McFadden),0.940,1.610
4,10:38,2,1,DAL 39,17,15,Rico Dowdle left guard for 6 yards (tackle by Tyler Nubin),1.610,1.930
4,10:05,1,10,DAL 45,17,15,Dak Prescott pass complete short right to Jake Ferguson for 9 yards (tackle by Nick McCloud),1.930,2.600
4,9:26,2,1,NYG 46,17,15,Rico Dowdle right tackle for 6 yards (tackle by Azeez Ojulari and Rakeem Nunez-Roches),2.600,2.920
4,8:51,1,10,NYG 40,17,15,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Cordale Flott),2.920,2.370
4,8:45,2,10,NYG 40,17,15,Dak Prescott pass complete short right to Jalen Tolbert for 15 yards (tackle by Tyler Nubin),2.370,3.910
4,8:10,1,10,NYG 25,17,15,Rico Dowdle right end for 4 yards (tackle by D.J. Davidson and Tyler Nubin),3.910,3.900
4,7:43,2,6,NYG 21,17,15,CeeDee Lamb left end for -1 yards (tackle by Bobby Okereke),3.900,3.070
4,7:04,3,7,NYG 22,17,15,Dak Prescott pass incomplete short middle intended for CeeDee Lamb (defended by Bobby Okereke),3.070,1.990
4,6:59,4,7,NYG 22,20,15,Brandon Aubrey 40 yard field goal good,1.990,3.000
4,6:54,,,DAL 35,20,15,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
4,6:54,1,10,NYG 30,20,15,Daniel Jones pass incomplete short right,0.940,0.390
4,6:48,2,10,NYG 30,20,15,Daniel Jones pass complete short middle to Theo Johnson for 6 yards (tackle by DeMarvion Overshown),0.390,0.500
4,6:19,3,4,NYG 36,20,15,Daniel Jones pass complete short left to Wan'Dale Robinson for 3 yards (tackle by Amani Oruwariye),0.500,-0.780
4,5:33,4,1,NYG 39,20,15,Devin Singletary right guard for 2 yards (tackle by Eric Kendricks and Osa Odighizuwa),-0.780,1.660
4,4:53,1,10,NYG 41,20,15,Daniel Jones pass complete short left to Malik Nabers for 4 yards (tackle by Jourdan Lewis),1.660,1.660
4,4:18,2,6,NYG 45,20,15,Tyrone Tracy left tackle for no gain (tackle by Micah Parsons and Eric Kendricks),1.660,0.960
4,3:36,3,6,NYG 45,20,15,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by Jourdan Lewis),0.960,-0.390
4,3:30,4,6,NYG 45,20,15,Daniel Jones pass incomplete deep left intended for Malik Nabers (defended by Trevon Diggs),-0.390,-2.590
4,3:21,1,10,NYG 45,20,15,Ezekiel Elliott left guard for 7 yards (tackle by D.J. Davidson),2.590,2.990
4,3:16,,,,,,Timeout #2 by New York Giants,,
4,3:16,2,3,NYG 38,20,15,Ezekiel Elliott left tackle for 2 yards (tackle by Dexter Lawrence),2.990,2.540
4,3:10,,,,,,Timeout #3 by New York Giants,,
4,3:10,3,1,NYG 36,20,15,Hunter Luepke up the middle for 2 yards (tackle by Micah McFadden),2.540,3.310
4,2:30,1,10,NYG 34,20,15,Ezekiel Elliott up the middle for -3 yards (tackle by Micah McFadden),3.310,2.370
4,2:00,2,13,NYG 37,20,15,Rico Dowdle up the middle for 1 yard (tackle by Micah McFadden and Brian Burns),2.370,1.820
4,1:18,3,12,NYG 36,20,15,Rico Dowdle left end for 4 yards (tackle by Bobby Okereke),1.820,1.240
4,0:31,4,8,NYG 32,20,15,Brandon Aubrey 51 yard field goal no good,1.240,-1.660
4,0:28,1,10,NYG 41,20,15,Daniel Jones pass incomplete deep left intended for Wan'Dale Robinson,1.660,1.120
4,0:22,2,10,NYG 41,20,15,Daniel Jones pass incomplete short right,1.120,0.430
4,0:15,3,10,NYG 41,20,15,Daniel Jones pass deep right intended for Jalin Hyatt is intercepted by Amani Oruwariye at DAL-4 and returned for no gain (tackle by Jalin Hyatt),0.430,0.380
4,0:05,1,10,DAL 4,20,15,Dak Prescott kneels for -1 yards,-0.380,-0.850
