Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA
4,14:50,3,10,PIT 15,10,23,Joe Flacco pass complete short middle to Andrew Ogletree for 15 yards touchdown,3.100,7.000
4,14:43,,,PIT 15,10,24,Matt Gay kicks extra point good,0.000,0.000
4,14:43,,,IND 35,10,24,Matt Gay kicks off 65 yards touchback.,0.000,0.940
4,14:43,1,10,PIT 30,10,24,Justin Fields pass complete short right to Pat Freiermuth for 5 yards (tackle by E.J. Speed),0.940,1.070
4,14:09,2,5,PIT 35,10,24,Justin Fields right tackle for 8 yards (tackle by Zaire Franklin),1.070,1.800
4,13:32,1,10,PIT 43,10,24,Justin Fields pass complete short right to Najee Harris for 32 yards (tackle by Julian Blackmon). Penalty on Dayo Odeyingbo: Roughing the Passer 13 yards (accepted),1.800,4.780
4,13:11,1,10,IND 12,10,24,Justin Fields pass incomplete short right,4.780,4.100
4,12:52,2,10,IND 12,10,24,Justin Fields pass complete short left to George Pickens for 9 yards (tackle by Jaylon Jones),4.100,5.060
4,12:23,3,1,IND 3,10,24,Najee Harris left guard for 1 yard (tackle by Julian Blackmon),5.060,6.740
4,11:38,1,2,IND 2,10,24,Justin Fields pass incomplete short right intended for George Pickens,6.740,5.720
4,11:29,2,2,IND 2,16,24,Justin Fields scrambles left end for 2 yards touchdown,5.720,7.000
4,11:23,,,IND 15,17,24,Chris Boswell kicks extra point good,0.000,0.000
4,11:23,,,PIT 35,17,24,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,11:23,1,10,IND 30,17,24,Jonathan Taylor left end for 2 yards (tackle by Payton Wilson),0.940,0.660
4,10:44,2,8,IND 32,17,24,Joe Flacco pass complete short middle to Josh Downs for 13 yards (tackle by Payton Wilson),0.660,1.930
4,10:07,1,10,IND 45,17,24,Jonathan Taylor left tackle for 21 yards (tackle by Minkah Fitzpatrick and DeShon Elliott),1.930,3.310
4,9:37,1,10,PIT 34,17,24,Jonathan Taylor left tackle for 2 yards (tackle by Larry Ogunjobi),3.310,3.040
4,8:59,2,8,PIT 32,17,24,Jonathan Taylor up the middle for 1 yard (tackle by DeShon Elliott),3.040,2.480
4,8:19,3,7,PIT 31,17,24,Joe Flacco pass complete short right to Josh Downs for 10 yards (tackle by Payton Wilson),2.480,4.170
4,7:30,1,10,PIT 21,17,24,Trey Sermon left end for 1 yard (tackle by Isaiahh Loudermilk),4.170,3.760
4,6:51,2,9,PIT 20,17,24,Trey Sermon left end for 6 yards (tackle by Joey Porter),3.760,4.020
