Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA
3,0:51,2,8,NYJ 30,17,16,Aaron Rodgers pass complete short left to Isaiah Davis for 2 yards (tackle by Foyesade Oluokun),0.530,0.100
3,0:04,3,6,NYJ 32,17,16,Aaron Rodgers pass incomplete short middle intended for Allen Lazard,0.100,-1.240
4,15:00,4,6,NYJ 32,17,16,Thomas Morstead punts 40 yards returned by Devin Duvernay for -1 yards (tackle by Qwan'tez Stiggers and Jarrick Bernard-Converse),-1.240,-0.740
4,14:50,1,10,JAX 27,17,16,Mac Jones pass complete short middle to Brenton Strange for 8 yards (tackle by Tony Adams),0.740,1.280
4,14:17,2,2,JAX 35,17,16,Travis Etienne up the middle for 3 yards (tackle by Leonard Taylor),1.280,1.470
4,14:03,1,10,JAX 38,17,16,Travis Etienne left end for 5 yards (tackle by Jamien Sherwood and Leonard Taylor),1.470,1.600
4,13:35,2,5,JAX 43,17,16,Mac Jones pass complete short left to Brian Thomas for 6 yards (tackle by Quincy Williams),1.600,2.190
4,13:06,1,10,JAX 49,17,16,Mac Jones pass complete short left to Devin Duvernay for 28 yards (tackle by Chuck Clark),2.190,4.040
4,12:16,1,10,NYJ 23,17,16,Tank Bigsby left end for 3 yards (tackle by Tony Adams and Kendall Sheffield),4.040,3.900
4,11:45,2,7,NYJ 20,17,16,Tank Bigsby left guard for 1 yard (tackle by Tony Adams),3.900,3.340
4,11:04,3,6,NYJ 19,17,22,Mac Jones pass complete short middle to Brian Thomas for 19 yards touchdown,3.340,7.000
4,10:58,,,NYJ 2,17,22,Two Point Attempt: Mac Jones pass incomplete intended for intended for Parker Washington,1.000,-1.000
4,10:58,,,JAX 35,17,22,Cam Little kicks off 65 yards touchback.,0.000,0.940
4,10:58,1,10,NYJ 30,17,22,Isaiah Davis left end for 11 yards (tackle by Andre Cisco),0.940,1.660
4,10:22,1,10,NYJ 41,17,22,Aaron Rodgers scrambles right end for 10 yards (tackle by Jarrian Jones),1.660,2.320
4,9:40,1,10,JAX 49,17,22,Aaron Rodgers pass incomplete deep right intended for Allen Lazard (defended by Jarrian Jones),2.320,1.780
4,9:27,2,10,JAX 49,17,22,Aaron Rodgers pass complete short left to Garrett Wilson for 15 yards (tackle by Andre Cisco),1.780,3.310
4,8:46,1,10,JAX 34,17,22,Breece Hall right end for 4 yards (tackle by Travon Walker and Maason Smith),3.310,3.310
