Quarter,Time,Down,ToGo,Location,NWE,ARI,Detail,EPB,EPA
3,15:00,1,10,ARI 30,3,13,Kyler Murray pass incomplete short right intended for Trey McBride,0.940,0.390
3,14:55,2,10,ARI 30,3,13,Kyler Murray scrambles right end for 4 yards (tackle by Marcus Jones),0.390,0.230
3,14:12,3,6,ARI 34,3,13,Kyler Murray pass complete short left to Greg Dortch for 8 yards (tackle by Kyle Dugger and Marcus Jones),0.230,1.730
3,13:38,1,10,ARI 42,3,13,James Conner right tackle for 6 yards (tackle by Jabrill Peppers and Jahlani Tavai),1.730,2.000
3,13:01,2,4,ARI 48,3,13,Trey Benson up the middle for 7 yards (tackle by Kyle Dugger),2.000,2.590
3,12:15,1,10,NWE 45,3,13,Trey Benson right tackle for 4 yards (tackle by Jeremiah Pharms and Davon Godchaux),2.590,2.580
3,11:38,2,6,NWE 41,3,13,Kyler Murray sacked by Deatrich Wise for no gain. Penalty on Deatrich Wise: Horse Collar Tackle 15 yards (accepted) (no play),2.580,3.840
3,11:12,1,10,NWE 26,3,13,Trey Benson left tackle for no gain (tackle by Christian Gonzalez). Penalty on Trey McBride: Offensive Holding 10 yards (accepted) (no play),3.840,3.180
3,10:41,1,20,NWE 36,3,13,Kyler Murray pass complete short left to Greg Dortch for 13 yards (tackle by Alex Austin),3.180,3.700
3,9:56,2,7,NWE 23,3,13,James Conner up the middle for 2 yards (tackle by Davon Godchaux and Anfernee Jennings),3.700,3.270
3,9:16,3,5,NWE 21,3,13,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Christian Gonzalez),3.270,2.110
3,9:12,4,5,NWE 21,3,16,Chad Ryland 40 yard field goal good,2.110,3.000
3,9:07,,,ARI 35,3,16,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,9:07,1,10,NWE 30,3,16,Drake Maye pass incomplete deep middle intended for Kayshon Boutte,0.940,0.390
3,9:00,2,10,NWE 30,3,16,Rhamondre Stevenson up the middle for 15 yards (tackle by Kyzir White),0.390,1.930
3,8:22,1,10,NWE 45,3,16,Rhamondre Stevenson up the middle for 10 yards (tackle by Jalen Thompson),1.930,2.590
3,7:42,1,10,ARI 45,3,16,Drake Maye scrambles up the middle for 3 yards (tackle by Julian Okwara),2.590,2.450
3,7:10,2,7,ARI 42,3,16,Antonio Gibson right end for 29 yards (tackle by Jalen Thompson),2.450,4.710
3,6:29,,,,,,Timeout #1 by New England Patriots,,
3,6:29,1,10,ARI 13,3,16,Drake Maye pass incomplete short left intended for Ja'Lynn Polk,4.710,4.050
3,6:27,2,10,ARI 13,3,16,Antonio Gibson right tackle for 9 yards (tackle by Roy Lopez and Jalen Thompson),4.050,5.010
3,5:47,3,1,ARI 4,3,16,Antonio Gibson up the middle for no gain (tackle by Krys Barnes and Naquan Jones),5.010,3.040
3,5:01,4,1,ARI 4,3,16,Rhamondre Stevenson up the middle for no gain (tackle by Kyzir White and Krys Barnes),3.040,0.380
3,4:54,1,10,ARI 4,3,16,James Conner up the middle for 4 yards (tackle by Davon Godchaux and Jabrill Peppers),-0.380,-0.490
3,4:10,2,6,ARI 8,3,16,Kyler Murray pass incomplete short right intended for Tip Reiman,-0.490,-0.950
3,4:03,3,6,ARI 8,3,16,Kyler Murray pass short left is intercepted by Jonathan Jones at ARI-18 and returned for no gain (tackle by Michael Wilson). Penalty on Anfernee Jennings: Roughing the Passer 15 yards (accepted) (no play),-0.950,0.480
3,3:55,1,10,ARI 23,3,16,James Conner right end for -1 yards (tackle by Kyle Dugger),0.480,-0.200
3,3:12,2,11,ARI 22,3,16,Clayton Tune pass complete short right to Trey McBride for 7 yards (tackle by Kyle Dugger),-0.200,0.040
3,2:36,3,4,ARI 29,3,16,Clayton Tune pass complete short right to Trey McBride for 1 yard (tackle by Yannick Ngakoue),0.040,-1.370
3,1:57,4,3,ARI 30,3,16,Michael Palardy punts 43 yards returned by Marcus Jones for 6 yards (tackle by Joey Blount),-1.370,-1.140
3,1:47,1,10,NWE 33,3,16,Drake Maye pass complete short left to Hunter Henry for 8 yards (tackle by Julian Okwara),1.140,1.670
3,1:21,2,2,NWE 41,3,16,Drake Maye pass complete short left to Kayshon Boutte for 3 yards (tackle by Julian Okwara),1.670,1.860
3,0:48,1,10,NWE 44,3,16,Drake Maye pass incomplete deep right intended for Kayshon Boutte,1.860,1.320
3,0:39,2,10,NWE 44,3,16,Drake Maye pass short middle intended for Kayshon Boutte is intercepted by Sean Murphy-Bunting at ARI-43 and returned for 2 yards (tackle by Demario Douglas),1.320,-1.930
3,0:31,1,10,ARI 45,3,16,James Conner right tackle for -1 yards (tackle by Jabrill Peppers and Anfernee Jennings),1.930,1.250
4,15:00,2,11,ARI 44,3,16,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Jabrill Peppers),1.250,1.490
4,14:21,3,4,NWE 49,3,16,Kyler Murray pass complete deep left to Trey McBride for 29 yards (tackle by Dell Pettus),1.490,4.240
4,13:48,1,10,NWE 20,3,16,James Conner up the middle for 4 yards (tackle by Davon Godchaux and Eric Johnson),4.240,4.280
