Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
2,1:48,3,10,WAS 40,14,0,Jayden Daniels sacked by Ugo Amadi for -14 yards,0.370,-1.630
2,1:41,,,,,,Timeout #2 by New Orleans Saints,,
2,1:41,4,24,WAS 26,14,0,Tress Way punts 50 yards returned by Dante Pettis for 5 yards (tackle by John Bates),-1.630,-0.870
2,1:31,1,10,NOR 29,14,0,Jake Haener pass incomplete short middle intended for Marquez Valdes-Scantling,0.870,0.330
2,1:27,2,10,NOR 29,14,0,Jake Haener pass complete short right to Alvin Kamara for 5 yards (tackle by Dorance Armstrong),0.330,0.300
2,1:21,,,,,,Timeout #2 by Washington Commanders,,
2,1:21,3,5,NOR 34,14,0,Jake Haener pass complete short right to Dante Pettis for 12 yards (tackle by Mike Sainristil),0.300,1.990
2,1:16,1,10,NOR 46,14,0,Jake Haener pass incomplete short right intended for Marquez Valdes-Scantling,1.990,1.450
2,1:13,2,10,NOR 46,14,0,Jake Haener pass incomplete short right,1.450,0.760
2,1:05,3,10,NOR 46,14,0,Jake Haener pass incomplete short left intended for Cedrick Wilson (defended by Mike Sainristil),0.760,-0.320
2,1:00,4,10,NOR 46,14,0,Matthew Hayball punts 53 yards downed by J.T. Gray,-0.320,0.380
2,0:50,1,10,WAS 2,14,0,Jeremy McNichols right tackle for 5 yards (tackle by Ugo Amadi),-0.380,-0.420
2,0:43,,,,,,Timeout #3 by Washington Commanders,,
2,0:43,2,5,WAS 7,14,0,Jayden Daniels pass complete short left to Terry McLaurin for 13 yards (tackle by Kool-Aid McKinstry and Tyrann Mathieu),-0.420,0.280
2,0:24,1,10,WAS 20,14,0,Jayden Daniels pass complete short right to Luke McCaffrey for no gain (tackle by Ugo Amadi),0.280,-0.270
3,15:00,,,NOR 35,14,0,Blake Grupe kicks off 62 yards returned by Luke McCaffrey for 29 yards (tackle by Adam Prentice),0.000,1.070
3,14:55,1,10,WAS 32,14,0,Brian Robinson left tackle for 3 yards (tackle by Demario Davis and Pete Werner),1.070,0.930
3,14:11,2,7,WAS 35,14,0,Jayden Daniels scrambles up the middle for 6 yards (tackle by Demario Davis),0.930,1.030
3,13:23,3,1,WAS 41,14,0,Jayden Daniels right end for 5 yards (tackle by Tyrann Mathieu),1.030,1.990
3,12:45,1,10,WAS 46,14,0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 14 yards (tackle by Demario Davis),1.990,2.920
3,12:10,1,10,NOR 40,14,0,Brian Robinson left end for 20 yards (tackle by Ugo Amadi),2.920,4.240
3,11:42,1,10,NOR 20,14,0,Brian Robinson left guard for 1 yard (tackle by Nathan Shepherd and Payton Turner),4.240,3.820
3,11:02,2,9,NOR 19,14,0,Jayden Daniels scrambles right end for 10 yards (tackle by Will Harris),3.820,5.140
3,10:17,1,9,NOR 9,14,0,Brian Robinson right guard for 4 yards (tackle by Cameron Jordan),5.140,5.150
3,9:36,2,5,NOR 5,14,0,Brian Robinson right tackle for 4 yards (tackle by Demario Davis and Khalen Saunders),5.150,5.170
3,8:53,3,1,NOR 1,14,0,Jayden Daniels sacked by Cameron Jordan for -4 yards,5.170,3.010
3,8:15,4,5,NOR 5,17,0,Greg Joseph 23 yard field goal good,3.010,3.000
3,8:12,,,WAS 35,17,0,Greg Joseph kicks off 63 yards returned by Jamaal Williams for 27 yards (tackle by Percy Butler and Tyler Owens),0.000,0.870
3,8:07,1,10,NOR 29,17,0,Spencer Rattler pass incomplete short right intended for Dante Pettis,0.870,0.330
3,8:04,2,10,NOR 29,17,0,Spencer Rattler pass incomplete short right intended for Kevin Austin. Penalty on Trevor Penning: Offensive Holding 10 yards (declined),0.330,-0.360
3,8:00,3,10,NOR 29,17,0,Spencer Rattler pass complete short right to Dante Pettis for 12 yards (tackle by Noah Igbinoghene),-0.360,1.660
