Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
2,1:51,1,10,CAR 35,10,0,Rico Dowdle up the middle for 6 yards (tackle by Jaden Crumedy and Claudin Cherelus),3.250,3.510
2,1:28,2,4,CAR 29,10,0,Cooper Rush pass complete short left to CeeDee Lamb for 6 yards (tackle by Jaden Crumedy),3.510,4.040
2,1:06,1,10,CAR 23,10,0,Rico Dowdle up the middle for no gain (tackle by Xavier Woods). Penalty on Brock Hoffman: Offensive Holding 10 yards (accepted) (no play),4.040,3.380
2,0:59,1,20,CAR 33,10,0,Cooper Rush pass incomplete short middle intended for Brandin Cooks,3.380,2.150
2,0:55,2,20,CAR 33,10,0,Cooper Rush pass complete short middle to Jake Ferguson for 19 yards (tackle by Xavier Woods),2.150,4.280
2,0:45,,,,,,Timeout #1 by Carolina Panthers,,
2,0:45,3,1,CAR 14,10,0,Cooper Rush up the middle for -3 yards. Cooper Rush fumbles recovered by DJ Johnson at CAR-17,4.280,0.060
2,0:42,1,10,CAR 17,10,6,Bryce Young pass complete deep right to Jalen Coker for 83 yards touchdown,-0.060,7.000
2,0:31,,,DAL 15,10,7,Eddy Piñeiro kicks extra point good,0.000,0.000
2,0:31,,,CAR 35,10,7,Johnny Hekker kicks off 63 yards returned by KaVontae Turpin for 22 yards (tackle by Caleb Farley and Johnny Hekker),0.000,0.540
2,0:25,1,10,DAL 24,10,7,Cooper Rush pass incomplete short middle intended for Brandin Cooks (defended by Jadeveon Clowney),0.540,0.000
2,0:21,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:21,2,10,DAL 24,10,7,Cooper Rush pass complete short right to CeeDee Lamb for 15 yards (tackle by Jonathan Harris and A'Shawn Robinson),0.000,1.530
2,0:15,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:15,,,,,,Timeout #2 by Carolina Panthers,,
2,0:15,1,10,DAL 39,10,7,Cooper Rush scrambles up the middle for 9 yards (tackle by Josey Jewell and Jordan Fuller),1.530,2.200
2,0:04,2,1,DAL 48,10,7,Cooper Rush spiked the ball,2.200,1.490
2,0:03,3,1,DAL 48,10,7,Brandon Aubrey 70 yard field goal no good returned by Deven Thompkins for no gain (tackle by Brock Hoffman),1.490,1.930
3,15:00,,,DAL 35,10,7,Brandon Aubrey kicks off 64 yards returned by Deven Thompkins for 33 yards (tackle by Jalen Brooks),0.000,1.200
3,14:56,1,10,CAR 34,10,7,Bryce Young sacked by Osa Odighizuwa for -5 yards. Bryce Young fumbles (forced by Osa Odighizuwa) recovered by Chauncey Golston at CAR-29,1.200,-3.640
3,14:50,1,10,CAR 29,10,7,Rico Dowdle up the middle for 4 yards (tackle by Shy Tuttle),3.640,3.640
3,14:21,2,6,CAR 25,10,7,Rico Dowdle left tackle for 5 yards. Rico Dowdle fumbles (forced by Chau Smith-Wade) recovered by Josey Jewell at CAR-18 Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Rico Dowdle left tackle for 5 yards (tackle by Claudin Cherelus),3.640,3.600
3,14:09,3,1,CAR 20,10,7,Ezekiel Elliott up the middle for 4 yards (tackle by Josey Jewell),3.600,4.510
3,13:34,1,10,CAR 16,10,7,Rico Dowdle up the middle for 5 yards (tackle by DJ Johnson and Josey Jewell),4.510,4.760
3,12:53,2,5,CAR 11,16,7,Cooper Rush pass complete short right to Jalen Tolbert for 11 yards touchdown,4.760,7.000
3,12:46,,,CAR 15,17,7,Brandon Aubrey kicks extra point good,0.000,0.000
3,12:46,,,DAL 35,17,7,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
3,12:46,1,10,CAR 30,17,7,Chuba Hubbard up the middle for 1 yard (tackle by Osa Odighizuwa),0.940,0.530
3,12:08,2,9,CAR 31,17,7,Bryce Young sacked by Chauncey Golston for -6 yards,0.530,-0.960
3,11:24,3,15,CAR 25,17,7,Penalty on Deven Thompkins: False Start 5 yards (accepted) (no play),-0.960,-1.620
3,11:07,3,20,CAR 20,17,7,Bryce Young pass complete short middle to Adam Thielen for 16 yards (tackle by Donovan Wilson),-1.620,-0.980
3,10:31,4,4,CAR 36,17,7,Johnny Hekker punts 44 yards returned by KaVontae Turpin for 2 yards (tackle by Lonnie Johnson),-0.980,-0.410
3,10:23,1,10,DAL 22,17,7,KaVontae Turpin right guard for 16 yards (tackle by Xavier Woods and Josey Jewell),0.410,1.470
3,9:43,1,10,DAL 38,17,7,Rico Dowdle up the middle for 6 yards (tackle by Josey Jewell),1.470,1.730
3,9:08,2,4,DAL 44,17,7,Rico Dowdle up the middle for 10 yards (tackle by Xavier Woods),1.730,2.520
3,8:31,1,10,CAR 46,17,7,Cooper Rush pass complete deep left to Brandin Cooks for 18 yards (tackle by Michael Jackson),2.520,3.710
3,7:48,1,10,CAR 28,17,7,Cooper Rush pass complete short middle to CeeDee Lamb for 11 yards (tackle by Demani Richardson and Jordan Fuller),3.710,4.440
3,7:05,1,10,CAR 17,23,7,Cooper Rush pass complete deep right to Jalen Brooks for 17 yards touchdown,4.440,7.000
3,6:55,,,CAR 15,24,7,Brandon Aubrey kicks extra point good,0.000,0.000
3,6:55,,,DAL 35,24,7,Brandon Aubrey kicks off 62 yards returned by Deven Thompkins for 28 yards (tackle by Kemon Hall),0.000,1.000
3,6:50,1,10,CAR 31,24,7,Bryce Young sacked by Micah Parsons for -9 yards,1.000,-0.760
3,6:12,2,19,CAR 22,24,7,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Jourdan Lewis),-0.760,-0.360
3,5:32,3,11,CAR 30,24,7,Bryce Young sacked by Jourdan Lewis for -10 yards,-0.360,-2.030
