Quarter,Time,Down,ToGo,Location,TAM,LAC,Detail,EPB,EPA
3,8:02,4,6,LAC 43,20,17,JK Scott punts 42 yards downed by Ja'Sir Taylor. Penalty on Ja'Sir Taylor: Kick Catch Interference 15 yards (accepted),-0.520,-0.940
3,7:53,1,10,TAM 30,20,17,Bucky Irving right guard for 54 yards (tackle by Tarheeb Still),0.940,4.510
3,7:09,1,10,LAC 16,20,17,Bucky Irving left end for no gain (tackle by Otito Ogbonnia),4.510,3.900
3,6:24,2,10,LAC 16,20,17,Rachaad White right guard for 1 yard (tackle by Poona Ford),3.900,3.220
3,5:25,3,9,LAC 15,20,17,Baker Mayfield pass complete short left to Rachaad White for 6 yards (tackle by Elijah Molden). Penalty on Jalen McMillan: Unsportsmanlike Conduct / Offense 15 yards (accepted),3.220,1.870
3,5:10,4,18,LAC 24,23,17,Chase McLaughlin 42 yard field goal good,1.870,3.000
3,5:06,,,TAM 35,23,17,Jack Browning kicks off 64 yards returned by Derius Davis for 19 yards (tackle by Ryan Miller). Penalty on Deane Leonard: Offensive Illegal Block Above the Waist 10 yards (accepted),0.000,-0.380
3,5:01,1,10,LAC 10,23,17,Gus Edwards up the middle for no gain (tackle by Christian Izien),-0.380,-0.780
3,4:42,2,10,LAC 10,23,17,Justin Herbert pass deep left intended for Quentin Johnston is intercepted by Jamel Dean at LAC-42 and returned for no gain (tackle by Quentin Johnston),-0.780,-2.790
3,4:34,1,10,LAC 42,23,17,Bucky Irving right end for 4 yards (tackle by Troy Dye),2.790,2.780
3,4:01,2,6,LAC 38,23,17,Baker Mayfield scrambles up the middle for no gain (tackle by Tony Jefferson). Penalty on Graham Barton: Offensive Holding 10 yards (accepted) (no play),2.780,1.430
3,3:27,2,16,LAC 48,23,17,Baker Mayfield pass incomplete short middle intended for Trey Palmer. Penalty on Teair Tart: Roughing the Passer 15 yards (accepted) (no play),1.430,3.380
3,3:23,1,10,LAC 33,23,17,Bucky Irving left end for 5 yards (tackle by Troy Dye and Daiyan Henley),3.380,3.510
3,2:42,2,5,LAC 28,23,17,Bucky Irving up the middle for 3 yards (tackle by Daiyan Henley and Morgan Fox),3.510,3.200
3,2:09,3,2,LAC 25,23,17,Baker Mayfield scrambles up the middle for no gain (tackle by Elijah Molden). Penalty on Ben Bredeson: Offensive Holding 10 yards (accepted) (no play),3.200,1.880
3,1:42,3,12,LAC 35,29,17,Baker Mayfield pass complete deep middle to Mike Evans for 35 yards touchdown,1.880,7.000
3,1:36,,,LAC 15,30,17,Chase McLaughlin kicks extra point good,0.000,0.000
