Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA
2,1:47,,,,,,Timeout #2 by Atlanta Falcons,,
2,1:47,2,5,LVR 13,9,3,Ameer Abdullah right tackle for 4 yards (tackle by Lorenzo Carter),-0.410,-0.370
2,1:06,3,1,LVR 17,9,3,Alexander Mattison up the middle for 1 yard (tackle by Nathan Landman),-0.370,0.040
2,0:32,1,10,LVR 18,9,3,Desmond Ridder pass complete short middle to Brock Bowers for 22 yards (tackle by DeAundre Alford),0.040,1.600
2,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:27,1,10,LVR 40,9,3,Desmond Ridder pass incomplete deep middle intended for Brock Bowers (defended by Kevin King),1.600,1.050
2,0:22,2,10,LVR 40,9,3,Desmond Ridder sacked by DeAngelo Malone for -8 yards,1.050,-0.690
3,15:00,,,LVR 35,9,3,Daniel Carlson kicks off 58 yards returned by Avery Williams for 38 yards (tackle by Thomas Harper and Dylan Laube),0.000,1.930
3,14:52,1,10,ATL 45,9,3,Kirk Cousins pass short middle (defended by Adam Butler) intended for Charlie Woerner is intercepted by Robert Spillane at LV-46 and returned for no gain (tackle by Charlie Woerner),1.930,-1.990
3,14:46,1,10,LVR 46,9,3,Desmond Ridder up the middle for -2 yards (tackle by Grady Jarrett),1.990,1.180
3,14:08,2,12,LVR 44,9,3,Desmond Ridder pass complete short left to Jakobi Meyers for no gain (tackle by DeAngelo Malone). Penalty on Jakobi Meyers: Offensive Pass Interference 10 yards (accepted) (no play),1.180,-0.170
3,13:43,2,22,LVR 34,9,3,Desmond Ridder sacked by DeAngelo Malone for -4 yards,-0.170,-1.350
3,13:04,3,26,LVR 30,9,3,Ameer Abdullah left guard for 4 yards (tackle by Grady Jarrett),-1.350,-1.110
3,12:26,4,22,LVR 34,9,3,AJ Cole punts blocked by KhaDarel Hodge (tackle by Natrone Brooks),-1.110,-3.120
3,12:13,1,10,LVR 37,9,3,Bijan Robinson right tackle for 5 yards (tackle by Adam Butler and Jonah Laulu),3.120,3.250
3,11:33,2,5,LVR 32,9,3,Bijan Robinson right guard for 9 yards (tackle by Tyree Wilson),3.250,4.040
3,10:57,1,10,LVR 23,9,3,Bijan Robinson right tackle for 2 yards (tackle by Divine Deablo and Robert Spillane),4.040,3.770
3,10:14,2,8,LVR 21,9,3,Bijan Robinson right tackle for -1 yards (tackle by Tre'von Moehrig),3.770,2.940
3,9:33,3,9,LVR 22,9,3,Kirk Cousins pass incomplete short left intended for Ray-Ray McCloud,2.940,1.990
3,9:29,4,9,LVR 22,12,3,Younghoe Koo 40 yard field goal good,1.990,3.000
3,9:25,,,ATL 35,12,3,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
3,9:25,1,10,LVR 30,12,3,Desmond Ridder scrambles up the middle for 8 yards (tackle by Kaden Elliss),0.940,1.470
3,8:48,2,2,LVR 38,12,3,Alexander Mattison up the middle for 12 yards (tackle by Demone Harris),1.470,2.260
3,8:11,1,10,LVR 50,12,3,Desmond Ridder pass incomplete deep left intended for Tre Tucker,2.260,1.710
3,8:04,2,10,LVR 50,12,3,Penalty on Jordan Meredith: False Start 5 yards (accepted) (no play),1.710,1.040
3,8:04,2,15,LVR 45,12,3,Desmond Ridder pass incomplete short right intended for Jakobi Meyers (defended by DeAundre Alford),1.040,0.370
3,8:01,3,15,LVR 45,12,3,Desmond Ridder pass incomplete deep right,0.370,-0.390
3,7:52,4,15,LVR 45,12,3,AJ Cole punts 47 yards fair catch by Avery Williams at ATL-8,-0.390,0.380
3,7:44,1,10,ATL 8,12,3,Tyler Allgeier up the middle for 2 yards (tackle by Jonah Laulu),-0.380,-0.630
3,7:08,2,8,ATL 10,12,3,Tyler Allgeier right guard for 19 yards (tackle by Nate Hobbs),-0.630,0.870
3,6:41,1,10,ATL 29,12,3,Tyler Allgeier left guard for 2 yards (tackle by Zachary Carter and K'Lavon Chaisson),0.870,0.600
3,6:07,2,8,ATL 31,12,3,Bijan Robinson right tackle for 2 yards (tackle by Adam Butler),0.600,0.170
3,5:18,3,6,ATL 33,12,3,Penalty on Jake Matthews: False Start 5 yards (accepted) (no play),0.170,-0.490
3,5:00,3,11,ATL 28,12,3,Kirk Cousins pass complete short left to Kyle Pitts for 6 yards (tackle by Isaiah Pola-Mao and Robert Spillane),-0.490,-1.110
