Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA
3,13:11,,,DET 15,28,14,Tyler Bass kicks extra point good,0.000,0.000
3,13:11,,,BUF 35,28,14,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,13:11,1,10,DET 30,28,14,David Montgomery left end for no gain (tackle by Ed Oliver),0.940,0.390
3,12:39,2,10,DET 30,28,14,Jahmyr Gibbs right end for 3 yards (tackle by Gregory Rousseau),0.390,0.100
3,12:08,3,7,DET 33,28,14,Jared Goff sacked by Gregory Rousseau for -8 yards,0.100,-1.700
3,11:30,4,15,DET 25,28,14,Jack Fox punts 59 yards returned by Brandon Codrington for no gain (tackle by Jack Campbell and Craig Reynolds). Penalty on Quintin Morris: Offensive Holding 8 yards (accepted),-1.700,0.380
3,11:16,1,10,BUF 8,28,14,Ray Davis right tackle for 2 yards (tackle by Levi Onwuzurike and David Long),-0.380,-0.630
3,10:34,2,8,BUF 10,28,14,Josh Allen pass complete short right to Ray Davis for 9 yards (tackle by Jack Campbell),-0.630,0.150
3,9:52,1,10,BUF 19,28,14,Josh Allen right end for 10 yards (tackle by Brian Branch),0.150,0.870
3,9:15,1,10,BUF 29,28,14,Josh Allen pass incomplete short middle,0.870,0.330
3,9:10,2,10,BUF 29,28,14,Josh Allen scrambles right tackle for 11 yards (tackle by Zeke Turner),0.330,1.600
3,8:29,1,10,BUF 40,28,14,Ray Davis right tackle for -2 yards (tackle by Brian Branch),1.600,0.780
3,7:45,2,12,BUF 38,28,14,Josh Allen pass incomplete short right intended for Mack Hollins,0.780,0.100
3,7:36,3,12,BUF 38,28,14,Josh Allen pass complete short middle to Khalil Shakir for 7 yards (tackle by Amik Robertson),0.100,-0.390
3,7:13,4,5,BUF 45,28,14,Sam Martin punts 51 yards downed by Mack Hollins,-0.390,0.380
3,7:03,1,10,DET 4,28,14,Jared Goff pass complete short right to David Montgomery for 14 yards (tackle by Terrel Bernard),-0.380,0.040
3,6:35,1,10,DET 18,28,14,Jared Goff pass complete short right to David Montgomery for 10 yards (tackle by Terrel Bernard),0.040,0.810
3,5:55,1,10,DET 28,28,14,Jared Goff pass complete short left to David Montgomery for 1 yard (tackle by Taron Johnson),0.810,0.400
3,5:17,2,9,DET 29,28,14,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 12 yards. Amon-Ra St. Brown fumbles (forced by Christian Benford) recovered by Matt Milano at DET-41. Penalty on Graham Glasgow: Offensive Facemask 15 yards (accepted),0.400,-3.840
3,5:08,1,10,DET 26,28,14,Josh Allen pass incomplete short left intended for Curtis Samuel,3.840,3.300
3,5:03,2,10,DET 26,28,14,James Cook up the middle for 8 yards (tackle by Brian Branch and Za'Darius Smith),3.300,3.750
3,4:26,3,2,DET 18,28,14,James Cook left end for 8 yards (tackle by Al-Quadin Muhammad),3.750,4.910
3,3:43,1,10,DET 10,28,14,Josh Allen left end for 4 yards (tackle by Kerby Joseph). Penalty on Za'Darius Smith: Low Block 3 yards (accepted),4.910,6.510
3,3:34,1,3,DET 3,34,14,Josh Allen pass complete short middle to Khalil Shakir for 3 yards touchdown,6.510,7.000
3,3:31,,,DET 15,35,14,Tyler Bass kicks extra point good,0.000,0.000
3,3:31,,,BUF 35,35,14,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,3:31,1,10,DET 30,35,14,Jared Goff pass incomplete deep left intended for Sam LaPorta,0.940,0.390
3,3:25,2,10,DET 30,35,14,Jared Goff pass complete short right to Jahmyr Gibbs for 11 yards (tackle by Cole Bishop),0.390,1.660
3,2:55,1,10,DET 41,35,14,Jared Goff pass incomplete deep right intended for Jameson Williams. Penalty on Frank Ragnow: Offensive Holding 10 yards (accepted) (no play),1.660,1.000
3,2:44,1,20,DET 31,35,14,Jared Goff pass incomplete deep right intended for Tim Patrick,1.000,-0.230
3,2:39,2,20,DET 31,35,14,Jared Goff pass complete short middle to Tim Patrick for 3 yards (tackle by Cameron Lewis),-0.230,-0.490
3,1:52,3,17,DET 34,35,20,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 66 yards touchdown,-0.490,7.000
3,1:41,,,BUF 15,35,21,Jake Bates kicks extra point good,0.000,0.000
3,1:41,,,DET 35,35,21,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,1:41,1,10,BUF 30,35,21,Josh Allen pass complete short right to Mack Hollins for 7 yards (tackle by Kindle Vildor),0.940,1.340
3,1:04,2,3,BUF 37,35,21,Ray Davis left end for -1 yards (tackle by Brian Branch),1.340,0.500
3,0:25,3,4,BUF 36,35,21,Josh Allen pass complete deep left to Dalton Kincaid for 29 yards (tackle by Terrion Arnold),0.500,3.250
4,15:00,1,10,DET 35,35,21,James Cook right tackle for 3 yards (tackle by Ben Niemann and David Long),3.250,3.110
4,14:26,2,7,DET 32,35,21,Josh Allen pass incomplete short middle intended for Dalton Kincaid,3.110,2.410
4,14:15,,,,,,Timeout #1 by Buffalo Bills,,
4,14:15,3,7,DET 32,35,21,Josh Allen pass incomplete deep middle intended for Keon Coleman (defended by Terrion Arnold),2.410,1.240
4,14:06,4,7,DET 32,38,21,Tyler Bass 50 yard field goal good,1.240,3.000
