Quarter,Time,Down,ToGo,Location,GNB,SEA,Detail,EPB,EPA
2,1:41,2,1,GNB 47,17,3,Josh Jacobs up the middle for 8 yards (tackle by Ernest Jones and Julian Love),2.140,2.590
2,0:56,1,10,SEA 45,17,3,Jordan Love pass complete short left to Jayden Reed for 3 yards (tackle by Devon Witherspoon),2.590,2.450
2,0:19,2,7,SEA 42,17,3,Jordan Love pass complete short right to Romeo Doubs for 5 yards (tackle by Riq Woolen),2.450,2.410
2,0:10,,,,,,Timeout #2 by Green Bay Packers,,
2,0:10,3,2,SEA 37,17,3,Jordan Love pass incomplete deep right intended for Romeo Doubs. Penalty on Riq Woolen: Defensive Pass Interference 34 yards (accepted) (no play),2.410,6.510
2,0:04,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:04,,,,,,Timeout #3 by Green Bay Packers,,
2,0:04,1,3,SEA 3,20,3,Brandon McManus 21 yard field goal good,6.510,3.000
3,15:00,,,GNB 35,20,3,Brandon McManus kicks off 64 yards returned by Jaelon Darden for 37 yards (tackle by Xavier McKinney),0.000,1.470
3,14:52,1,10,SEA 38,20,3,Zach Charbonnet up the middle for 3 yards (tackle by Tedarrell Slaton),1.470,1.330
3,14:17,2,7,SEA 41,20,3,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards (tackle by Kingsley Enagbare),1.330,2.260
3,13:42,1,10,SEA 50,20,3,Zach Charbonnet right tackle for 2 yards (tackle by Isaiah McDuffie and Eric Stokes),2.260,1.980
3,13:21,2,8,GNB 48,20,3,Geno Smith pass complete short middle to D.K. Metcalf for 6 yards (tackle by Xavier McKinney),1.980,2.080
3,12:41,3,2,GNB 42,20,3,Zach Charbonnet right tackle for 6 yards (tackle by Eric Wilson and Arron Mosby),2.080,3.180
3,12:18,1,10,GNB 36,20,3,Geno Smith sacked by Devonte Wyatt for -9 yards,3.180,1.420
3,11:41,2,19,GNB 45,20,3,Geno Smith pass incomplete short right. Penalty on Laken Tomlinson: Ineligible Downfield Pass 5 yards (declined),1.420,0.760
3,11:35,3,19,GNB 45,20,3,Geno Smith pass complete short left to Noah Fant for no gain (tackle by Carrington Valentine and Eric Wilson). Penalty on Sataoa Laumea: Offensive Holding 10 yards (accepted) (no play),0.760,-0.560
3,11:14,3,29,SEA 45,20,3,Geno Smith pass complete short right to Zach Charbonnet for 12 yards (tackle by Edgerrin Cooper),-0.560,0.400
3,10:32,4,17,GNB 43,20,3,Michael Dickson punts 36 yards fair catch by Jayden Reed at GB-7,0.400,0.380
3,10:26,1,10,GNB 7,20,3,Jordan Love pass complete short right to Jayden Reed for 8 yards (tackle by Coby Bryant),-0.380,-0.140
3,9:42,2,2,GNB 15,20,3,Josh Jacobs up the middle for 1 yard (tackle by Leonard Williams),-0.140,-0.370
3,8:42,3,1,GNB 16,20,3,Josh Jacobs right tackle for -3 yards (tackle by Leonard Williams),-0.370,-2.490
3,7:56,4,4,GNB 13,20,3,Daniel Whelan punts 33 yards downed by Zayne Anderson,-2.490,-2.520
3,7:46,1,10,GNB 46,20,3,Geno Smith pass complete deep left to Tyler Lockett for 22 yards (tackle by Evan Williams),2.520,3.970
3,7:13,1,10,GNB 24,20,3,Geno Smith pass incomplete short right,3.970,3.430
3,7:09,2,10,GNB 24,20,3,Sam Howell pass complete short right to Jaxon Smith-Njigba for -2 yards (tackle by Keisean Nixon),3.430,2.480
3,6:32,3,12,GNB 26,20,3,Sam Howell pass incomplete short right intended for Noah Fant,2.480,1.740
3,6:25,4,12,GNB 26,20,6,Jason Myers 45 yard field goal good,1.740,3.000
3,6:20,,,SEA 35,20,6,Jason Myers kicks off 65 yards touchback.,0.000,0.940
3,6:20,1,10,GNB 30,20,6,Jordan Love pass incomplete deep right intended for Christian Watson. Penalty on Josh Jobe: Defensive Pass Interference 39 yards (accepted) (no play),0.940,3.510
3,6:14,1,10,SEA 31,20,6,Josh Jacobs up the middle for -3 yards (tackle by Dre'Mont Jones),3.510,2.560
3,5:36,2,13,SEA 34,20,6,Jordan Love pass complete short left to Chris Brooks for 9 yards (tackle by Jarran Reed),2.560,3.070
3,4:51,3,4,SEA 25,20,6,Jordan Love pass complete short right to Christian Watson for 11 yards (tackle by Josh Jobe),3.070,4.650
3,4:04,1,10,SEA 14,20,6,Jayden Reed left end for 5 yards (tackle by Devon Witherspoon),4.650,4.900
3,3:27,2,5,SEA 9,20,6,Josh Jacobs left guard for no gain (tackle by Tyrice Knight and Byron Murphy),4.900,4.050
