Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
3,12:45,1,10,PIT 48,13,17,Jalen Hurts pass complete short right to Grant Calcaterra for no gain (tackle by Patrick Queen). Penalty on DeVonta Smith: Offensive Pass Interference 10 yards (accepted) (no play),2.390,1.730
3,12:17,1,20,PHI 42,13,17,Jalen Hurts pass incomplete short right intended for DeVonta Smith. Penalty on Tyler Steen: Offensive Holding 10 yards (declined),1.730,0.500
3,12:08,2,20,PHI 42,13,17,Jalen Hurts pass complete short left to DeVonta Smith for 20 yards (tackle by James Pierre and Minkah Fitzpatrick),0.500,3.050
3,11:37,1,10,PIT 38,13,17,Jalen Hurts right tackle for no gain (tackle by Payton Wilson),3.050,2.510
3,10:55,2,10,PIT 38,13,17,Jalen Hurts pass complete short middle to DeVonta Smith for 4 yards (tackle by Nick Herbig),2.510,2.340
3,10:29,3,6,PIT 34,13,17,Jalen Hurts pass complete short left to DeVonta Smith for 4 yards (tackle by James Pierre),2.340,1.500
3,9:45,4,2,PIT 30,13,17,Jake Elliott yard field goal good. Penalty on Montravius Adams: Unnecessary Roughness / Defense 15 yards (accepted) (no play),1.500,4.580
3,9:40,1,10,PIT 15,13,17,DeVonta Smith right end for 1 yard (tackle by Beanie Bishop),4.580,4.110
3,8:55,2,9,PIT 14,13,17,Jalen Hurts pass incomplete short left intended for A.J. Brown. Penalty on Tyler Steen: Offensive Holding 10 yards (accepted) (no play),4.110,2.810
3,8:48,2,19,PIT 24,13,17,Kenneth Gainwell left guard for 1 yard (tackle by Minkah Fitzpatrick and Cameron Heyward),2.810,2.280
3,8:07,3,18,PIT 23,13,17,Jalen Hurts pass incomplete deep right intended for Jahan Dotson,2.280,1.930
3,7:55,4,18,PIT 23,13,20,Jake Elliott 41 yard field goal good,1.930,3.000
3,7:52,,,PHI 35,13,20,Braden Mann kicks off 65 yards touchback.,0.000,0.940
3,7:52,1,10,PIT 30,13,20,Russell Wilson pass complete deep right to Calvin Austin for 31 yards (tackle by Zack Baun),0.940,2.980
3,7:08,1,10,PHI 39,13,20,Jaylen Warren right guard for 6 yards (tackle by Nakobe Dean),2.980,3.250
3,6:31,2,4,PHI 33,13,20,Najee Harris right guard for 7 yards (tackle by Jordan Davis),3.250,3.840
3,5:56,1,10,PHI 26,13,20,Russell Wilson aborted snap recovered by Darius Slay at PHI-26,3.840,-0.670
3,5:50,1,10,PHI 26,13,20,Jalen Hurts pass incomplete short right intended for Johnny Wilson,0.670,0.130
3,5:45,2,10,PHI 26,13,20,Jalen Hurts pass complete short left to A.J. Brown for 5 yards (tackle by Joey Porter),0.130,0.100
3,5:06,3,5,PHI 31,13,20,Jalen Hurts pass complete short left to DeVonta Smith for 6 yards (tackle by Payton Wilson),0.100,1.400
3,4:31,1,10,PHI 37,13,20,Saquon Barkley right tackle for 9 yards (tackle by Montravius Adams),1.400,2.070
3,3:55,2,1,PHI 46,13,20,Saquon Barkley left tackle for 4 yards (tackle by Payton Wilson),2.070,2.260
3,3:20,1,10,PIT 50,13,20,Jalen Hurts up the middle for 23 yards (tackle by T.J. Watt),2.260,3.780
